1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
TCGA-LI-A67I-01A-31D-A306-01	9.0504	13.0945	0.458	7.743	3.7204	20.6817	0	0	8.3463	10.443	0.4722	0	1.9897	0	0.6471	0.353	4.0571	4.025	1.7807	1.5587	2.0154	0.3666
TCGA-DX-AB2F-10A-01D-A389-01	0	0	0	0	0	0	0	2.6441	0	0	0	0	0.8819	0	0	0	0	0	0	0	0	0
TCGA-FX-A3NK-10A-01D-A21P-01	0	0	4.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9176
TCGA-3B-A9HO-01A-11D-A386-01	95.1847	0	0	0	126.8012	0	0	95.6633	0	0	0	1431.0368	0	0	6.5273	0	0	0	26.2579	11.6196	139.4474	43.9132
TCGA-3B-A9HU-01A-11D-A38Y-01	0	0.7903	0	0	0	0	0	0	0	0	0	0	1.228	0	0	0	3.834	0	1.5749	0	0	0
TCGA-QQ-A5VA-11A-11D-A32H-01	0	0	0	3.0627	1.0138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8235	0	0
TCGA-PC-A5DN-01A-12D-A27O-01	2.7272	0	0	0	0	328.4086	1.3399	0	0	0	4.4023	1101.8623	0	0	0	0	2.3238	0	0	0	2.2969	0
TCGA-DX-A7EF-10A-01D-A33G-01	0.9577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-MJ-A68H-01A-11D-A306-01	4.8709	6.4867	11.3746	18.3098	8.0473	0	0	2.8828	0	0	0.3913	0	2.8582	9.9085	0.9345	14.0322	0	3.5083	12.8214	0	1.6503	6.029
TCGA-QQ-A5VC-10A-01D-A32H-01	0	0	5.3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-N1-A6IA-11A-11D-A32H-01	0	0	0	0	0	0	0	0	0	0.8042	0	0	0	0	2.4346	0	0	0	2.9674	0	0	0
TCGA-DX-A6YS-01A-12D-A350-01	28.1743	5.2829	2.3946	109.7412	77.9599	100.4653	151.0749	51.3871	3.1038	3.2606	25.1335	28.3098	0	4.76	21.952	1.6017	3.2917	8.9542	13.5398	9.3132	6.7685	1.0288
TCGA-WK-A8XZ-10A-01D-A37E-01	0	0	0	3.697	0	0	3.334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
