sample_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
TCGA-IE-A4EJ-01A-11D-A24M-01	5.889	2.768	7.5283	43.3061	37.5822	17.7042	25.9116	7.5274	0.0	1.294	15.7275	6.6114	0.0	3.617	12.3094	0.9871	0.4543	0.5667	1.8164	15.7061	7.2405	0.3519
TCGA-LI-A9QH-01A-11D-A37B-01	5.012	0.5158	34.6074	1.0652	5.3382	22.7156	14.7659	5.1632	14.163	0.9113	20.0649	0.5347	13.0873	2.6239	11.3098	0.0	27.807	19.1551	25.6677	1.832	0.6718	4.7237
TCGA-DX-A8BJ-01A-11D-A416-01	28.3482	14.5644	0.0	39.7032	0.9481	1.4213	21.6851	74.6732	1.6716	0.0	10.5439	35.2478	0.0	5.9589	0.0	0.0	5.5313	0.0	31.7454	0.0	0.0	1.2297
TCGA-DX-A8BP-01A-11D-A37B-01	4.6012	11.5325	6.5929	0.0	35.4867	0.0	7.9765	2.1288	4.879	0.0	0.3291	0.0	2.45	0.0	0.0	0.0	0.0	0.0	1.9721	5.0407	0.0	0.0
TCGA-DX-A8BU-01A-11D-A37B-01	23.9179	13.1173	14.3745	22.8735	18.4708	93.5395	16.9851	4.3701	17.4372	0.6487	2.373	0.0	12.3821	0.4755	0.5533	0.0	3.7516	27.9218	45.8183	21.007	0.0	7.9511
TCGA-DX-A8BX-01A-11D-A37B-01	0.0	7.1788	0.0	0.0	3.9521	4.1711	25.884	21.6659	4.2553	0.0	0.0	24.4641	0.0	0.5999	6.0576	0.0	0.8444	0.0	1.657	0.6277	0.0	0.0
TCGA-VT-AB3D-01A-12D-A416-01	11.1282	0.0	54.7398	4.7555	1.1505	66.2456	0.0	1.3895	10.8464	0.0	0.0	3.0335	4.0475	0.0	0.0	0.0	0.0	0.2675	19.3545	0.0	0.0	1.5433
TCGA-DX-AB2O-01A-12D-A38Y-01	204.5904	157.8499	109.7307	169.7143	18.2627	17.4565	21.7956	120.6622	33.0875	39.7491	22.9046	30.2433	6.2523	32.6734	0.7342	12.6831	10.3559	30.5477	2.8933	0.0	0.0	0.0
TCGA-DX-AB2W-01A-11D-A38Y-01	19.2264	20.6161	22.8727	16.1148	16.8521	0.9507	9.0903	18.1049	9.5498	5.1314	15.9849	73.1015	0.0	3.2865	46.0975	0.8571	0.2855	5.2394	2.8877	31.3922	81.3132	3.21
TCGA-Z4-AAPG-01A-11D-A38Y-01	7.224	9.7737	1.7874	24.0949	17.0263	0.0	15.4901	11.4245	13.4976	3.4788	1.0784	7.7177	4.9127	9.121	14.275	7.9038	5.5436	2.8153	9.656	6.3548	0.7059	1.6822
TCGA-DX-AB2Z-01A-11D-A386-01	10.6355	1.4481	19.6091	9.8422	8.8916	0.0	0.849	3.4024	6.1148	6.3236	0.496	1.8312	1.0041	21.1562	1.7855	0.0	1.6614	22.2277	0.0	4.9242	3.6311	0.7677
