NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
IFNWP15	1	IFNWP15	
IFNWP2	1	IFNWP2	
IFNWP5	1	IFNWP5	
IFNWP19	1	IFNWP19	
IFNWP9	1	IFNWP9	
IFNWP18	1	IFNWP18	
IFNA22P	1	IFNA22P	
IFNA13	1	IFNA13	
IFNA14	1	IFNA14	
IFNA11P	1	IFNA11P	
IFNA16	1	IFNA16	
IFNA17	1	IFNA17	
IFNA12P	1	IFNA12P	
IFNA10	1	IFNA10	
IFNA21	1	IFNA21	
IFNW1	1	IFNW1	
MIR31HG	1	MIR31HG	
TUBB8P1	1	TUBB8P1	
IFNA20P	1	IFNA20P	
IFNA5	1	IFNA5	
IFNA4	1	IFNA4	
IFNA7	1	IFNA7	
IFNA6	1	IFNA6	
IFNA1	1	IFNA1	
IFNA2	1	IFNA2	
IFNA8	1	IFNA8	
KLHL9	1	KLHL9	
KHSRPP1	1	KHSRPP1	
MIR31	1	MIR31	
IFNE	1	IFNE	
C1QTNF7	1	C1QTNF7	
FAM200B	1	FAM200B	
BST1	1	BST1	
FBXL5	1	FBXL5	
CD38	1	CD38	
CC2D2A	1	CC2D2A	
PABPC1P8	1	PABPC1P8	
KSR1P1	1	KSR1P1	
FAM71BP1	1	FAM71BP1	
ACOT7	1	ACOT7	
ICMT	1	ICMT	
GPR153	1	GPR153	
PLEKHG5	1	PLEKHG5	
KCNAB2	1	KCNAB2	
TNFRSF25	1	TNFRSF25	
ZBTB48	1	ZBTB48	
THAP3	1	THAP3	
MIR4689	1	MIR4689	
MIR4252	1	MIR4252	
NOL9	1	NOL9	
ESPN	1	ESPN	
NPHP4	1	NPHP4	
KLHL21	1	KLHL21	
DNAJC11	1	DNAJC11	
PHF13	1	PHF13	
CHD5	1	CHD5	
TAS1R1	1	TAS1R1	
HES3	1	HES3	
HES2	1	HES2	
GAS2L1P1	1	GAS2L1P1	
SHB	1	SHB	
FAM201A	1	FAM201A	
YWHABP1	1	YWHABP1	
SNX18P3	1	SNX18P3	
VN1R48P	1	VN1R48P	
ANKRD18A	1	ANKRD18A	
FAM220BP	1	FAM220BP	
FAM95C	1	FAM95C	
ENSG00000273036	1	CYP4F33P	
TCEA1P3	1	TCEA1P3	
ARMC8P1	1	ARMC8P1	
CDCA4P1	1	CDCA4P1	
FREM1	1	FREM1	
PES1P2	1	PES1P2	
NFIB	1	NFIB	
DMRTA1	1	DMRTA1	
TTC39B	1	TTC39B	
CER1	1	CER1	
ZDHHC21	1	ZDHHC21	
ATP5PDP3	1	ATP5HP3	
LDHAP4	1	LDHAP4	
CLCN3P1	1	CLCN3P1	
AFAP1	1	AFAP1	
PROM1	1	PROM1	
CPEB2	1	CPEB2	
FGFBP1	1	FGFBP1	
FGFBP2	1	FGFBP2	
PDLIM1P2	1	PDLIM1P2	
MAP2K3	1	MAP2K3	
NATD1	1	NATD1	
LINC02693	1	C17orf51	
TMEM11	1	TMEM11	
