GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bba5b1c6-190a-468a-a968-4eae3896d64e	1	3301765	4971809	1202	-0.0113
bba5b1c6-190a-468a-a968-4eae3896d64e	1	4979033	4979320	2	-2.0448
bba5b1c6-190a-468a-a968-4eae3896d64e	1	4982142	238501574	122146	0.0008
bba5b1c6-190a-468a-a968-4eae3896d64e	1	238501923	238615306	116	0.6086
bba5b1c6-190a-468a-a968-4eae3896d64e	1	238619759	247650984	5314	0.0021
bba5b1c6-190a-468a-a968-4eae3896d64e	2	480597	241537572	131273	0.0042
bba5b1c6-190a-468a-a968-4eae3896d64e	3	2170634	118152844	64538	-0.0005
bba5b1c6-190a-468a-a968-4eae3896d64e	3	118153037	118153755	4	-1.1015
bba5b1c6-190a-468a-a968-4eae3896d64e	3	118158563	197812401	41899	0.002
bba5b1c6-190a-468a-a968-4eae3896d64e	4	1059384	12363386	6419	-0.0003
bba5b1c6-190a-468a-a968-4eae3896d64e	4	12384965	12673765	182	0.643
bba5b1c6-190a-468a-a968-4eae3896d64e	4	12677699	187842528	96236	-0.002
bba5b1c6-190a-468a-a968-4eae3896d64e	5	913983	20153560	12146	-0.0044
bba5b1c6-190a-468a-a968-4eae3896d64e	5	20162267	20162549	2	-1.9589
bba5b1c6-190a-468a-a968-4eae3896d64e	5	20162663	180934240	88323	0.0009
bba5b1c6-190a-468a-a968-4eae3896d64e	6	1011760	170596889	96516	0.0004
bba5b1c6-190a-468a-a968-4eae3896d64e	7	664936	158592540	81412	-0.0002
bba5b1c6-190a-468a-a968-4eae3896d64e	8	667625	144182542	81662	-0.0006
bba5b1c6-190a-468a-a968-4eae3896d64e	9	789794	138044505	67979	0.0031
bba5b1c6-190a-468a-a968-4eae3896d64e	10	366509	10426053	6954	-0.0051
bba5b1c6-190a-468a-a968-4eae3896d64e	10	10426130	10426783	2	-1.7582
bba5b1c6-190a-468a-a968-4eae3896d64e	10	10429366	133411599	73813	0.0011
bba5b1c6-190a-468a-a968-4eae3896d64e	11	456012	22824853	14402	-0.0005
bba5b1c6-190a-468a-a968-4eae3896d64e	11	22825939	22842094	13	-0.5233
bba5b1c6-190a-468a-a968-4eae3896d64e	11	22842112	134272740	62571	-0.0003
bba5b1c6-190a-468a-a968-4eae3896d64e	12	780472	132605822	73842	0.0029
bba5b1c6-190a-468a-a968-4eae3896d64e	13	18874255	114226675	56564	-0.0008
bba5b1c6-190a-468a-a968-4eae3896d64e	14	20033191	99690434	46862	-0.0001
bba5b1c6-190a-468a-a968-4eae3896d64e	14	99691454	99694043	2	-1.966
bba5b1c6-190a-468a-a968-4eae3896d64e	14	99696040	105533894	2570	-0.0049
bba5b1c6-190a-468a-a968-4eae3896d64e	15	23437561	101344124	44431	-0.0011
bba5b1c6-190a-468a-a968-4eae3896d64e	16	603333	89317317	40921	-0.0022
bba5b1c6-190a-468a-a968-4eae3896d64e	17	1074619	82959812	37017	0.0022
bba5b1c6-190a-468a-a968-4eae3896d64e	18	326691	79349796	42661	-0.0005
bba5b1c6-190a-468a-a968-4eae3896d64e	19	283868	45977036	18868	0.0065
bba5b1c6-190a-468a-a968-4eae3896d64e	19	45987311	45988008	2	-1.6287
bba5b1c6-190a-468a-a968-4eae3896d64e	19	45991373	58370362	5130	0.0001
bba5b1c6-190a-468a-a968-4eae3896d64e	20	472817	43199995	23736	0.0029
bba5b1c6-190a-468a-a968-4eae3896d64e	20	43200827	43278001	43	0.5801
bba5b1c6-190a-468a-a968-4eae3896d64e	20	43278645	63588502	13519	-0.0011
bba5b1c6-190a-468a-a968-4eae3896d64e	21	13974127	23543064	5733	-0.0024
bba5b1c6-190a-468a-a968-4eae3896d64e	21	23548743	23550929	2	-2.4826
bba5b1c6-190a-468a-a968-4eae3896d64e	21	23551012	46262057	14722	-0.0017
bba5b1c6-190a-468a-a968-4eae3896d64e	22	16934932	48940621	16977	-0.007
bba5b1c6-190a-468a-a968-4eae3896d64e	X	3236359	155677414	63567	0.0027
