GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1eb75a8e-2315-43ee-b91c-a55d298524b9	1	3301765	46331966	23022	-0.0911
1eb75a8e-2315-43ee-b91c-a55d298524b9	1	46336106	247650984	106601	-0.0329
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	480597	10852812	6520	0.1751
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	10853147	84839056	42858	0.209
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	84841264	106237206	7438	0.1904
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	106250033	107823682	817	0.8194
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	107903920	133405749	12076	0.2044
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	133408679	137269765	2518	-0.1862
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	137274002	139951378	1135	0.2105
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	139951573	140364842	213	-0.1956
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	140367383	212239142	40692	0.2326
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	212241676	212392519	86	0.8758
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	212405128	230889076	11563	0.2177
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	230892915	231414300	253	0.494
1eb75a8e-2315-43ee-b91c-a55d298524b9	2	231414371	241537572	5997	0.1732
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	2170634	9407371	4276	0.3307
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	9407558	15693531	4012	0.2651
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	15694505	30149632	8391	0.3159
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	30151053	30151074	2	-1.8146
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	30151286	46885905	10044	0.2942
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	46886248	53437259	2672	0.207
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	53437311	86212375	19890	0.3018
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	86216052	86216665	2	-2.7849
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	86221012	91462299	1985	0.3132
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	94015345	116776475	12602	-0.5252
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	116778411	117103264	268	-1.0743
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	117104636	124647626	4389	-0.5301
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	124647903	124648281	2	-4.0306
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	124649152	129594146	2735	-0.5327
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	129594646	129597751	2	-2.8293
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	129598742	133781134	2510	-0.5145
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	133781933	133786459	2	-3.1109
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	133787084	141994235	4652	-0.5208
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	141996701	141998008	3	-2.3849
1eb75a8e-2315-43ee-b91c-a55d298524b9	3	141998894	152850293	5503	-0.5144
