GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5fdea70e-f63f-45d2-8145-c53f45292a08	1	3301765	247650984	129670	0.0035
5fdea70e-f63f-45d2-8145-c53f45292a08	2	480597	241537572	132136	0.0049
5fdea70e-f63f-45d2-8145-c53f45292a08	3	2170634	197812401	107125	0.0007
5fdea70e-f63f-45d2-8145-c53f45292a08	4	1059384	125821462	70291	-0.0002
5fdea70e-f63f-45d2-8145-c53f45292a08	4	125821991	125822103	2	-1.9784
5fdea70e-f63f-45d2-8145-c53f45292a08	4	125824469	179844485	29352	0.0004
5fdea70e-f63f-45d2-8145-c53f45292a08	4	179846007	179852115	5	-1.2786
5fdea70e-f63f-45d2-8145-c53f45292a08	4	179853239	187842528	3791	0.0055
5fdea70e-f63f-45d2-8145-c53f45292a08	5	913983	180934240	101075	0.0075
5fdea70e-f63f-45d2-8145-c53f45292a08	6	1011760	159346545	91308	0.0012
5fdea70e-f63f-45d2-8145-c53f45292a08	6	159351261	159359079	8	-1.0367
5fdea70e-f63f-45d2-8145-c53f45292a08	6	159360693	170596889	5816	-0.0099
5fdea70e-f63f-45d2-8145-c53f45292a08	7	665647	158592540	81902	0.003
5fdea70e-f63f-45d2-8145-c53f45292a08	8	667625	1298536	199	-0.0237
5fdea70e-f63f-45d2-8145-c53f45292a08	8	1299058	1299236	2	1.2154
5fdea70e-f63f-45d2-8145-c53f45292a08	8	1299339	4604423	1877	-0.0029
5fdea70e-f63f-45d2-8145-c53f45292a08	8	4604481	4604494	2	-1.4229
5fdea70e-f63f-45d2-8145-c53f45292a08	8	4604818	36243258	19260	-0.0006
5fdea70e-f63f-45d2-8145-c53f45292a08	8	36245324	36246618	2	-1.8817
5fdea70e-f63f-45d2-8145-c53f45292a08	8	36247671	144182542	60835	0.001
5fdea70e-f63f-45d2-8145-c53f45292a08	9	789794	138044505	68434	0.0012
5fdea70e-f63f-45d2-8145-c53f45292a08	10	366509	112313150	67466	0.002
5fdea70e-f63f-45d2-8145-c53f45292a08	10	112314423	112315734	6	-1.1449
5fdea70e-f63f-45d2-8145-c53f45292a08	10	112317251	133411599	13773	0.0027
5fdea70e-f63f-45d2-8145-c53f45292a08	11	456012	32259345	20399	0.0028
5fdea70e-f63f-45d2-8145-c53f45292a08	11	32261959	32266135	3	-1.2942
5fdea70e-f63f-45d2-8145-c53f45292a08	11	32268348	48116503	9675	-0.0026
5fdea70e-f63f-45d2-8145-c53f45292a08	11	48121336	48122562	2	-1.8811
5fdea70e-f63f-45d2-8145-c53f45292a08	11	48122743	134272740	47447	0.0014
5fdea70e-f63f-45d2-8145-c53f45292a08	12	780472	132605822	74314	0.0054
5fdea70e-f63f-45d2-8145-c53f45292a08	13	18874255	94244853	43949	0.0002
5fdea70e-f63f-45d2-8145-c53f45292a08	13	94246736	94268867	19	0.527
5fdea70e-f63f-45d2-8145-c53f45292a08	13	94272838	114226675	13008	-0.004
5fdea70e-f63f-45d2-8145-c53f45292a08	14	20033191	105533894	49771	0.0019
5fdea70e-f63f-45d2-8145-c53f45292a08	15	23437561	101344124	44762	0.0008
5fdea70e-f63f-45d2-8145-c53f45292a08	16	603333	79826460	35076	0.0017
5fdea70e-f63f-45d2-8145-c53f45292a08	16	79826617	79827157	2	-2.031
5fdea70e-f63f-45d2-8145-c53f45292a08	16	79833296	89317317	6095	-0.0041
5fdea70e-f63f-45d2-8145-c53f45292a08	17	1074619	82959812	37265	0.0047
5fdea70e-f63f-45d2-8145-c53f45292a08	18	326691	79349796	42944	-0.0005
5fdea70e-f63f-45d2-8145-c53f45292a08	19	283868	58370362	24133	0.0007
5fdea70e-f63f-45d2-8145-c53f45292a08	20	472817	63588502	37531	0.0002
5fdea70e-f63f-45d2-8145-c53f45292a08	21	13974127	46262057	20588	-0.0025
5fdea70e-f63f-45d2-8145-c53f45292a08	22	16934932	18102298	741	0.0081
5fdea70e-f63f-45d2-8145-c53f45292a08	22	18103221	18107878	5	-0.9024
5fdea70e-f63f-45d2-8145-c53f45292a08	22	18112195	24559607	535	0.0115
5fdea70e-f63f-45d2-8145-c53f45292a08	22	24562049	24564192	3	-1.0998
5fdea70e-f63f-45d2-8145-c53f45292a08	22	24564662	48940621	15785	-0.002
5fdea70e-f63f-45d2-8145-c53f45292a08	X	3236359	155677414	63728	0.0051
