GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e8d4c9a9-ba57-4267-b61c-6941b0affab1	1	3301765	247650984	129788	0.0062
e8d4c9a9-ba57-4267-b61c-6941b0affab1	2	480597	121189789	64247	0.0096
e8d4c9a9-ba57-4267-b61c-6941b0affab1	2	121190053	121190185	2	-1.6564
e8d4c9a9-ba57-4267-b61c-6941b0affab1	2	121190731	164119461	23163	0.0076
e8d4c9a9-ba57-4267-b61c-6941b0affab1	2	164119872	164120206	2	-1.4821
e8d4c9a9-ba57-4267-b61c-6941b0affab1	2	164120309	170358295	3824	0.0054
e8d4c9a9-ba57-4267-b61c-6941b0affab1	2	170366601	170366644	2	-2.9066
e8d4c9a9-ba57-4267-b61c-6941b0affab1	2	170367000	241537572	41010	0.0097
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	2170634	33182726	18670	-0.0172
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	33185484	33185532	2	-1.5934
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	33188349	66379871	19071	-0.012
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	66380387	66380453	2	-1.5228
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	66380829	86681287	11802	-0.016
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	86682018	86701081	4	-1.3228
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	86703135	117908558	15287	-0.0158
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	117911100	117911318	3	-1.8293
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	117914264	141888613	13701	-0.0126
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	141892793	141893531	2	-1.6219
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	141894451	160644215	9804	-0.0201
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	160644339	160644497	2	1.9554
e8d4c9a9-ba57-4267-b61c-6941b0affab1	3	160653119	197812401	18857	-0.0125
e8d4c9a9-ba57-4267-b61c-6941b0affab1	4	1059384	161555930	89834	0.0034
e8d4c9a9-ba57-4267-b61c-6941b0affab1	4	161556032	161559297	2	-1.8103
e8d4c9a9-ba57-4267-b61c-6941b0affab1	4	161559759	162078498	298	-0.005
e8d4c9a9-ba57-4267-b61c-6941b0affab1	4	162079033	162079257	2	1.8413
e8d4c9a9-ba57-4267-b61c-6941b0affab1	4	162083580	165037969	1533	0.0074
e8d4c9a9-ba57-4267-b61c-6941b0affab1	4	165046966	165047121	2	-1.4189
