GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ca026681-0b4d-4792-844b-433627b8b404	1	3301765	247650984	129254	0.002
ca026681-0b4d-4792-844b-433627b8b404	2	480597	219287958	118245	0.0018
ca026681-0b4d-4792-844b-433627b8b404	2	219291752	219352702	33	-1.0477
ca026681-0b4d-4792-844b-433627b8b404	2	219353063	241537572	13523	0.0017
ca026681-0b4d-4792-844b-433627b8b404	3	2170634	197812401	106835	0.0003
ca026681-0b4d-4792-844b-433627b8b404	4	1059384	171819810	95109	0.0005
ca026681-0b4d-4792-844b-433627b8b404	4	171820104	171821388	3	-1.4601
ca026681-0b4d-4792-844b-433627b8b404	4	171822828	187007621	7504	-0.0007
ca026681-0b4d-4792-844b-433627b8b404	4	187009372	187010457	2	-1.2756
ca026681-0b4d-4792-844b-433627b8b404	4	187011475	187842528	517	-0.0212
ca026681-0b4d-4792-844b-433627b8b404	5	913983	180934240	100778	0.0011
ca026681-0b4d-4792-844b-433627b8b404	6	1011760	170596889	96827	0.0015
ca026681-0b4d-4792-844b-433627b8b404	7	664936	93340404	47113	-0.0004
ca026681-0b4d-4792-844b-433627b8b404	7	93348102	93348459	2	-1.7758
ca026681-0b4d-4792-844b-433627b8b404	7	93348989	158592540	34563	0.0037
ca026681-0b4d-4792-844b-433627b8b404	8	667625	144182542	81960	0.0025
ca026681-0b4d-4792-844b-433627b8b404	9	789794	138044505	68263	0.0018
ca026681-0b4d-4792-844b-433627b8b404	10	366509	107412213	64103	0.0027
ca026681-0b4d-4792-844b-433627b8b404	10	107413549	107415589	2	-1.7778
ca026681-0b4d-4792-844b-433627b8b404	10	107422431	124711950	11987	0.002
ca026681-0b4d-4792-844b-433627b8b404	10	124713227	124713395	2	-1.353
ca026681-0b4d-4792-844b-433627b8b404	10	124716083	133411599	4925	0.0027
ca026681-0b4d-4792-844b-433627b8b404	11	456012	85206220	45434	0.0008
ca026681-0b4d-4792-844b-433627b8b404	11	85207017	85299538	64	-1.0439
ca026681-0b4d-4792-844b-433627b8b404	11	85307068	127066539	27037	0.001
ca026681-0b4d-4792-844b-433627b8b404	11	127066627	127066661	2	-1.653
ca026681-0b4d-4792-844b-433627b8b404	11	127068441	134272740	4793	-0.0027
ca026681-0b4d-4792-844b-433627b8b404	12	780472	132605822	74108	0.0002
ca026681-0b4d-4792-844b-433627b8b404	13	18874255	114226675	56806	-0.0011
ca026681-0b4d-4792-844b-433627b8b404	14	20033191	105533894	49628	-0.0002
ca026681-0b4d-4792-844b-433627b8b404	15	23437561	49905673	13519	0.0055
ca026681-0b4d-4792-844b-433627b8b404	15	49906284	49906489	2	-1.6604
ca026681-0b4d-4792-844b-433627b8b404	15	49907168	101344124	31106	0.0028
ca026681-0b4d-4792-844b-433627b8b404	16	603333	11203705	5779	0.0014
ca026681-0b4d-4792-844b-433627b8b404	16	11204993	11205391	2	-2.4716
ca026681-0b4d-4792-844b-433627b8b404	16	11206576	89317317	35300	0.0008
ca026681-0b4d-4792-844b-433627b8b404	17	1074619	72328413	32634	-0.0002
ca026681-0b4d-4792-844b-433627b8b404	17	72333011	72333644	2	-1.6186
ca026681-0b4d-4792-844b-433627b8b404	17	72334340	82959812	4531	0.0061
ca026681-0b4d-4792-844b-433627b8b404	18	326691	34973557	16575	0.0042
ca026681-0b4d-4792-844b-433627b8b404	18	34982438	34988039	4	-1.0781
ca026681-0b4d-4792-844b-433627b8b404	18	34988540	79349796	26244	-0.0001
ca026681-0b4d-4792-844b-433627b8b404	19	283868	58370362	24086	-0.0004
ca026681-0b4d-4792-844b-433627b8b404	20	472817	57554411	33469	0
ca026681-0b4d-4792-844b-433627b8b404	20	57554682	57554820	2	-2.5756
ca026681-0b4d-4792-844b-433627b8b404	20	57555564	60054720	1833	-0.0004
ca026681-0b4d-4792-844b-433627b8b404	20	60054791	60055635	2	-3.2632
ca026681-0b4d-4792-844b-433627b8b404	20	60056194	63588502	2117	0.0047
ca026681-0b4d-4792-844b-433627b8b404	21	13974127	27287551	8483	0.0023
ca026681-0b4d-4792-844b-433627b8b404	21	27292824	27293028	2	-1.3871
ca026681-0b4d-4792-844b-433627b8b404	21	27293081	46262057	12047	0.0018
ca026681-0b4d-4792-844b-433627b8b404	22	16934932	48940621	17038	-0.0012
ca026681-0b4d-4792-844b-433627b8b404	X	3236359	155677414	63634	0.0132
