GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
25649707-10ad-4349-b18f-6e5d2313698b	1	3301765	187413153	91065	-0.0012
25649707-10ad-4349-b18f-6e5d2313698b	1	187413166	187415345	4	-1.814
25649707-10ad-4349-b18f-6e5d2313698b	1	187415420	192447070	2847	0.0105
25649707-10ad-4349-b18f-6e5d2313698b	1	192449678	192451498	4	-1.5665
25649707-10ad-4349-b18f-6e5d2313698b	1	192451767	192617726	120	-0.0289
25649707-10ad-4349-b18f-6e5d2313698b	1	192618733	192636377	18	-0.6695
25649707-10ad-4349-b18f-6e5d2313698b	1	192638530	193132663	278	-0.0161
25649707-10ad-4349-b18f-6e5d2313698b	1	193132779	193320534	229	0.1138
25649707-10ad-4349-b18f-6e5d2313698b	1	193321594	193364836	23	-0.1277
25649707-10ad-4349-b18f-6e5d2313698b	1	193365088	193406076	25	0.1582
25649707-10ad-4349-b18f-6e5d2313698b	1	193406750	193440076	27	-0.0869
25649707-10ad-4349-b18f-6e5d2313698b	1	193440600	193458243	16	-0.5764
25649707-10ad-4349-b18f-6e5d2313698b	1	193461306	193534059	58	0.0609
25649707-10ad-4349-b18f-6e5d2313698b	1	193536591	193546616	6	-0.4592
25649707-10ad-4349-b18f-6e5d2313698b	1	193550321	193631869	44	0.1124
25649707-10ad-4349-b18f-6e5d2313698b	1	193632407	193703886	70	-0.2977
25649707-10ad-4349-b18f-6e5d2313698b	1	193704662	196390432	1533	0.0322
25649707-10ad-4349-b18f-6e5d2313698b	1	196390509	196393490	3	-1.3979
25649707-10ad-4349-b18f-6e5d2313698b	1	196393814	196401169	6	-0.484
25649707-10ad-4349-b18f-6e5d2313698b	1	196402943	197042506	226	0.0705
25649707-10ad-4349-b18f-6e5d2313698b	1	197048577	197067169	16	-0.5071
25649707-10ad-4349-b18f-6e5d2313698b	1	197068107	197507296	210	-0.0177
25649707-10ad-4349-b18f-6e5d2313698b	1	197507503	197508318	3	-1.0326
25649707-10ad-4349-b18f-6e5d2313698b	1	197509123	197605004	45	-0.0307
25649707-10ad-4349-b18f-6e5d2313698b	1	197605517	197623438	10	-0.7945
25649707-10ad-4349-b18f-6e5d2313698b	1	197623769	198371168	442	0.0118
25649707-10ad-4349-b18f-6e5d2313698b	1	198373252	198375220	5	-0.8951
25649707-10ad-4349-b18f-6e5d2313698b	1	198379911	198800770	288	0.0373
25649707-10ad-4349-b18f-6e5d2313698b	1	198804342	198926715	70	-0.2025
25649707-10ad-4349-b18f-6e5d2313698b	1	198926856	199348303	245	0.0423
25649707-10ad-4349-b18f-6e5d2313698b	1	199348491	199388235	36	-0.4363
25649707-10ad-4349-b18f-6e5d2313698b	1	199388362	230442883	19953	0.0073
25649707-10ad-4349-b18f-6e5d2313698b	1	230447577	230452379	4	-1.1432
25649707-10ad-4349-b18f-6e5d2313698b	1	230455350	231852378	824	0.0227
25649707-10ad-4349-b18f-6e5d2313698b	1	231855385	231855945	2	-1.6751
25649707-10ad-4349-b18f-6e5d2313698b	1	231856747	247650984	10396	0.0148
25649707-10ad-4349-b18f-6e5d2313698b	2	480597	241537572	131711	0.0079
25649707-10ad-4349-b18f-6e5d2313698b	3	2170634	2243824	55	0.0357
25649707-10ad-4349-b18f-6e5d2313698b	3	2245321	2270714	25	-0.4026
25649707-10ad-4349-b18f-6e5d2313698b	3	2270767	3291859	476	0.0118
25649707-10ad-4349-b18f-6e5d2313698b	3	3296065	3311029	24	-0.4351
25649707-10ad-4349-b18f-6e5d2313698b	3	3313860	6136870	1309	-0.0299
25649707-10ad-4349-b18f-6e5d2313698b	3	6138129	6164011	15	-0.7668
25649707-10ad-4349-b18f-6e5d2313698b	3	6164123	8255855	1529	-0.0223
25649707-10ad-4349-b18f-6e5d2313698b	3	8257495	16651962	5516	0.0209
25649707-10ad-4349-b18f-6e5d2313698b	3	16652017	25939090	5308	-0.0189
25649707-10ad-4349-b18f-6e5d2313698b	3	26419435	26438456	20	-0.7763
25649707-10ad-4349-b18f-6e5d2313698b	3	26439801	26892907	268	-0.0635
25649707-10ad-4349-b18f-6e5d2313698b	3	26893196	26926438	26	-0.5667
25649707-10ad-4349-b18f-6e5d2313698b	3	27040272	27078046	30	-0.1011
25649707-10ad-4349-b18f-6e5d2313698b	3	27078591	27097028	26	-0.6326
25649707-10ad-4349-b18f-6e5d2313698b	3	27101230	163243432	74550	-0.0036
25649707-10ad-4349-b18f-6e5d2313698b	3	163250881	163273076	11	-1.15
25649707-10ad-4349-b18f-6e5d2313698b	3	163273441	197812401	17572	0.0037
25649707-10ad-4349-b18f-6e5d2313698b	4	1059384	9587686	4322	0.0357
25649707-10ad-4349-b18f-6e5d2313698b	4	9594294	11158117	1192	-0.0292
25649707-10ad-4349-b18f-6e5d2313698b	4	11158344	11167326	14	-0.9849
25649707-10ad-4349-b18f-6e5d2313698b	4	11167581	67023511	31638	-0.007
25649707-10ad-4349-b18f-6e5d2313698b	4	67023713	67023899	2	-2.4631
25649707-10ad-4349-b18f-6e5d2313698b	4	67025923	70469726	1311	-0.0136
25649707-10ad-4349-b18f-6e5d2313698b	4	70470554	70471368	2	-2.5579
25649707-10ad-4349-b18f-6e5d2313698b	4	70472247	85362331	8779	-0.0128
25649707-10ad-4349-b18f-6e5d2313698b	4	85363228	85378510	14	-0.5839
25649707-10ad-4349-b18f-6e5d2313698b	4	85378927	87788631	1460	0.0224
25649707-10ad-4349-b18f-6e5d2313698b	4	87793496	87845856	78	-0.1985
25649707-10ad-4349-b18f-6e5d2313698b	4	87851943	89371885	929	0.014
25649707-10ad-4349-b18f-6e5d2313698b	4	89381510	89389919	15	-0.5048
25649707-10ad-4349-b18f-6e5d2313698b	4	89395911	89598660	120	-0.0629
25649707-10ad-4349-b18f-6e5d2313698b	4	89602311	90964204	712	0.064
25649707-10ad-4349-b18f-6e5d2313698b	4	90965057	90990034	14	-0.4274
25649707-10ad-4349-b18f-6e5d2313698b	4	90994638	91027615	47	0.1663
25649707-10ad-4349-b18f-6e5d2313698b	4	91027782	91069945	30	-0.1696
25649707-10ad-4349-b18f-6e5d2313698b	4	91071484	91284470	123	0.132
25649707-10ad-4349-b18f-6e5d2313698b	4	91286486	96996643	3075	-0.0146
25649707-10ad-4349-b18f-6e5d2313698b	4	96997545	97021498	14	-0.6998
25649707-10ad-4349-b18f-6e5d2313698b	4	97026191	97304111	153	0.0016
25649707-10ad-4349-b18f-6e5d2313698b	4	97304581	97309205	6	-0.7012
25649707-10ad-4349-b18f-6e5d2313698b	4	97313452	99393381	1048	0.0111
25649707-10ad-4349-b18f-6e5d2313698b	4	99399959	99402914	8	-0.6246
25649707-10ad-4349-b18f-6e5d2313698b	4	99403251	99565021	98	0.0344
25649707-10ad-4349-b18f-6e5d2313698b	4	99565161	99589858	13	0.4835
25649707-10ad-4349-b18f-6e5d2313698b	4	99591255	99736420	86	0.0165
25649707-10ad-4349-b18f-6e5d2313698b	4	99736516	99762035	30	-0.2535
25649707-10ad-4349-b18f-6e5d2313698b	4	99762887	100098033	158	0.0496
25649707-10ad-4349-b18f-6e5d2313698b	4	100100370	100436671	199	-0.1726
25649707-10ad-4349-b18f-6e5d2313698b	4	100440112	102870199	1410	-0.0046
25649707-10ad-4349-b18f-6e5d2313698b	4	102871121	102871264	2	-1.9248
25649707-10ad-4349-b18f-6e5d2313698b	4	102872023	111028265	4569	-0.0132
25649707-10ad-4349-b18f-6e5d2313698b	4	111028287	111043484	18	-0.6893
25649707-10ad-4349-b18f-6e5d2313698b	4	111043496	111490510	218	-0.0321
25649707-10ad-4349-b18f-6e5d2313698b	4	111498403	111504309	9	-0.7448
25649707-10ad-4349-b18f-6e5d2313698b	4	111506911	111604530	50	0.0696
25649707-10ad-4349-b18f-6e5d2313698b	4	111604613	111637415	23	-0.3102
25649707-10ad-4349-b18f-6e5d2313698b	4	111637944	113027034	778	0.0218
25649707-10ad-4349-b18f-6e5d2313698b	4	113027309	113042850	17	-0.5469
25649707-10ad-4349-b18f-6e5d2313698b	4	113043828	117776003	2769	0.0109
25649707-10ad-4349-b18f-6e5d2313698b	4	117780057	117793841	10	-0.7539
25649707-10ad-4349-b18f-6e5d2313698b	4	117794157	120514992	1556	-0.001
25649707-10ad-4349-b18f-6e5d2313698b	4	120520571	120539029	16	-0.4999
25649707-10ad-4349-b18f-6e5d2313698b	4	120542228	120690350	68	-0.1065
25649707-10ad-4349-b18f-6e5d2313698b	4	120690399	120691189	2	-1.8795
25649707-10ad-4349-b18f-6e5d2313698b	4	120692241	121587191	527	0.016
25649707-10ad-4349-b18f-6e5d2313698b	4	121587915	121607859	14	-0.4887
25649707-10ad-4349-b18f-6e5d2313698b	4	121612781	123920263	1214	0.0343
25649707-10ad-4349-b18f-6e5d2313698b	4	123920320	124518511	326	-0.0864
25649707-10ad-4349-b18f-6e5d2313698b	4	124519415	124589960	55	0.1299
25649707-10ad-4349-b18f-6e5d2313698b	4	124592517	124611798	21	-0.6736
25649707-10ad-4349-b18f-6e5d2313698b	4	124620759	148755052	12876	0.0014
25649707-10ad-4349-b18f-6e5d2313698b	4	148756833	148760262	7	-1.0145
25649707-10ad-4349-b18f-6e5d2313698b	4	148764983	150252944	750	-0.0341
25649707-10ad-4349-b18f-6e5d2313698b	4	150253069	155266373	2795	0.0222
25649707-10ad-4349-b18f-6e5d2313698b	4	155266651	155280745	10	-0.7294
25649707-10ad-4349-b18f-6e5d2313698b	4	155281819	156520630	800	0.0243
25649707-10ad-4349-b18f-6e5d2313698b	4	156520902	156533919	14	-0.8244
25649707-10ad-4349-b18f-6e5d2313698b	4	156545742	156668599	86	-0.0547
25649707-10ad-4349-b18f-6e5d2313698b	4	156672551	156936041	166	0.1261
25649707-10ad-4349-b18f-6e5d2313698b	4	156936851	157099787	79	-0.0257
25649707-10ad-4349-b18f-6e5d2313698b	4	157105826	157129846	11	-0.4548
25649707-10ad-4349-b18f-6e5d2313698b	4	157130183	157363783	108	0.0271
25649707-10ad-4349-b18f-6e5d2313698b	4	157364289	157371890	5	-0.4662
25649707-10ad-4349-b18f-6e5d2313698b	4	157372102	157492887	74	0.0804
25649707-10ad-4349-b18f-6e5d2313698b	4	157492991	157502947	11	-0.644
25649707-10ad-4349-b18f-6e5d2313698b	4	157507547	157631821	98	0.0178
25649707-10ad-4349-b18f-6e5d2313698b	4	157640707	157669119	26	-0.4929
25649707-10ad-4349-b18f-6e5d2313698b	4	157669156	162847307	2974	0.0247
25649707-10ad-4349-b18f-6e5d2313698b	4	162847868	162849512	2	-2.5237
25649707-10ad-4349-b18f-6e5d2313698b	4	162849957	163061265	154	0.0342
25649707-10ad-4349-b18f-6e5d2313698b	4	163063071	163070464	8	-0.6966
25649707-10ad-4349-b18f-6e5d2313698b	4	163077019	163606275	275	0.0875
25649707-10ad-4349-b18f-6e5d2313698b	4	163606290	163614467	14	-0.5804
25649707-10ad-4349-b18f-6e5d2313698b	4	163614904	165587366	910	0.0009
25649707-10ad-4349-b18f-6e5d2313698b	4	165589067	165596890	12	-0.6027
25649707-10ad-4349-b18f-6e5d2313698b	4	165600921	170590339	2746	0.0237
25649707-10ad-4349-b18f-6e5d2313698b	4	170592586	170738944	90	-0.2181
25649707-10ad-4349-b18f-6e5d2313698b	4	170739054	174147178	1805	0.0241
25649707-10ad-4349-b18f-6e5d2313698b	4	174147705	174161354	15	-0.6206
25649707-10ad-4349-b18f-6e5d2313698b	4	174161608	177990128	2245	0.0444
25649707-10ad-4349-b18f-6e5d2313698b	4	177990719	177993896	5	-3.3176
25649707-10ad-4349-b18f-6e5d2313698b	4	177995178	179409367	516	0.0432
25649707-10ad-4349-b18f-6e5d2313698b	4	179413287	179438242	22	-0.3952
25649707-10ad-4349-b18f-6e5d2313698b	4	179440991	180014643	327	0.0239
25649707-10ad-4349-b18f-6e5d2313698b	4	180018576	180029917	5	-1.1366
25649707-10ad-4349-b18f-6e5d2313698b	4	180030342	187842528	3715	0.0344
25649707-10ad-4349-b18f-6e5d2313698b	5	913983	4662408	2416	0.084
25649707-10ad-4349-b18f-6e5d2313698b	5	4664344	4664591	2	2.586
25649707-10ad-4349-b18f-6e5d2313698b	5	4665065	8653201	3174	0.0335
25649707-10ad-4349-b18f-6e5d2313698b	5	8653233	9929797	980	-0.0223
25649707-10ad-4349-b18f-6e5d2313698b	5	9931622	9934954	5	-1.0254
25649707-10ad-4349-b18f-6e5d2313698b	5	9942345	14900862	3113	0.006
25649707-10ad-4349-b18f-6e5d2313698b	5	14901791	16173033	328	-0.1385
25649707-10ad-4349-b18f-6e5d2313698b	5	16175370	18252404	1150	-0.0042
25649707-10ad-4349-b18f-6e5d2313698b	5	18255379	18259583	4	-0.9387
25649707-10ad-4349-b18f-6e5d2313698b	5	18270805	19017980	377	-0.0194
25649707-10ad-4349-b18f-6e5d2313698b	5	19025653	21633574	1162	0.0525
25649707-10ad-4349-b18f-6e5d2313698b	5	21634922	21648767	11	-0.6556
25649707-10ad-4349-b18f-6e5d2313698b	5	21649235	25933585	2290	0.0501
25649707-10ad-4349-b18f-6e5d2313698b	5	25934451	25957942	24	-0.4437
25649707-10ad-4349-b18f-6e5d2313698b	5	25959652	28367302	1303	0.0404
25649707-10ad-4349-b18f-6e5d2313698b	5	28370828	30478684	1164	-0.0036
25649707-10ad-4349-b18f-6e5d2313698b	5	30479903	31165253	477	-0.1116
25649707-10ad-4349-b18f-6e5d2313698b	5	31167506	35161230	2202	-0.0045
25649707-10ad-4349-b18f-6e5d2313698b	5	35161761	35161818	2	2.4675
25649707-10ad-4349-b18f-6e5d2313698b	5	35161961	40236700	3270	0.0118
25649707-10ad-4349-b18f-6e5d2313698b	5	40239951	40389750	68	-0.1968
25649707-10ad-4349-b18f-6e5d2313698b	5	40390568	40392124	4	0.6048
25649707-10ad-4349-b18f-6e5d2313698b	5	40393503	40600721	113	-0.1394
25649707-10ad-4349-b18f-6e5d2313698b	5	40600815	40991658	246	0.0425
25649707-10ad-4349-b18f-6e5d2313698b	5	40992902	41339979	248	-0.1458
25649707-10ad-4349-b18f-6e5d2313698b	5	41349256	53063057	3244	-0.0188
25649707-10ad-4349-b18f-6e5d2313698b	5	53063138	53086211	12	-0.7285
25649707-10ad-4349-b18f-6e5d2313698b	5	53086388	57990203	3132	0.0021
25649707-10ad-4349-b18f-6e5d2313698b	5	57990493	58227769	160	-0.1958
25649707-10ad-4349-b18f-6e5d2313698b	5	58228450	63285314	3057	0.0002
25649707-10ad-4349-b18f-6e5d2313698b	5	63285478	64653242	383	-0.1226
25649707-10ad-4349-b18f-6e5d2313698b	5	64653905	67961964	2152	-0.0097
25649707-10ad-4349-b18f-6e5d2313698b	5	67963054	67974939	10	-0.6701
25649707-10ad-4349-b18f-6e5d2313698b	5	67976863	75938555	3685	-0.0011
25649707-10ad-4349-b18f-6e5d2313698b	5	75938708	75995972	52	-0.4682
25649707-10ad-4349-b18f-6e5d2313698b	5	75995992	107323759	15882	-0.0036
25649707-10ad-4349-b18f-6e5d2313698b	5	107324388	107333851	16	-0.6762
25649707-10ad-4349-b18f-6e5d2313698b	5	107333869	109991583	1730	0.0083
25649707-10ad-4349-b18f-6e5d2313698b	5	109993340	110233881	129	-0.1627
25649707-10ad-4349-b18f-6e5d2313698b	5	110243300	110249576	3	-1.3398
25649707-10ad-4349-b18f-6e5d2313698b	5	110250942	110325622	46	-0.0037
25649707-10ad-4349-b18f-6e5d2313698b	5	110326084	110345144	17	-0.4966
25649707-10ad-4349-b18f-6e5d2313698b	5	110349135	110460900	37	-0.1208
25649707-10ad-4349-b18f-6e5d2313698b	5	110461428	117306926	4336	-0.0103
25649707-10ad-4349-b18f-6e5d2313698b	5	117311960	117335151	22	-0.5091
25649707-10ad-4349-b18f-6e5d2313698b	5	117338371	117660411	218	-0.0081
25649707-10ad-4349-b18f-6e5d2313698b	5	117660849	118355543	446	-0.1354
25649707-10ad-4349-b18f-6e5d2313698b	5	118355632	119650293	800	-0.0131
25649707-10ad-4349-b18f-6e5d2313698b	5	119650412	119666824	22	-0.3956
25649707-10ad-4349-b18f-6e5d2313698b	5	119672360	119940247	120	0.0162
25649707-10ad-4349-b18f-6e5d2313698b	5	119940419	119948408	9	-0.778
25649707-10ad-4349-b18f-6e5d2313698b	5	119948622	120125494	106	-0.0354
25649707-10ad-4349-b18f-6e5d2313698b	5	120127129	120137291	2	-1.5422
25649707-10ad-4349-b18f-6e5d2313698b	5	120141442	121773644	814	-0.0087
25649707-10ad-4349-b18f-6e5d2313698b	5	121775310	121800702	17	-0.7136
25649707-10ad-4349-b18f-6e5d2313698b	5	121801286	125268163	2144	-0.0099
25649707-10ad-4349-b18f-6e5d2313698b	5	125268333	125287920	22	-0.5187
25649707-10ad-4349-b18f-6e5d2313698b	5	125296312	125488643	119	-0.0745
25649707-10ad-4349-b18f-6e5d2313698b	5	125491624	125506908	14	-0.6467
25649707-10ad-4349-b18f-6e5d2313698b	5	125507172	125897171	235	-0.0184
25649707-10ad-4349-b18f-6e5d2313698b	5	125897912	125907327	4	-0.9488
25649707-10ad-4349-b18f-6e5d2313698b	5	125907372	126162548	93	-0.0593
25649707-10ad-4349-b18f-6e5d2313698b	5	126162592	143406518	9840	0.0057
25649707-10ad-4349-b18f-6e5d2313698b	5	143409146	145703370	1416	-0.0673
25649707-10ad-4349-b18f-6e5d2313698b	5	145703590	146964377	827	0.0109
25649707-10ad-4349-b18f-6e5d2313698b	5	146972095	147055218	58	-0.2335
25649707-10ad-4349-b18f-6e5d2313698b	5	147055237	147220647	113	-0.0507
25649707-10ad-4349-b18f-6e5d2313698b	5	147221232	147371928	105	0.1295
25649707-10ad-4349-b18f-6e5d2313698b	5	147375938	147387907	16	-0.5987
25649707-10ad-4349-b18f-6e5d2313698b	5	147388254	152128639	3175	-0.0172
25649707-10ad-4349-b18f-6e5d2313698b	5	152131496	153177916	642	-0.0965
25649707-10ad-4349-b18f-6e5d2313698b	5	153178702	153204201	12	-0.7989
25649707-10ad-4349-b18f-6e5d2313698b	5	153206449	155598738	1555	-0.0328
25649707-10ad-4349-b18f-6e5d2313698b	5	155598822	155608547	2	-2.2661
25649707-10ad-4349-b18f-6e5d2313698b	5	155609058	155950472	228	-0.0501
25649707-10ad-4349-b18f-6e5d2313698b	5	155951848	155970593	15	-0.6614
25649707-10ad-4349-b18f-6e5d2313698b	5	155971149	160958291	3337	-0.0283
25649707-10ad-4349-b18f-6e5d2313698b	5	160960009	160971535	20	-0.5801
25649707-10ad-4349-b18f-6e5d2313698b	5	160972242	160989527	15	-0.1805
25649707-10ad-4349-b18f-6e5d2313698b	5	160989593	161135322	92	0.0457
25649707-10ad-4349-b18f-6e5d2313698b	5	161142184	161261467	88	-0.2081
25649707-10ad-4349-b18f-6e5d2313698b	5	161261574	161261677	2	-1.5492
25649707-10ad-4349-b18f-6e5d2313698b	5	161262515	164571803	1925	-0.0189
25649707-10ad-4349-b18f-6e5d2313698b	5	164573540	167181530	1681	0.0536
25649707-10ad-4349-b18f-6e5d2313698b	5	167185195	167201209	13	-0.6302
25649707-10ad-4349-b18f-6e5d2313698b	5	167208543	180934240	8117	0.0122
25649707-10ad-4349-b18f-6e5d2313698b	6	1011760	5862539	3417	0.0414
25649707-10ad-4349-b18f-6e5d2313698b	6	5865298	6245578	336	0.001
25649707-10ad-4349-b18f-6e5d2313698b	6	6245628	6280055	37	-0.2099
25649707-10ad-4349-b18f-6e5d2313698b	6	6280606	6423583	156	0.0175
25649707-10ad-4349-b18f-6e5d2313698b	6	6432131	6442279	13	-0.3995
25649707-10ad-4349-b18f-6e5d2313698b	6	6446539	6461909	16	0.0456
25649707-10ad-4349-b18f-6e5d2313698b	6	6462168	6462678	4	1.0685
25649707-10ad-4349-b18f-6e5d2313698b	6	6464641	6602530	115	0.0128
25649707-10ad-4349-b18f-6e5d2313698b	6	6605630	6605949	2	2.7104
25649707-10ad-4349-b18f-6e5d2313698b	6	6605994	8360977	1339	0.004
25649707-10ad-4349-b18f-6e5d2313698b	6	8361158	8362752	4	-1.1817
25649707-10ad-4349-b18f-6e5d2313698b	6	8364200	12170597	2538	0.0093
25649707-10ad-4349-b18f-6e5d2313698b	6	12170694	12174678	7	-1.0034
25649707-10ad-4349-b18f-6e5d2313698b	6	12175129	18785953	4551	-0.0047
25649707-10ad-4349-b18f-6e5d2313698b	6	18791485	18813136	18	-0.8258
25649707-10ad-4349-b18f-6e5d2313698b	6	18815777	51300968	17619	0.003
25649707-10ad-4349-b18f-6e5d2313698b	6	51301430	51321090	15	-0.7883
25649707-10ad-4349-b18f-6e5d2313698b	6	51321125	66407375	6182	-0.0164
25649707-10ad-4349-b18f-6e5d2313698b	6	66410528	66436466	23	-0.3916
25649707-10ad-4349-b18f-6e5d2313698b	6	66436765	66438766	3	-1.1732
25649707-10ad-4349-b18f-6e5d2313698b	6	66438926	66456061	22	0.1521
25649707-10ad-4349-b18f-6e5d2313698b	6	66457911	66468059	13	-0.4115
25649707-10ad-4349-b18f-6e5d2313698b	6	66468280	66520782	24	0.1531
25649707-10ad-4349-b18f-6e5d2313698b	6	66521338	66523030	5	1.1181
25649707-10ad-4349-b18f-6e5d2313698b	6	66526884	66616171	68	0.1172
25649707-10ad-4349-b18f-6e5d2313698b	6	66616559	66643769	30	-0.231
25649707-10ad-4349-b18f-6e5d2313698b	6	66652304	66745001	66	0.0265
25649707-10ad-4349-b18f-6e5d2313698b	6	66751767	66927730	133	-0.181
25649707-10ad-4349-b18f-6e5d2313698b	6	66929344	67158673	203	0.1001
25649707-10ad-4349-b18f-6e5d2313698b	6	67163189	67505454	189	-0.0602
25649707-10ad-4349-b18f-6e5d2313698b	6	67506132	67575201	40	0.1989
25649707-10ad-4349-b18f-6e5d2313698b	6	67582495	67597501	15	-0.4958
25649707-10ad-4349-b18f-6e5d2313698b	6	67598046	68271006	344	0.0147
25649707-10ad-4349-b18f-6e5d2313698b	6	68271102	68353071	44	-0.3577
25649707-10ad-4349-b18f-6e5d2313698b	6	68361223	71651460	1842	0.0104
25649707-10ad-4349-b18f-6e5d2313698b	6	71652013	71675608	18	-0.6724
25649707-10ad-4349-b18f-6e5d2313698b	6	71679887	84633370	7322	-0.0162
25649707-10ad-4349-b18f-6e5d2313698b	6	84634138	84655226	29	-0.6229
25649707-10ad-4349-b18f-6e5d2313698b	6	84656320	90046168	3085	-0.0042
25649707-10ad-4349-b18f-6e5d2313698b	6	90046734	90050441	2	-1.8161
25649707-10ad-4349-b18f-6e5d2313698b	6	90052203	96484816	3047	-0.0213
25649707-10ad-4349-b18f-6e5d2313698b	6	96489676	96490351	2	-2.6063
25649707-10ad-4349-b18f-6e5d2313698b	6	96490525	96529511	21	0.0717
25649707-10ad-4349-b18f-6e5d2313698b	6	96530660	96554123	18	-0.4048
25649707-10ad-4349-b18f-6e5d2313698b	6	96560772	97813800	716	0.0308
25649707-10ad-4349-b18f-6e5d2313698b	6	97820648	97856674	26	-0.401
25649707-10ad-4349-b18f-6e5d2313698b	6	97857913	97873722	8	0.2262
25649707-10ad-4349-b18f-6e5d2313698b	6	97875366	97887325	11	-0.5436
25649707-10ad-4349-b18f-6e5d2313698b	6	97888207	101599577	2221	-0.0034
25649707-10ad-4349-b18f-6e5d2313698b	6	101603828	101624763	19	-0.597
25649707-10ad-4349-b18f-6e5d2313698b	6	101625863	103614600	1082	-0.0037
25649707-10ad-4349-b18f-6e5d2313698b	6	103618366	103631862	17	-0.6853
25649707-10ad-4349-b18f-6e5d2313698b	6	103638844	115969519	7313	-0.0024
25649707-10ad-4349-b18f-6e5d2313698b	6	115969763	116006055	26	-0.5094
25649707-10ad-4349-b18f-6e5d2313698b	6	116006416	124732173	4591	0.0004
25649707-10ad-4349-b18f-6e5d2313698b	6	124732416	124749772	11	-0.6714
25649707-10ad-4349-b18f-6e5d2313698b	6	124749902	125031101	187	0.0849
25649707-10ad-4349-b18f-6e5d2313698b	6	125038671	125092227	59	-0.2401
25649707-10ad-4349-b18f-6e5d2313698b	6	125095672	127166912	1159	0.0093
25649707-10ad-4349-b18f-6e5d2313698b	6	127169454	127183731	13	-0.6453
25649707-10ad-4349-b18f-6e5d2313698b	6	127191474	140984725	8653	-0.0026
25649707-10ad-4349-b18f-6e5d2313698b	6	140985349	141008501	19	-0.6871
25649707-10ad-4349-b18f-6e5d2313698b	6	141008535	152779495	7652	0.0112
25649707-10ad-4349-b18f-6e5d2313698b	6	152780109	152799017	25	-0.5419
25649707-10ad-4349-b18f-6e5d2313698b	6	152802538	156156395	2320	0.0119
25649707-10ad-4349-b18f-6e5d2313698b	6	156156626	156158841	2	-1.8912
25649707-10ad-4349-b18f-6e5d2313698b	6	156159146	156390409	132	-0.0875
25649707-10ad-4349-b18f-6e5d2313698b	6	156394631	160788985	2716	0.0447
25649707-10ad-4349-b18f-6e5d2313698b	6	160793754	160808380	7	-0.6792
25649707-10ad-4349-b18f-6e5d2313698b	6	160808546	164509072	2120	0.0456
25649707-10ad-4349-b18f-6e5d2313698b	6	164510213	164513867	2	-1.4779
25649707-10ad-4349-b18f-6e5d2313698b	6	164514245	169102251	1964	0.0532
25649707-10ad-4349-b18f-6e5d2313698b	6	169102915	169132344	18	-0.3738
25649707-10ad-4349-b18f-6e5d2313698b	6	169136415	170596889	697	0.0601
25649707-10ad-4349-b18f-6e5d2313698b	7	664936	7322676	2512	-0.0151
25649707-10ad-4349-b18f-6e5d2313698b	7	7323718	7353230	32	-0.3835
25649707-10ad-4349-b18f-6e5d2313698b	7	7353321	9208889	824	-0.0008
