GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8ab49910-be7a-4c03-b16d-b83cc7f53918	1	3301765	247650984	129444	0.0012
8ab49910-be7a-4c03-b16d-b83cc7f53918	2	480597	241537572	131905	0.0053
8ab49910-be7a-4c03-b16d-b83cc7f53918	3	2170634	197812401	106961	0.0025
8ab49910-be7a-4c03-b16d-b83cc7f53918	4	1059384	187842528	103287	0.0004
8ab49910-be7a-4c03-b16d-b83cc7f53918	5	913983	180934240	100899	0.0016
8ab49910-be7a-4c03-b16d-b83cc7f53918	6	1011760	170596889	96949	0.0031
8ab49910-be7a-4c03-b16d-b83cc7f53918	7	664936	102383816	51659	0.0028
8ab49910-be7a-4c03-b16d-b83cc7f53918	7	102385213	102386347	2	-1.8247
8ab49910-be7a-4c03-b16d-b83cc7f53918	7	102391220	158592540	30125	0.0032
8ab49910-be7a-4c03-b16d-b83cc7f53918	8	667625	49265769	26277	-0.0008
8ab49910-be7a-4c03-b16d-b83cc7f53918	8	49267999	49274941	4	-3.079
8ab49910-be7a-4c03-b16d-b83cc7f53918	8	49275832	144182542	55784	-0.0013
8ab49910-be7a-4c03-b16d-b83cc7f53918	9	789794	109580279	51119	0
8ab49910-be7a-4c03-b16d-b83cc7f53918	9	109583689	109583826	3	-1.911
8ab49910-be7a-4c03-b16d-b83cc7f53918	9	109584647	124284565	10209	0.0014
8ab49910-be7a-4c03-b16d-b83cc7f53918	9	124285155	124285171	2	-1.4791
8ab49910-be7a-4c03-b16d-b83cc7f53918	9	124285295	138044505	7027	-0.0003
8ab49910-be7a-4c03-b16d-b83cc7f53918	10	366509	13755853	9599	0.0085
8ab49910-be7a-4c03-b16d-b83cc7f53918	10	13756911	13759269	2	-1.645
8ab49910-be7a-4c03-b16d-b83cc7f53918	10	13759432	21709637	5887	0.0051
8ab49910-be7a-4c03-b16d-b83cc7f53918	10	21726313	21879244	61	0.5827
8ab49910-be7a-4c03-b16d-b83cc7f53918	10	21882211	133411599	65575	-0.0004
8ab49910-be7a-4c03-b16d-b83cc7f53918	11	456012	89533501	48203	0.0021
8ab49910-be7a-4c03-b16d-b83cc7f53918	11	89537726	89542544	7	-0.844
8ab49910-be7a-4c03-b16d-b83cc7f53918	11	89542710	117929554	17932	-0.0004
8ab49910-be7a-4c03-b16d-b83cc7f53918	11	117929586	117932109	2	-1.4582
8ab49910-be7a-4c03-b16d-b83cc7f53918	11	117933283	134272740	11265	-0.0013
8ab49910-be7a-4c03-b16d-b83cc7f53918	12	780472	132605822	74212	0.0035
8ab49910-be7a-4c03-b16d-b83cc7f53918	13	18874255	114226675	56879	0.002
8ab49910-be7a-4c03-b16d-b83cc7f53918	14	20033191	105533894	49690	0.0001
8ab49910-be7a-4c03-b16d-b83cc7f53918	15	23437561	53634892	15906	0.0005
8ab49910-be7a-4c03-b16d-b83cc7f53918	15	53637327	53639620	6	-1.7641
8ab49910-be7a-4c03-b16d-b83cc7f53918	15	53639739	63945957	7051	-0.0008
8ab49910-be7a-4c03-b16d-b83cc7f53918	15	63947464	63947492	2	-1.4246
8ab49910-be7a-4c03-b16d-b83cc7f53918	15	63949043	101344124	21706	0.0022
8ab49910-be7a-4c03-b16d-b83cc7f53918	16	603333	89317317	41133	0.0004
8ab49910-be7a-4c03-b16d-b83cc7f53918	17	1074619	64994423	27818	0.0027
8ab49910-be7a-4c03-b16d-b83cc7f53918	17	64994766	65001905	4	-1.4918
8ab49910-be7a-4c03-b16d-b83cc7f53918	17	65002461	82959812	9373	0.0002
8ab49910-be7a-4c03-b16d-b83cc7f53918	18	326691	3245673	1165	0.0051
8ab49910-be7a-4c03-b16d-b83cc7f53918	18	3250328	3250531	2	-1.4968
8ab49910-be7a-4c03-b16d-b83cc7f53918	18	3250624	79349796	41702	0.0014
8ab49910-be7a-4c03-b16d-b83cc7f53918	19	283868	43975343	18034	0.0044
8ab49910-be7a-4c03-b16d-b83cc7f53918	19	43975607	43975608	2	-1.9386
8ab49910-be7a-4c03-b16d-b83cc7f53918	19	43978555	58370362	6071	-0.0011
8ab49910-be7a-4c03-b16d-b83cc7f53918	20	472817	56991302	33112	0.0032
8ab49910-be7a-4c03-b16d-b83cc7f53918	20	56991724	56991746	2	1.3907
8ab49910-be7a-4c03-b16d-b83cc7f53918	20	56993632	58627693	1269	0.0186
8ab49910-be7a-4c03-b16d-b83cc7f53918	20	58627947	58628122	2	-1.6236
8ab49910-be7a-4c03-b16d-b83cc7f53918	20	58628123	63588502	3098	0.0022
8ab49910-be7a-4c03-b16d-b83cc7f53918	21	13974127	46262057	20561	0.004
8ab49910-be7a-4c03-b16d-b83cc7f53918	22	16934932	38148291	10380	0.0061
8ab49910-be7a-4c03-b16d-b83cc7f53918	22	38150693	38185634	24	-1.0526
8ab49910-be7a-4c03-b16d-b83cc7f53918	22	38191873	48940621	6659	0.0043
8ab49910-be7a-4c03-b16d-b83cc7f53918	X	3236359	139214366	56546	0.0005
8ab49910-be7a-4c03-b16d-b83cc7f53918	X	139214412	139214688	2	-3.5283
8ab49910-be7a-4c03-b16d-b83cc7f53918	X	139214734	155677414	7135	-0.0041
