GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c8552a56-da50-4829-aa55-559c27194ebc	1	3301765	247650984	129621	0.0046
c8552a56-da50-4829-aa55-559c27194ebc	2	480597	241537572	132104	-0.0008
c8552a56-da50-4829-aa55-559c27194ebc	3	2170634	69354767	39728	0.0036
c8552a56-da50-4829-aa55-559c27194ebc	3	69358170	69362445	5	-1.1325
c8552a56-da50-4829-aa55-559c27194ebc	3	69363193	197812401	67341	0.0039
c8552a56-da50-4829-aa55-559c27194ebc	4	1059384	187842528	103394	0.0013
c8552a56-da50-4829-aa55-559c27194ebc	5	913983	180934240	101016	0.004
c8552a56-da50-4829-aa55-559c27194ebc	6	1011760	5168803	2999	0.0051
c8552a56-da50-4829-aa55-559c27194ebc	6	5172416	5294139	89	-1.0066
c8552a56-da50-4829-aa55-559c27194ebc	6	5298129	170596889	93980	0.0033
c8552a56-da50-4829-aa55-559c27194ebc	7	664936	158592540	81847	0.004
c8552a56-da50-4829-aa55-559c27194ebc	8	667625	109604123	60842	-0.0008
c8552a56-da50-4829-aa55-559c27194ebc	8	109604734	109604765	2	-1.8933
c8552a56-da50-4829-aa55-559c27194ebc	8	109604963	144182542	21306	0.0068
c8552a56-da50-4829-aa55-559c27194ebc	9	789794	138044505	68416	0.0023
c8552a56-da50-4829-aa55-559c27194ebc	10	366509	133411599	81239	0.002
c8552a56-da50-4829-aa55-559c27194ebc	11	456012	134272740	77503	0.0025
c8552a56-da50-4829-aa55-559c27194ebc	12	780472	132605822	74291	0.003
c8552a56-da50-4829-aa55-559c27194ebc	13	18874255	114226675	56918	0.0005
c8552a56-da50-4829-aa55-559c27194ebc	14	20033191	102377801	48573	-0.0003
c8552a56-da50-4829-aa55-559c27194ebc	14	102383330	102385265	2	-1.9516
c8552a56-da50-4829-aa55-559c27194ebc	14	102387385	105533894	1163	-0.0114
c8552a56-da50-4829-aa55-559c27194ebc	15	23437561	101344124	44741	0.0016
c8552a56-da50-4829-aa55-559c27194ebc	16	603333	89317317	41181	0.0054
c8552a56-da50-4829-aa55-559c27194ebc	17	1074619	82959812	37261	0.0003
c8552a56-da50-4829-aa55-559c27194ebc	18	326691	32397782	15059	0.0003
c8552a56-da50-4829-aa55-559c27194ebc	18	32401062	32401065	3	-1.5223
c8552a56-da50-4829-aa55-559c27194ebc	18	32402540	79349796	27853	0.0041
c8552a56-da50-4829-aa55-559c27194ebc	19	283868	58370362	24145	0.0037
c8552a56-da50-4829-aa55-559c27194ebc	20	472817	63588502	37529	0.0091
c8552a56-da50-4829-aa55-559c27194ebc	21	13974127	46262057	20573	0.0095
c8552a56-da50-4829-aa55-559c27194ebc	22	16934932	48940621	17084	0.0049
c8552a56-da50-4829-aa55-559c27194ebc	X	3236359	40369417	16704	0.0134
c8552a56-da50-4829-aa55-559c27194ebc	X	40369695	40372557	3	-2.4529
c8552a56-da50-4829-aa55-559c27194ebc	X	40372726	139641269	40216	0.0032
c8552a56-da50-4829-aa55-559c27194ebc	X	139642566	139642770	3	-2.7385
c8552a56-da50-4829-aa55-559c27194ebc	X	139642962	155677414	6833	0.0039
