GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
50c5baaa-298c-4340-82d9-714a27b2c093	1	3301765	27022452	12877	-0.2651
50c5baaa-298c-4340-82d9-714a27b2c093	1	27072223	27229966	59	-0.9973
50c5baaa-298c-4340-82d9-714a27b2c093	1	27243796	30595405	1765	-0.2478
50c5baaa-298c-4340-82d9-714a27b2c093	1	30596919	30598104	5	-1.044
50c5baaa-298c-4340-82d9-714a27b2c093	1	30598362	31598951	476	-0.2714
50c5baaa-298c-4340-82d9-714a27b2c093	1	31601624	31679422	51	0.1532
50c5baaa-298c-4340-82d9-714a27b2c093	1	31681163	37322132	3019	-0.247
50c5baaa-298c-4340-82d9-714a27b2c093	1	37323098	37323810	2	-1.6144
50c5baaa-298c-4340-82d9-714a27b2c093	1	37329289	48128517	5813	-0.2388
50c5baaa-298c-4340-82d9-714a27b2c093	1	48128610	53655200	2743	-0.1996
50c5baaa-298c-4340-82d9-714a27b2c093	1	53658177	55087553	853	-0.2693
50c5baaa-298c-4340-82d9-714a27b2c093	1	55088323	57779280	2157	-0.1698
50c5baaa-298c-4340-82d9-714a27b2c093	1	57779969	57922135	116	0.0669
50c5baaa-298c-4340-82d9-714a27b2c093	1	57925994	57929080	6	0.7049
50c5baaa-298c-4340-82d9-714a27b2c093	1	57929127	57944083	16	0.395
50c5baaa-298c-4340-82d9-714a27b2c093	1	57945027	58096078	149	0.1105
50c5baaa-298c-4340-82d9-714a27b2c093	1	58096950	58995607	660	1.7067
50c5baaa-298c-4340-82d9-714a27b2c093	1	58999025	59752371	481	1.5151
50c5baaa-298c-4340-82d9-714a27b2c093	1	59753339	61291227	1026	0.3339
50c5baaa-298c-4340-82d9-714a27b2c093	1	61291352	62529491	874	0.0527
50c5baaa-298c-4340-82d9-714a27b2c093	1	62531167	64118301	1078	0.1268
50c5baaa-298c-4340-82d9-714a27b2c093	1	64123218	64151009	25	0.2348
50c5baaa-298c-4340-82d9-714a27b2c093	1	64155954	64833632	486	-0.1286
50c5baaa-298c-4340-82d9-714a27b2c093	1	64833665	65347566	477	-0.1956
50c5baaa-298c-4340-82d9-714a27b2c093	1	65347794	81089527	9227	-0.1078
50c5baaa-298c-4340-82d9-714a27b2c093	1	81093230	81427880	167	0.6759
50c5baaa-298c-4340-82d9-714a27b2c093	1	81427945	81428427	6	1.2077
50c5baaa-298c-4340-82d9-714a27b2c093	1	81430195	81523735	94	0.6786
50c5baaa-298c-4340-82d9-714a27b2c093	1	81524578	81716881	153	0.3429
50c5baaa-298c-4340-82d9-714a27b2c093	1	81717088	86381207	3010	0.15
50c5baaa-298c-4340-82d9-714a27b2c093	1	86383800	88123755	1152	-0.1358
50c5baaa-298c-4340-82d9-714a27b2c093	1	88125423	88794408	429	0.1227
50c5baaa-298c-4340-82d9-714a27b2c093	1	88842283	95840630	4236	-0.1439
50c5baaa-298c-4340-82d9-714a27b2c093	1	95847313	99665863	2266	-0.0818
50c5baaa-298c-4340-82d9-714a27b2c093	1	99666476	105058551	2826	-0.1202
50c5baaa-298c-4340-82d9-714a27b2c093	1	105061228	107530905	1500	0.1851
50c5baaa-298c-4340-82d9-714a27b2c093	1	107532009	110534540	1594	0.0754
50c5baaa-298c-4340-82d9-714a27b2c093	1	110534850	150022446	6039	-0.1636
50c5baaa-298c-4340-82d9-714a27b2c093	1	150023996	158087630	4000	-0.226
50c5baaa-298c-4340-82d9-714a27b2c093	1	158087901	167916174	6927	-0.1784
50c5baaa-298c-4340-82d9-714a27b2c093	1	167916800	171092965	2229	-0.1284
50c5baaa-298c-4340-82d9-714a27b2c093	1	171102701	171863954	521	-0.2227
50c5baaa-298c-4340-82d9-714a27b2c093	1	171864066	174882798	1728	-0.1258
50c5baaa-298c-4340-82d9-714a27b2c093	1	174884305	185344080	6523	-0.1739
50c5baaa-298c-4340-82d9-714a27b2c093	1	185344104	199818694	8451	-0.0845
50c5baaa-298c-4340-82d9-714a27b2c093	1	199819734	200626145	564	-0.1839
50c5baaa-298c-4340-82d9-714a27b2c093	1	200627135	200627849	3	-1.1439
50c5baaa-298c-4340-82d9-714a27b2c093	1	200628197	200678560	30	-0.1698
50c5baaa-298c-4340-82d9-714a27b2c093	1	200682081	200682101	2	0.7358
50c5baaa-298c-4340-82d9-714a27b2c093	1	200683472	201331983	433	-0.2089
50c5baaa-298c-4340-82d9-714a27b2c093	1	201332568	205825027	2959	-0.2484
50c5baaa-298c-4340-82d9-714a27b2c093	1	205825047	208355284	1514	-0.1895
50c5baaa-298c-4340-82d9-714a27b2c093	1	208355686	208355700	2	-1.7003
50c5baaa-298c-4340-82d9-714a27b2c093	1	208356284	213040756	3259	-0.1872
50c5baaa-298c-4340-82d9-714a27b2c093	1	213041688	213618324	349	0.0685
50c5baaa-298c-4340-82d9-714a27b2c093	1	213619897	214610919	767	-0.1475
50c5baaa-298c-4340-82d9-714a27b2c093	1	214620470	216840220	1497	-0.0788
50c5baaa-298c-4340-82d9-714a27b2c093	1	216840723	218951783	1447	-0.126
50c5baaa-298c-4340-82d9-714a27b2c093	1	218951981	219269554	197	0.0018
50c5baaa-298c-4340-82d9-714a27b2c093	1	219281520	220316375	727	-0.1018
50c5baaa-298c-4340-82d9-714a27b2c093	1	220316704	220928254	370	-0.1862
50c5baaa-298c-4340-82d9-714a27b2c093	1	220928350	222406165	1044	-0.0969
50c5baaa-298c-4340-82d9-714a27b2c093	1	222415705	227835653	3038	-0.188
50c5baaa-298c-4340-82d9-714a27b2c093	1	227835665	231872657	2357	-0.2346
50c5baaa-298c-4340-82d9-714a27b2c093	1	231872801	237292793	3975	-0.1927
50c5baaa-298c-4340-82d9-714a27b2c093	1	237293880	239581146	1739	-0.1322
50c5baaa-298c-4340-82d9-714a27b2c093	1	239585449	240779644	953	-0.2013
50c5baaa-298c-4340-82d9-714a27b2c093	1	240779800	243768521	1925	-0.1249
50c5baaa-298c-4340-82d9-714a27b2c093	1	243768638	247649129	1786	-0.1853
