GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
051411d6-149b-4a3c-90db-3632fca27ff2	1	3301765	19500302	9092	0.0753
051411d6-149b-4a3c-90db-3632fca27ff2	1	19502918	19662401	90	0.2252
051411d6-149b-4a3c-90db-3632fca27ff2	1	19668998	71772749	30125	0.0762
051411d6-149b-4a3c-90db-3632fca27ff2	1	71774318	81279676	5321	0.0561
051411d6-149b-4a3c-90db-3632fca27ff2	1	81279939	81280553	3	-0.7911
051411d6-149b-4a3c-90db-3632fca27ff2	1	81280935	83494298	1422	0.0577
051411d6-149b-4a3c-90db-3632fca27ff2	1	83497640	88457824	3368	0.0815
051411d6-149b-4a3c-90db-3632fca27ff2	1	88461280	88543402	72	0.3067
051411d6-149b-4a3c-90db-3632fca27ff2	1	88546454	99902713	6859	0.0781
051411d6-149b-4a3c-90db-3632fca27ff2	1	99904180	106845762	3665	0.0474
051411d6-149b-4a3c-90db-3632fca27ff2	1	106859331	149910462	8122	0.0845
051411d6-149b-4a3c-90db-3632fca27ff2	1	149913375	151554365	597	0.2287
051411d6-149b-4a3c-90db-3632fca27ff2	1	151555157	155184594	1921	0.0627
051411d6-149b-4a3c-90db-3632fca27ff2	1	155205866	155546401	148	0.2231
051411d6-149b-4a3c-90db-3632fca27ff2	1	155547597	161425765	3497	0.0635
051411d6-149b-4a3c-90db-3632fca27ff2	1	161426316	166909227	4131	0.2825
051411d6-149b-4a3c-90db-3632fca27ff2	1	166910089	167101321	126	0.0766
051411d6-149b-4a3c-90db-3632fca27ff2	1	167102543	167108568	10	0.3863
051411d6-149b-4a3c-90db-3632fca27ff2	1	167112300	167141790	31	0.0546
051411d6-149b-4a3c-90db-3632fca27ff2	1	167142056	169288963	1589	0.2603
051411d6-149b-4a3c-90db-3632fca27ff2	1	169289309	169784317	383	0.4517
051411d6-149b-4a3c-90db-3632fca27ff2	1	169785295	170096814	229	0.2548
051411d6-149b-4a3c-90db-3632fca27ff2	1	170098094	170854413	479	0.4673
051411d6-149b-4a3c-90db-3632fca27ff2	1	170861136	171510152	419	0.257
051411d6-149b-4a3c-90db-3632fca27ff2	1	171510802	171813602	210	0.4287
051411d6-149b-4a3c-90db-3632fca27ff2	1	171815619	176501633	2500	0.2624
051411d6-149b-4a3c-90db-3632fca27ff2	1	176506044	178931362	1526	0.0662
051411d6-149b-4a3c-90db-3632fca27ff2	1	178932518	179350681	384	0.2527
