GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	3301765	5176710	1331	0.2299
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	5185758	5187295	4	-0.5891
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	5190437	5577606	264	0.2595
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	5578613	5778713	184	0.9512
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	5784742	7698005	1074	0.1963
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	7698738	17296402	4674	0.0742
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	17302201	17307077	13	0.9556
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	17308590	17314608	7	0.0827
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	17318665	17619688	175	0.8183
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	17626831	17955601	226	0.1803
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	17958313	18328377	340	0.0754
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	18328845	18330343	3	0.9703
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	18330956	18738880	298	0.0406
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	18739292	18740471	3	-0.9779
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	18740874	21920235	1891	0.0553
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	21922564	23049200	629	0.1471
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	23049345	25818819	1312	0.2031
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	25828293	30587017	2310	0.1436
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	30588527	33941241	1658	0.0834
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	33953003	37250387	1862	0.1421
3d6adf93-1bdc-4764-be7a-08bcd75054e8	1	37252894	37503781	116	0.0704
