GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c5ebbc3c-ea32-44be-a15c-b938ae22d413	1	3301765	160403281	73696	0.0053
c5ebbc3c-ea32-44be-a15c-b938ae22d413	1	160404022	160404167	2	-1.8313
c5ebbc3c-ea32-44be-a15c-b938ae22d413	1	160404718	242409922	53459	0.0035
c5ebbc3c-ea32-44be-a15c-b938ae22d413	1	242410290	242410447	2	-1.6984
c5ebbc3c-ea32-44be-a15c-b938ae22d413	1	242410846	247650984	2584	-0.0005
c5ebbc3c-ea32-44be-a15c-b938ae22d413	2	480597	152731078	80964	0.0055
c5ebbc3c-ea32-44be-a15c-b938ae22d413	2	152740132	152740405	2	1.5104
c5ebbc3c-ea32-44be-a15c-b938ae22d413	2	152743235	168872023	9297	0.0053
c5ebbc3c-ea32-44be-a15c-b938ae22d413	2	168875079	168880358	6	-0.8287
c5ebbc3c-ea32-44be-a15c-b938ae22d413	2	168880463	241537572	41916	0.0053
c5ebbc3c-ea32-44be-a15c-b938ae22d413	3	2170634	190781109	104049	0.0022
c5ebbc3c-ea32-44be-a15c-b938ae22d413	3	190788244	190788707	5	-0.8587
c5ebbc3c-ea32-44be-a15c-b938ae22d413	3	190792051	197812401	3130	-0.0085
c5ebbc3c-ea32-44be-a15c-b938ae22d413	4	1059384	8584262	4282	0.006
c5ebbc3c-ea32-44be-a15c-b938ae22d413	4	8584369	8585012	2	-1.6618
c5ebbc3c-ea32-44be-a15c-b938ae22d413	4	8586548	10472696	674	0.0376
c5ebbc3c-ea32-44be-a15c-b938ae22d413	4	10473656	10476411	2	-1.475
c5ebbc3c-ea32-44be-a15c-b938ae22d413	4	10480791	127781482	66356	-0.0013
c5ebbc3c-ea32-44be-a15c-b938ae22d413	4	127783245	127783501	7	-0.9127
c5ebbc3c-ea32-44be-a15c-b938ae22d413	4	127786011	187842528	32145	0.0019
c5ebbc3c-ea32-44be-a15c-b938ae22d413	5	913983	129509905	69652	-0.0011
c5ebbc3c-ea32-44be-a15c-b938ae22d413	5	129511081	129511479	3	-1.2677
c5ebbc3c-ea32-44be-a15c-b938ae22d413	5	129512255	142091745	6942	0.004
c5ebbc3c-ea32-44be-a15c-b938ae22d413	5	142095613	142095801	2	-1.3874
c5ebbc3c-ea32-44be-a15c-b938ae22d413	5	142100268	180934240	24507	-0.0003
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	1011760	37626566	21961	-0.0001
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	37627770	37628144	3	-1.3134
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	37628439	66564807	14672	0.0014
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	66565742	66566447	3	-1.328
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	66566897	67065310	398	-0.0211
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	67065373	67065388	2	-1.315
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	67065498	85030507	10199	0.0006
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	85031893	85032129	4	-1.02
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	85032434	88707333	2066	0.0084
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	88711550	88742636	15	-0.8586
c5ebbc3c-ea32-44be-a15c-b938ae22d413	6	88753298	170596889	47820	0.0018
c5ebbc3c-ea32-44be-a15c-b938ae22d413	7	664936	3231263	965	-0.0132
c5ebbc3c-ea32-44be-a15c-b938ae22d413	7	3232366	3232765	2	-1.5058
c5ebbc3c-ea32-44be-a15c-b938ae22d413	7	3232894	158592540	80961	0.0013
c5ebbc3c-ea32-44be-a15c-b938ae22d413	8	667625	111538386	61868	-0.0029
c5ebbc3c-ea32-44be-a15c-b938ae22d413	8	111544242	111544458	4	-1.4407
c5ebbc3c-ea32-44be-a15c-b938ae22d413	8	111545201	144182542	20339	0.0028
c5ebbc3c-ea32-44be-a15c-b938ae22d413	9	789794	138044505	68478	0.0002
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	366509	65269797	38887	-0.0025
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	65271103	65272145	3	-1.0461
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	65272629	105600780	24135	0.0055
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	105602131	105602719	3	-1.0276
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	105603614	106963441	920	-0.003
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	106965708	106965737	2	-1.321
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	106966106	107698204	577	-0.0108
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	107698840	107699288	2	-2.009
c5ebbc3c-ea32-44be-a15c-b938ae22d413	10	107699887	133411599	16772	0.001
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	456012	21777705	13810	0.0065
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	21777850	21777936	2	-1.243
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	21782288	32622369	6921	0.0059
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	32624007	32643566	9	-0.7045
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	32644031	37893969	3105	0.0017
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	37894295	37895534	3	-1.2005
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	37900222	101818592	32336	0.0032
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	101821591	101821940	2	-1.4795
c5ebbc3c-ea32-44be-a15c-b938ae22d413	11	101831021	134272740	21375	0.0046
