GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e35349ad-d8d8-4d93-b2cc-896dbb17555d	1	3301765	247650984	129371	0.0001
e35349ad-d8d8-4d93-b2cc-896dbb17555d	2	480597	25075322	15759	0.0022
e35349ad-d8d8-4d93-b2cc-896dbb17555d	2	25075729	25952407	404	-0.1656
e35349ad-d8d8-4d93-b2cc-896dbb17555d	2	25959122	128060983	51146	0.002
e35349ad-d8d8-4d93-b2cc-896dbb17555d	2	128064298	128069358	7	-1.0424
e35349ad-d8d8-4d93-b2cc-896dbb17555d	2	128069876	241537572	64524	0.004
e35349ad-d8d8-4d93-b2cc-896dbb17555d	3	2170634	188445889	102163	0.0011
e35349ad-d8d8-4d93-b2cc-896dbb17555d	3	188446163	188446244	2	-4.1779
e35349ad-d8d8-4d93-b2cc-896dbb17555d	3	188447137	197812401	4717	-0.0001
e35349ad-d8d8-4d93-b2cc-896dbb17555d	4	1059384	34642992	20803	-0.0008
e35349ad-d8d8-4d93-b2cc-896dbb17555d	4	34646613	34663251	12	-1.0346
e35349ad-d8d8-4d93-b2cc-896dbb17555d	4	34667813	187842528	82375	0.0002
e35349ad-d8d8-4d93-b2cc-896dbb17555d	5	913983	54452695	28257	0.0002
e35349ad-d8d8-4d93-b2cc-896dbb17555d	5	54453253	54458320	4	-1.7378
e35349ad-d8d8-4d93-b2cc-896dbb17555d	5	54458514	180934240	72596	-0.0025
e35349ad-d8d8-4d93-b2cc-896dbb17555d	6	1011760	65310015	35834	0.0022
e35349ad-d8d8-4d93-b2cc-896dbb17555d	6	65313611	65317736	5	-0.9239
e35349ad-d8d8-4d93-b2cc-896dbb17555d	6	65320558	66929996	991	0.0187
e35349ad-d8d8-4d93-b2cc-896dbb17555d	6	66932767	67419539	355	0.5528
e35349ad-d8d8-4d93-b2cc-896dbb17555d	6	67422808	140015441	41777	0.002
e35349ad-d8d8-4d93-b2cc-896dbb17555d	6	140017375	140025093	4	-1.2138
e35349ad-d8d8-4d93-b2cc-896dbb17555d	6	140032527	170596889	17930	-0.0001
e35349ad-d8d8-4d93-b2cc-896dbb17555d	7	664936	158592540	81719	0.0016
e35349ad-d8d8-4d93-b2cc-896dbb17555d	8	667625	144182542	81997	0.0017
e35349ad-d8d8-4d93-b2cc-896dbb17555d	9	789794	138044505	68300	0.001
e35349ad-d8d8-4d93-b2cc-896dbb17555d	10	366509	64638921	38321	0.0004
e35349ad-d8d8-4d93-b2cc-896dbb17555d	10	64639652	64640112	2	-2.0872
e35349ad-d8d8-4d93-b2cc-896dbb17555d	10	64643074	117225974	32319	-0.0009
