GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9badf3c3-24f5-400f-b3a4-899a6dd104ed	1	3301765	247650984	129748	0.0016
9badf3c3-24f5-400f-b3a4-899a6dd104ed	2	480597	241537572	132211	0.0071
9badf3c3-24f5-400f-b3a4-899a6dd104ed	3	2170634	3209374	474	0.0162
9badf3c3-24f5-400f-b3a4-899a6dd104ed	3	3215206	3215539	2	-2.203
9badf3c3-24f5-400f-b3a4-899a6dd104ed	3	3216204	13935131	6684	-0.0125
9badf3c3-24f5-400f-b3a4-899a6dd104ed	3	13936563	13957817	3	-1.7062
9badf3c3-24f5-400f-b3a4-899a6dd104ed	3	13963201	197812401	100014	-0.0001
9badf3c3-24f5-400f-b3a4-899a6dd104ed	4	1059384	187842528	103516	0.0017
9badf3c3-24f5-400f-b3a4-899a6dd104ed	5	913983	180934240	101136	0.0005
9badf3c3-24f5-400f-b3a4-899a6dd104ed	6	1011760	154346400	88266	0.0017
9badf3c3-24f5-400f-b3a4-899a6dd104ed	6	154347070	154347896	2	-1.6789
9badf3c3-24f5-400f-b3a4-899a6dd104ed	6	154348514	170596889	8909	-0.0017
9badf3c3-24f5-400f-b3a4-899a6dd104ed	7	664936	14687502	6913	0.0024
9badf3c3-24f5-400f-b3a4-899a6dd104ed	7	14691076	14693870	4	-1.3132
9badf3c3-24f5-400f-b3a4-899a6dd104ed	7	14696581	75808367	31424	-0.0008
9badf3c3-24f5-400f-b3a4-899a6dd104ed	7	75809445	75809462	2	-2.1503
9badf3c3-24f5-400f-b3a4-899a6dd104ed	7	75810378	158592540	43591	0.0031
9badf3c3-24f5-400f-b3a4-899a6dd104ed	8	667625	3625109	1509	0.0055
9badf3c3-24f5-400f-b3a4-899a6dd104ed	8	3630124	3630522	3	-1.2357
9badf3c3-24f5-400f-b3a4-899a6dd104ed	8	3630780	15740973	6070	0.0037
9badf3c3-24f5-400f-b3a4-899a6dd104ed	8	15741189	15741576	3	-0.9766
9badf3c3-24f5-400f-b3a4-899a6dd104ed	8	15743278	22858621	5241	0.0002
9badf3c3-24f5-400f-b3a4-899a6dd104ed	8	22868583	23001880	102	-1.1016
9badf3c3-24f5-400f-b3a4-899a6dd104ed	8	23002774	144182542	69288	0.0006
9badf3c3-24f5-400f-b3a4-899a6dd104ed	9	789794	138044505	68489	0.0036
9badf3c3-24f5-400f-b3a4-899a6dd104ed	10	366509	133411599	81291	-0.0004
9badf3c3-24f5-400f-b3a4-899a6dd104ed	11	456012	64303874	34937	0.0018
9badf3c3-24f5-400f-b3a4-899a6dd104ed	11	64304733	64322402	5	-1.2371
9badf3c3-24f5-400f-b3a4-899a6dd104ed	11	64323825	134272740	42643	0.001
9badf3c3-24f5-400f-b3a4-899a6dd104ed	12	780472	25934041	14949	0.0004
9badf3c3-24f5-400f-b3a4-899a6dd104ed	12	25935491	25935808	2	-1.6131
9badf3c3-24f5-400f-b3a4-899a6dd104ed	12	25936406	30217892	2824	-0.0156
9badf3c3-24f5-400f-b3a4-899a6dd104ed	12	30218784	30220934	3	-1.3422
9badf3c3-24f5-400f-b3a4-899a6dd104ed	12	30222662	132605822	56591	-0.0002
9badf3c3-24f5-400f-b3a4-899a6dd104ed	13	18874255	85274155	38534	0.003
9badf3c3-24f5-400f-b3a4-899a6dd104ed	13	85275996	85276209	2	-2.4324
9badf3c3-24f5-400f-b3a4-899a6dd104ed	13	85276509	114226675	18452	-0.0013
9badf3c3-24f5-400f-b3a4-899a6dd104ed	14	20033191	105533894	49780	0.0002
9badf3c3-24f5-400f-b3a4-899a6dd104ed	15	23437561	101344124	44780	0.0022
9badf3c3-24f5-400f-b3a4-899a6dd104ed	16	603333	89317317	41218	0.0011
9badf3c3-24f5-400f-b3a4-899a6dd104ed	17	1074619	82959812	37272	0.0052
9badf3c3-24f5-400f-b3a4-899a6dd104ed	18	326691	79349796	42963	0.0015
9badf3c3-24f5-400f-b3a4-899a6dd104ed	19	283868	1518202	246	0.0253
9badf3c3-24f5-400f-b3a4-899a6dd104ed	19	1525886	1541731	10	-1.004
9badf3c3-24f5-400f-b3a4-899a6dd104ed	19	1546923	58370362	23884	0.0033
9badf3c3-24f5-400f-b3a4-899a6dd104ed	20	472817	63588502	37547	-0.0004
9badf3c3-24f5-400f-b3a4-899a6dd104ed	21	13974127	14006460	5	-0.6196
9badf3c3-24f5-400f-b3a4-899a6dd104ed	21	14007481	46262057	20592	0.0028
9badf3c3-24f5-400f-b3a4-899a6dd104ed	22	16934932	48940621	17084	0.0057
9badf3c3-24f5-400f-b3a4-899a6dd104ed	X	3236359	155677414	63985	0.0008
