GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e3afc785-ad88-424b-8628-0f581b275c87	1	3301765	16237453	7200	-0.0045
e3afc785-ad88-424b-8628-0f581b275c87	1	16268499	18434630	1153	-0.0822
e3afc785-ad88-424b-8628-0f581b275c87	1	18435006	33811573	7881	-0.0128
e3afc785-ad88-424b-8628-0f581b275c87	1	33812121	33812378	2	-2.3733
e3afc785-ad88-424b-8628-0f581b275c87	1	33814141	94110804	36300	-0.0023
e3afc785-ad88-424b-8628-0f581b275c87	1	94111337	94111906	3	-2.1317
e3afc785-ad88-424b-8628-0f581b275c87	1	94112141	247650984	76828	-0.0007
e3afc785-ad88-424b-8628-0f581b275c87	2	480597	3451921	1183	0.0288
e3afc785-ad88-424b-8628-0f581b275c87	2	3452735	3630747	104	0.2029
e3afc785-ad88-424b-8628-0f581b275c87	2	3633276	18539801	10474	0.0072
e3afc785-ad88-424b-8628-0f581b275c87	2	18541959	18579917	20	0.4124
e3afc785-ad88-424b-8628-0f581b275c87	2	18580428	19601280	723	-0.0174
e3afc785-ad88-424b-8628-0f581b275c87	2	19604236	19604343	2	1.563
e3afc785-ad88-424b-8628-0f581b275c87	2	19604835	19755168	159	-0.0765
e3afc785-ad88-424b-8628-0f581b275c87	2	19755670	19755855	2	-2.1925
e3afc785-ad88-424b-8628-0f581b275c87	2	19757155	168315160	76906	0.0056
e3afc785-ad88-424b-8628-0f581b275c87	2	168316164	168317140	3	-2.0321
e3afc785-ad88-424b-8628-0f581b275c87	2	168317534	189752221	12153	0.0183
e3afc785-ad88-424b-8628-0f581b275c87	2	189752235	189823119	55	0.2482
e3afc785-ad88-424b-8628-0f581b275c87	2	189828597	197670842	3699	0.0168
e3afc785-ad88-424b-8628-0f581b275c87	2	197673947	197808045	49	0.2543
e3afc785-ad88-424b-8628-0f581b275c87	2	197812190	206248492	4898	0.0065
e3afc785-ad88-424b-8628-0f581b275c87	2	206253038	206447191	84	0.2058
e3afc785-ad88-424b-8628-0f581b275c87	2	206448737	208344446	1111	0.0158
e3afc785-ad88-424b-8628-0f581b275c87	2	208344551	208390295	80	0.2651
e3afc785-ad88-424b-8628-0f581b275c87	2	208393969	215662612	4306	0.0259
e3afc785-ad88-424b-8628-0f581b275c87	2	215662748	218836438	2047	-0.0245
e3afc785-ad88-424b-8628-0f581b275c87	2	218838575	219110333	112	0.0579
e3afc785-ad88-424b-8628-0f581b275c87	2	219113075	219490807	192	0.1369
e3afc785-ad88-424b-8628-0f581b275c87	2	219492084	225825937	4236	-0.003
e3afc785-ad88-424b-8628-0f581b275c87	2	225831020	225831250	3	1.6456
e3afc785-ad88-424b-8628-0f581b275c87	2	225832712	241537572	9212	0.0147
e3afc785-ad88-424b-8628-0f581b275c87	3	2170634	10369869	4668	-0.0039
e3afc785-ad88-424b-8628-0f581b275c87	3	10370143	29456498	11480	-0.0168
e3afc785-ad88-424b-8628-0f581b275c87	3	29456516	29484773	28	0.2673
e3afc785-ad88-424b-8628-0f581b275c87	3	29485698	29666699	134	0.0413
e3afc785-ad88-424b-8628-0f581b275c87	3	29676031	29727726	47	0.2295
e3afc785-ad88-424b-8628-0f581b275c87	3	29728413	29728697	2	1.7365
e3afc785-ad88-424b-8628-0f581b275c87	3	29729896	74515835	27023	-0.02
e3afc785-ad88-424b-8628-0f581b275c87	3	74515959	197812401	63469	-0.0005
e3afc785-ad88-424b-8628-0f581b275c87	4	1059384	5156957	1874	0.0118
e3afc785-ad88-424b-8628-0f581b275c87	4	5157525	5157927	2	-2.6829
e3afc785-ad88-424b-8628-0f581b275c87	4	5159044	187842528	101373	0.001
e3afc785-ad88-424b-8628-0f581b275c87	5	914118	37897209	21800	-0.0008
e3afc785-ad88-424b-8628-0f581b275c87	5	37897287	37897347	2	-2.0364
e3afc785-ad88-424b-8628-0f581b275c87	5	37897366	141098085	54118	-0.0024
e3afc785-ad88-424b-8628-0f581b275c87	5	141098348	141447667	134	0.2418
e3afc785-ad88-424b-8628-0f581b275c87	5	141450788	169005381	18000	-0.014
e3afc785-ad88-424b-8628-0f581b275c87	5	169006193	170718580	1351	-0.0697
e3afc785-ad88-424b-8628-0f581b275c87	5	170719814	178223992	4027	-0.0102
e3afc785-ad88-424b-8628-0f581b275c87	5	178225391	178275580	2	-1.9805
e3afc785-ad88-424b-8628-0f581b275c87	5	178277026	180934240	1423	0.0348
e3afc785-ad88-424b-8628-0f581b275c87	6	1011760	2824848	1390	-0.0013
e3afc785-ad88-424b-8628-0f581b275c87	6	2832285	3367302	399	0.1369
e3afc785-ad88-424b-8628-0f581b275c87	6	3367635	13480851	7254	0.0065
e3afc785-ad88-424b-8628-0f581b275c87	6	13481188	14036105	319	0.1371
