GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	3301765	38853435	19137	0.086
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	38856233	38889839	20	-0.5221
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	38890612	39264206	175	0.0453
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	39270035	39342997	37	-0.5289
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	39347288	40122616	367	0.4498
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	40122750	40461878	141	-0.4753
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	40462287	43361893	1750	-0.1375
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	43370704	43402480	19	-0.6458
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	43404306	55059298	6061	-0.1174
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	55060394	61507078	4824	-0.0428
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	61508522	62475245	679	-0.1364
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	62477593	104346536	25389	-0.0167
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	104346601	108556129	2337	0.1243
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	108556501	117291374	5526	0.0489
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	117292552	149913375	1572	0.1056
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	149914031	153848215	1844	-0.1123
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	153849468	156977276	1448	-0.1704
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	156979088	162474579	3544	-0.1005
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	162475526	163514231	847	-0.0169
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	163516924	185363881	14376	-0.0493
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	185364113	199999140	8519	-0.0076
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	199999655	207894306	5042	-0.1069
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	207895234	211015595	2448	-0.0525
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	211016316	213146069	1265	-0.1064
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	213157967	225087049	7907	-0.0381
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	225087560	230545985	3108	-0.1168
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	230546167	244088037	9599	-0.0828
acb385f3-fc6b-48e1-af09-52a2baa1384f	1	244088255	247650984	1588	-0.1358
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	480597	11914934	7208	-0.0766
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	11922951	15494838	2388	-0.0098
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	15496377	16782685	933	-0.096
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	16784281	22991305	4103	-0.0132
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	22992329	29291727	3189	-0.0944
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	29291903	40941244	6373	-0.0319
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	40941918	41836498	531	0.0788
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	41836583	48751814	4494	-0.0589
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	48753236	60544895	6571	-0.0048
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	60547349	74202065	7751	-0.0666
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	74202413	84828411	5774	0.2155
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	84828698	94703691	1415	0.152
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	94706535	98175573	912	0.3656
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	98176848	103444110	3195	0.2105
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	103444485	121759938	9595	-0.0577
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	121762522	126808063	2329	0.6747
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	126810637	136939650	5175	0.5938
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	136939680	139722387	1224	0.6765
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	139724689	142205163	1604	0.3269
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	142206277	143195262	583	0.0899
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	143195589	165184804	12519	-0.1639
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	165185311	165185385	2	-1.9134
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	165188888	167657658	1435	-0.1604
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	167657707	174935494	4724	-0.203
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	174935596	179177719	2586	-0.152
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	179178179	179179666	2	-1.9543
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	179180486	193089732	7096	-0.1426
acb385f3-fc6b-48e1-af09-52a2baa1384f	2	193089811	218279507	14301	-0.3097
