GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	3301765	3860818	298	0.0269
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	3864478	3876237	2	1.2729
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	3876402	5242109	1068	0.0009
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	5242255	5248242	7	-0.8979
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	5249195	11659000	3401	0.0065
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	11660985	11661725	2	-1.7972
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	11662631	92275851	46819	-0.0002
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	92280877	92281590	2	-1.8016
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	1	92285386	247650984	77843	0.0021
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	2	480597	85105322	49397	0.0067
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	2	85105337	85106283	2	-2.0534
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	2	85106853	230152260	75830	0.008
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	2	230152304	230158966	2	-1.7375
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	2	230159802	241537572	6667	0.0125
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	3	2170634	197812401	106966	-0.0012
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	4	1059384	102144794	56797	0.0006
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	4	102144997	102147543	3	-1.3569
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	4	102148099	176384223	40924	0.0002
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	4	176387516	176387700	2	1.7117
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	4	176387772	187842528	5598	0.0022
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	5	914118	180934240	100961	-0.0011
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	6	1011760	170596889	96993	-0.0001
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	7	664936	56112023	33256	0.0039
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	7	56112866	56258483	90	0.529
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	7	56277012	158592540	48461	0.004
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	8	667625	135650988	77864	0.0018
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	8	135652405	135874995	153	-1.0763
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	8	135882035	144182542	4059	0.0087
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	9	789794	138044505	68327	-0.0009
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	10	366509	133411599	81144	0.0042
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	11	456012	49055048	30181	-0.0021
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	11	49088013	49088271	2	1.5111
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	11	49089915	63036053	4109	0.0029
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	11	63046440	63065123	13	-1.0527
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	11	63069644	119466606	32798	0.0011
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	11	119469815	119537294	53	0.3318
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	11	119537310	134272740	10235	0.012
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	12	780472	132605822	74140	0.0005
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	13	18874255	53588560	20957	-0.0017
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	13	53589693	53606286	11	-0.7925
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	13	53608085	114226675	35899	0.0038
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	14	20033191	105533894	49662	0.0014
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	15	23437561	62624332	22104	-0.0017
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	15	62624473	62624537	2	-2.4215
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	15	62625815	101344124	22575	-0.0001
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	16	603333	5094017	1700	0.0107
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	16	5095715	5233490	49	-1.0291
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	16	5235519	89317317	39379	-0.0012
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	17	1074619	82959812	37186	0.0026
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	18	326691	79349796	42869	0.0004
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	19	283868	11139463	3805	0.0193
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	19	11149384	11190471	21	0.6263
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	19	11192131	50185560	16755	0.0049
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	19	50186386	50195360	2	-1.6695
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	19	50195608	58370362	3503	0.0007
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	20	472817	63588502	37487	0.0014
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	21	13974127	46262057	20557	-0.0006
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	22	16934932	48940621	17059	0.0031
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	X	3236359	107873582	41800	0
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	X	107880045	107934267	18	0.5911
306704a5-4c5f-42ba-8dc0-bb0e0aec8213	X	107935458	155677414	22011	0.003
