GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
49d0d805-4d4c-4502-9944-656b408f302a	1	3301765	4380689	648	0.0319
49d0d805-4d4c-4502-9944-656b408f302a	1	4380852	4385857	11	-0.6242
49d0d805-4d4c-4502-9944-656b408f302a	1	4387361	4971809	548	0.0761
49d0d805-4d4c-4502-9944-656b408f302a	1	4979033	5030959	54	-0.2007
49d0d805-4d4c-4502-9944-656b408f302a	1	5033681	5185758	66	0.0801
49d0d805-4d4c-4502-9944-656b408f302a	1	5187022	5187295	2	-2.0522
49d0d805-4d4c-4502-9944-656b408f302a	1	5190437	48502184	22902	0.0119
49d0d805-4d4c-4502-9944-656b408f302a	1	48508685	49005065	398	-0.0883
49d0d805-4d4c-4502-9944-656b408f302a	1	49005094	56116363	3785	0.0086
49d0d805-4d4c-4502-9944-656b408f302a	1	56118472	56151158	21	-0.2846
49d0d805-4d4c-4502-9944-656b408f302a	1	56151289	56170134	14	0.2722
49d0d805-4d4c-4502-9944-656b408f302a	1	56170583	56337940	164	-0.1542
49d0d805-4d4c-4502-9944-656b408f302a	1	56344522	56712116	255	0.0362
49d0d805-4d4c-4502-9944-656b408f302a	1	56712155	57164605	419	-0.0784
49d0d805-4d4c-4502-9944-656b408f302a	1	57169270	57181451	12	-0.8131
49d0d805-4d4c-4502-9944-656b408f302a	1	57181792	58969751	1430	-0.0277
49d0d805-4d4c-4502-9944-656b408f302a	1	58973396	58973763	2	-1.6274
49d0d805-4d4c-4502-9944-656b408f302a	1	58978643	59112910	114	-0.0612
49d0d805-4d4c-4502-9944-656b408f302a	1	59116294	59116876	2	-1.4951
49d0d805-4d4c-4502-9944-656b408f302a	1	59117761	60176827	648	-0.0569
49d0d805-4d4c-4502-9944-656b408f302a	1	60178809	60202030	14	-0.513
49d0d805-4d4c-4502-9944-656b408f302a	1	60202232	60755052	334	-0.0482
49d0d805-4d4c-4502-9944-656b408f302a	1	60755070	60763583	16	-0.4779
49d0d805-4d4c-4502-9944-656b408f302a	1	60782638	60810581	24	-0.074
49d0d805-4d4c-4502-9944-656b408f302a	1	60812964	63597502	1917	0.0219
49d0d805-4d4c-4502-9944-656b408f302a	1	63598707	69025477	3884	-0.0218
49d0d805-4d4c-4502-9944-656b408f302a	1	69028556	72535253	1805	0.0272
49d0d805-4d4c-4502-9944-656b408f302a	1	72537400	72637844	38	-0.3999
