GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b5be3f1c-5112-4e41-8535-00a200df319f	1	3301765	4481966	752	0.7074
b5be3f1c-5112-4e41-8535-00a200df319f	1	4483182	4888670	355	0.8656
b5be3f1c-5112-4e41-8535-00a200df319f	1	4891183	6342988	940	0.6827
b5be3f1c-5112-4e41-8535-00a200df319f	1	6345491	7545658	717	0.8506
b5be3f1c-5112-4e41-8535-00a200df319f	1	7551546	12099785	2231	0.9995
b5be3f1c-5112-4e41-8535-00a200df319f	1	12101614	12753076	353	1.161
b5be3f1c-5112-4e41-8535-00a200df319f	1	12753325	14084243	514	1.0019
b5be3f1c-5112-4e41-8535-00a200df319f	1	14084397	14430744	249	1.1207
b5be3f1c-5112-4e41-8535-00a200df319f	1	14433002	14592589	144	0.9876
b5be3f1c-5112-4e41-8535-00a200df319f	1	14593399	16193697	937	1.2254
b5be3f1c-5112-4e41-8535-00a200df319f	1	16199054	19541552	1909	1.0014
b5be3f1c-5112-4e41-8535-00a200df319f	1	19546151	20144986	401	1.141
b5be3f1c-5112-4e41-8535-00a200df319f	1	20147121	20694733	375	1.2697
b5be3f1c-5112-4e41-8535-00a200df319f	1	20694790	22537187	889	1.3799
b5be3f1c-5112-4e41-8535-00a200df319f	1	22537981	26523804	1983	1.2616
b5be3f1c-5112-4e41-8535-00a200df319f	1	26534615	26634065	47	0.9906
b5be3f1c-5112-4e41-8535-00a200df319f	1	26636918	26688693	6	0.3411
b5be3f1c-5112-4e41-8535-00a200df319f	1	26699310	27014061	98	1.0228
b5be3f1c-5112-4e41-8535-00a200df319f	1	27014714	27158541	35	0.8829
b5be3f1c-5112-4e41-8535-00a200df319f	1	27161752	46143173	10004	-0.2598
b5be3f1c-5112-4e41-8535-00a200df319f	1	46145251	46384885	96	0.6266
b5be3f1c-5112-4e41-8535-00a200df319f	1	46393062	46604173	123	-0.2528
b5be3f1c-5112-4e41-8535-00a200df319f	1	46608469	52767702	3105	0.4017
b5be3f1c-5112-4e41-8535-00a200df319f	1	52773519	53796490	697	0.6057
b5be3f1c-5112-4e41-8535-00a200df319f	1	53796621	54517032	401	0.2968
b5be3f1c-5112-4e41-8535-00a200df319f	1	54517605	54733339	130	0.0585
b5be3f1c-5112-4e41-8535-00a200df319f	1	54741821	55660063	714	0.3473
b5be3f1c-5112-4e41-8535-00a200df319f	1	55663431	55663693	2	-0.9356
b5be3f1c-5112-4e41-8535-00a200df319f	1	55667795	55997098	238	0.3575
b5be3f1c-5112-4e41-8535-00a200df319f	1	55997705	56786821	580	0.6038
b5be3f1c-5112-4e41-8535-00a200df319f	1	56789938	57848751	915	0.3213
b5be3f1c-5112-4e41-8535-00a200df319f	1	57849083	58290976	369	0.2941
b5be3f1c-5112-4e41-8535-00a200df319f	1	58292243	58361638	50	-0.2366
b5be3f1c-5112-4e41-8535-00a200df319f	1	58366751	60273629	1308	0.0973
b5be3f1c-5112-4e41-8535-00a200df319f	1	60280021	61617980	951	0.3997
b5be3f1c-5112-4e41-8535-00a200df319f	1	61618288	68205194	4728	0.066
b5be3f1c-5112-4e41-8535-00a200df319f	1	68205442	68264043	37	0.418
b5be3f1c-5112-4e41-8535-00a200df319f	1	68264746	68386302	79	0.0672
b5be3f1c-5112-4e41-8535-00a200df319f	1	68388800	68396177	2	-1.5734
b5be3f1c-5112-4e41-8535-00a200df319f	1	68396879	68570079	125	0.0434
b5be3f1c-5112-4e41-8535-00a200df319f	1	68571003	68889059	155	0.4095
b5be3f1c-5112-4e41-8535-00a200df319f	1	68890942	74220950	2812	0.0639
b5be3f1c-5112-4e41-8535-00a200df319f	1	74225134	74860714	320	0.3879
b5be3f1c-5112-4e41-8535-00a200df319f	1	74861617	74985519	68	0.0792
b5be3f1c-5112-4e41-8535-00a200df319f	1	74992529	77866223	1802	0.38
b5be3f1c-5112-4e41-8535-00a200df319f	1	77868570	78165568	136	-0.2471
b5be3f1c-5112-4e41-8535-00a200df319f	1	78167564	114553042	21717	0.1528
b5be3f1c-5112-4e41-8535-00a200df319f	1	114554046	115255674	472	-0.2871
b5be3f1c-5112-4e41-8535-00a200df319f	1	115257161	119984738	2962	0.1619
b5be3f1c-5112-4e41-8535-00a200df319f	1	119984772	160518645	5643	0.5679
b5be3f1c-5112-4e41-8535-00a200df319f	1	160522480	160537750	9	-0.0009
b5be3f1c-5112-4e41-8535-00a200df319f	1	160542434	160844630	226	-0.3909
b5be3f1c-5112-4e41-8535-00a200df319f	1	160848044	161220912	198	0.8899
b5be3f1c-5112-4e41-8535-00a200df319f	1	161222721	162911517	1110	-0.3158
b5be3f1c-5112-4e41-8535-00a200df319f	1	162913833	162924822	18	1.0772
b5be3f1c-5112-4e41-8535-00a200df319f	1	162924843	162925725	9	-0.3313
b5be3f1c-5112-4e41-8535-00a200df319f	1	162926705	163276693	277	1.0076
b5be3f1c-5112-4e41-8535-00a200df319f	1	163277096	163291902	7	0.6827
b5be3f1c-5112-4e41-8535-00a200df319f	1	163293816	163320683	14	-0.3256
b5be3f1c-5112-4e41-8535-00a200df319f	1	163321317	163329790	11	0.8804
b5be3f1c-5112-4e41-8535-00a200df319f	1	163329823	163344090	13	0.0098
b5be3f1c-5112-4e41-8535-00a200df319f	1	163351684	164346796	656	0.6084
b5be3f1c-5112-4e41-8535-00a200df319f	1	164352563	164426058	68	1.0024
b5be3f1c-5112-4e41-8535-00a200df319f	1	164426144	164430445	2	2.1474
