GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4133ffe3-9263-41d5-958d-6078bab4891e	1	3301765	12049238	4969	0.3573
4133ffe3-9263-41d5-958d-6078bab4891e	1	12053183	12059512	3	-1.5081
4133ffe3-9263-41d5-958d-6078bab4891e	1	12065479	13848616	648	0.3577
4133ffe3-9263-41d5-958d-6078bab4891e	1	13849429	17599047	2079	0.1835
4133ffe3-9263-41d5-958d-6078bab4891e	1	17601219	17627818	10	-0.3247
4133ffe3-9263-41d5-958d-6078bab4891e	1	17627991	31148580	7267	0.176
4133ffe3-9263-41d5-958d-6078bab4891e	1	31150820	31152499	2	-1.755
4133ffe3-9263-41d5-958d-6078bab4891e	1	31152542	51120319	10555	0.1871
4133ffe3-9263-41d5-958d-6078bab4891e	1	51124054	51150684	17	0.8946
4133ffe3-9263-41d5-958d-6078bab4891e	1	51150707	53910028	1474	0.198
4133ffe3-9263-41d5-958d-6078bab4891e	1	53911057	54933259	586	0.4321
4133ffe3-9263-41d5-958d-6078bab4891e	1	54938268	56806142	1440	0.2167
4133ffe3-9263-41d5-958d-6078bab4891e	1	56806619	56806703	2	-1.1589
4133ffe3-9263-41d5-958d-6078bab4891e	1	56806941	67728468	7934	0.2277
4133ffe3-9263-41d5-958d-6078bab4891e	1	67729450	67777714	40	0.294
4133ffe3-9263-41d5-958d-6078bab4891e	1	67778443	87806449	11858	0.4166
4133ffe3-9263-41d5-958d-6078bab4891e	1	87807289	96759009	5487	0.7285
4133ffe3-9263-41d5-958d-6078bab4891e	1	96761119	106764670	5489	-0.0067
4133ffe3-9263-41d5-958d-6078bab4891e	1	106765984	108684220	1152	0.1998
4133ffe3-9263-41d5-958d-6078bab4891e	1	108685540	111849687	1899	-0.0378
4133ffe3-9263-41d5-958d-6078bab4891e	1	111849738	150030136	5186	0.0026
4133ffe3-9263-41d5-958d-6078bab4891e	1	150034478	155451760	2572	0.2013
4133ffe3-9263-41d5-958d-6078bab4891e	1	155454274	157104310	757	0.5612
4133ffe3-9263-41d5-958d-6078bab4891e	1	157107513	159646491	1684	-0.3097
4133ffe3-9263-41d5-958d-6078bab4891e	1	159649566	161313069	1036	-0.3568
4133ffe3-9263-41d5-958d-6078bab4891e	1	161316200	208363742	29919	-0.2944
4133ffe3-9263-41d5-958d-6078bab4891e	1	208367586	208940367	463	-0.0278
4133ffe3-9263-41d5-958d-6078bab4891e	1	208940758	247650984	25051	-0.2928
4133ffe3-9263-41d5-958d-6078bab4891e	2	480597	12166394	7475	-0.0174
4133ffe3-9263-41d5-958d-6078bab4891e	2	12166408	57945481	26602	-0.0021
4133ffe3-9263-41d5-958d-6078bab4891e	2	57945988	57949185	2	1.2111
4133ffe3-9263-41d5-958d-6078bab4891e	2	57954404	58161561	118	0.0471
4133ffe3-9263-41d5-958d-6078bab4891e	2	58163438	84151459	14709	-0.0203
4133ffe3-9263-41d5-958d-6078bab4891e	2	84154266	85427176	738	0.1195
4133ffe3-9263-41d5-958d-6078bab4891e	2	85429224	85506786	35	0.6986
4133ffe3-9263-41d5-958d-6078bab4891e	2	85512688	86057163	342	0.4188
4133ffe3-9263-41d5-958d-6078bab4891e	2	86285979	88825975	698	0.0423
4133ffe3-9263-41d5-958d-6078bab4891e	2	88826632	99129995	1465	0.1744
4133ffe3-9263-41d5-958d-6078bab4891e	2	99152747	139331922	20795	-0.0274
4133ffe3-9263-41d5-958d-6078bab4891e	2	139333370	139333722	2	-1.6576
4133ffe3-9263-41d5-958d-6078bab4891e	2	139338784	177344617	22604	-0.0239
4133ffe3-9263-41d5-958d-6078bab4891e	2	177344767	178852404	877	-0.2969
4133ffe3-9263-41d5-958d-6078bab4891e	2	178855442	180075325	766	-0.0267
4133ffe3-9263-41d5-958d-6078bab4891e	2	180075974	180076075	2	-1.4588
4133ffe3-9263-41d5-958d-6078bab4891e	2	180076759	184775295	2646	-0.03
4133ffe3-9263-41d5-958d-6078bab4891e	2	184781085	184924181	50	0.5574
4133ffe3-9263-41d5-958d-6078bab4891e	2	184926191	193241878	3872	0.3229
4133ffe3-9263-41d5-958d-6078bab4891e	2	193245366	196968487	1560	0.2082
4133ffe3-9263-41d5-958d-6078bab4891e	2	196968806	215377693	10691	-0.0201
4133ffe3-9263-41d5-958d-6078bab4891e	2	215378927	216488186	783	-0.2726
4133ffe3-9263-41d5-958d-6078bab4891e	2	216491008	229667181	8466	-0.0129
4133ffe3-9263-41d5-958d-6078bab4891e	2	229668035	233909016	2058	-0.0592
4133ffe3-9263-41d5-958d-6078bab4891e	2	233909366	237748293	2690	-0.007
4133ffe3-9263-41d5-958d-6078bab4891e	2	237752115	241537572	2044	-0.0599
4133ffe3-9263-41d5-958d-6078bab4891e	3	2170634	12407495	6118	0.2256
4133ffe3-9263-41d5-958d-6078bab4891e	3	12407625	14938617	1721	0.1709
4133ffe3-9263-41d5-958d-6078bab4891e	3	14938632	45574389	18069	0.2135
4133ffe3-9263-41d5-958d-6078bab4891e	3	45575548	52721076	3087	0.168
4133ffe3-9263-41d5-958d-6078bab4891e	3	52723324	71388538	12212	0.2288
4133ffe3-9263-41d5-958d-6078bab4891e	3	71390821	85439590	7694	-0.0286
4133ffe3-9263-41d5-958d-6078bab4891e	3	85441637	90436812	2344	-0.3027
4133ffe3-9263-41d5-958d-6078bab4891e	3	90453712	119788033	14626	0.0032
4133ffe3-9263-41d5-958d-6078bab4891e	3	119790587	125610693	3312	0.2278
4133ffe3-9263-41d5-958d-6078bab4891e	3	125612058	140260303	8232	0.2048
4133ffe3-9263-41d5-958d-6078bab4891e	3	140261653	160634780	10824	0.2358
4133ffe3-9263-41d5-958d-6078bab4891e	3	160635540	167361662	2890	0.203
4133ffe3-9263-41d5-958d-6078bab4891e	3	167362781	178555385	5803	0.2446
4133ffe3-9263-41d5-958d-6078bab4891e	3	178564403	187156894	4476	0.2048
4133ffe3-9263-41d5-958d-6078bab4891e	3	187157047	193416346	4070	0.2405
4133ffe3-9263-41d5-958d-6078bab4891e	3	193416581	197812401	1609	-0.2661
4133ffe3-9263-41d5-958d-6078bab4891e	4	1059384	5452518	2089	0.0724
4133ffe3-9263-41d5-958d-6078bab4891e	4	5455067	16579247	7427	0.2978
4133ffe3-9263-41d5-958d-6078bab4891e	4	16579562	17491220	726	0.3509
4133ffe3-9263-41d5-958d-6078bab4891e	4	17492702	45197488	16628	0.2953
4133ffe3-9263-41d5-958d-6078bab4891e	4	45198643	45378883	102	0.1414
4133ffe3-9263-41d5-958d-6078bab4891e	4	45381232	45612015	111	0.3053
4133ffe3-9263-41d5-958d-6078bab4891e	4	45612667	56122799	4056	0.354
4133ffe3-9263-41d5-958d-6078bab4891e	4	56129436	59687423	2141	0.306
4133ffe3-9263-41d5-958d-6078bab4891e	4	59689377	60598300	555	0.3864
4133ffe3-9263-41d5-958d-6078bab4891e	4	60601687	63363576	1309	0.1867
4133ffe3-9263-41d5-958d-6078bab4891e	4	63364439	63408827	25	0.3035
4133ffe3-9263-41d5-958d-6078bab4891e	4	63413128	63528875	64	0.1504
4133ffe3-9263-41d5-958d-6078bab4891e	4	63538262	84650803	11763	0.0006
4133ffe3-9263-41d5-958d-6078bab4891e	4	84653201	155664314	39245	0.0641
4133ffe3-9263-41d5-958d-6078bab4891e	4	155672936	156130871	315	-0.3822
4133ffe3-9263-41d5-958d-6078bab4891e	4	156132404	160728076	2713	0.087
4133ffe3-9263-41d5-958d-6078bab4891e	4	160728371	160728521	2	1.3118
4133ffe3-9263-41d5-958d-6078bab4891e	4	160731978	161872733	601	0.0423
4133ffe3-9263-41d5-958d-6078bab4891e	4	161880221	185563956	12102	-0.0836
4133ffe3-9263-41d5-958d-6078bab4891e	4	185563974	187299755	1097	-0.0328
4133ffe3-9263-41d5-958d-6078bab4891e	4	187300071	187842528	321	-0.0787
4133ffe3-9263-41d5-958d-6078bab4891e	5	913983	4375669	2183	-0.211
4133ffe3-9263-41d5-958d-6078bab4891e	5	4375749	21698744	10610	-0.176
4133ffe3-9263-41d5-958d-6078bab4891e	5	21699814	31189800	5247	-0.2023
4133ffe3-9263-41d5-958d-6078bab4891e	5	31189882	39408101	4905	-0.1575
4133ffe3-9263-41d5-958d-6078bab4891e	5	39412466	45383300	3156	-0.1813
4133ffe3-9263-41d5-958d-6078bab4891e	5	50828231	51344580	304	-0.046
4133ffe3-9263-41d5-958d-6078bab4891e	5	51345320	68157678	10107	-0.2828
4133ffe3-9263-41d5-958d-6078bab4891e	5	68158668	68168671	6	-1.3556
4133ffe3-9263-41d5-958d-6078bab4891e	5	68169975	161690576	52972	-0.282
4133ffe3-9263-41d5-958d-6078bab4891e	5	161699469	161984553	120	-0.6533
4133ffe3-9263-41d5-958d-6078bab4891e	5	161984564	176623714	9509	-0.2884
4133ffe3-9263-41d5-958d-6078bab4891e	5	176882170	178012562	351	-0.0378
4133ffe3-9263-41d5-958d-6078bab4891e	5	178050723	180911368	1504	-0.6848
4133ffe3-9263-41d5-958d-6078bab4891e	5	180912830	180934240	10	-0.3215
4133ffe3-9263-41d5-958d-6078bab4891e	6	1011760	6716400	4206	0.2326
4133ffe3-9263-41d5-958d-6078bab4891e	6	6717664	20758042	9810	0.2101
4133ffe3-9263-41d5-958d-6078bab4891e	6	20758116	22498210	1208	0.2439
4133ffe3-9263-41d5-958d-6078bab4891e	6	22501958	22502495	3	-0.8863
4133ffe3-9263-41d5-958d-6078bab4891e	6	22505788	25411807	2065	0.2201
4133ffe3-9263-41d5-958d-6078bab4891e	6	25412759	30936171	1921	0.1701
4133ffe3-9263-41d5-958d-6078bab4891e	6	30940222	30940489	2	-1.968
4133ffe3-9263-41d5-958d-6078bab4891e	6	30945681	33588828	495	0.1816
4133ffe3-9263-41d5-958d-6078bab4891e	6	33594943	43732008	6236	-0.0428
4133ffe3-9263-41d5-958d-6078bab4891e	6	43738305	48091172	2680	-0.0005
4133ffe3-9263-41d5-958d-6078bab4891e	6	48104963	49254566	559	-0.0581
4133ffe3-9263-41d5-958d-6078bab4891e	6	49257101	50448087	649	0.187
4133ffe3-9263-41d5-958d-6078bab4891e	6	50453670	57328568	4278	-0.0157
4133ffe3-9263-41d5-958d-6078bab4891e	6	57329320	61991916	181	0.2353
4133ffe3-9263-41d5-958d-6078bab4891e	6	61992183	69528407	4095	-0.0328
4133ffe3-9263-41d5-958d-6078bab4891e	6	69531977	70619562	686	0.6685
4133ffe3-9263-41d5-958d-6078bab4891e	6	70620829	72834777	1270	0.5269
4133ffe3-9263-41d5-958d-6078bab4891e	6	72835012	73001180	120	0.7026
4133ffe3-9263-41d5-958d-6078bab4891e	6	73001217	77024611	2299	0.4364
4133ffe3-9263-41d5-958d-6078bab4891e	6	77029740	85389884	4687	-0.0052
4133ffe3-9263-41d5-958d-6078bab4891e	6	85390095	89983788	2576	0.2127
4133ffe3-9263-41d5-958d-6078bab4891e	6	89987652	94617621	2457	-0.0235
4133ffe3-9263-41d5-958d-6078bab4891e	6	94620977	95973609	331	0.3756
4133ffe3-9263-41d5-958d-6078bab4891e	6	95990052	100499795	2781	-0.0347
4133ffe3-9263-41d5-958d-6078bab4891e	6	100501946	100705789	87	0.3831
4133ffe3-9263-41d5-958d-6078bab4891e	6	100782506	113852882	7816	-0.0109
4133ffe3-9263-41d5-958d-6078bab4891e	6	113861747	166503069	32260	0.2346
4133ffe3-9263-41d5-958d-6078bab4891e	6	166503852	168457458	515	0.4132
4133ffe3-9263-41d5-958d-6078bab4891e	6	168461894	170596889	800	0.013
4133ffe3-9263-41d5-958d-6078bab4891e	7	664936	12574915	5340	-0.048
4133ffe3-9263-41d5-958d-6078bab4891e	7	12579010	40256136	17736	-0.0187
4133ffe3-9263-41d5-958d-6078bab4891e	7	40257409	52705128	8025	0.2242
4133ffe3-9263-41d5-958d-6078bab4891e	7	52708262	52725658	10	-0.423
4133ffe3-9263-41d5-958d-6078bab4891e	7	52725693	55593810	1980	0.2192
4133ffe3-9263-41d5-958d-6078bab4891e	7	55593813	69984510	3039	0.1742
4133ffe3-9263-41d5-958d-6078bab4891e	7	69988459	77850032	2841	-0.0606
4133ffe3-9263-41d5-958d-6078bab4891e	7	77852722	82991305	3275	-0.018
