GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f2051608-7202-4d92-b4a3-b5650aa0df37	1	3301765	95209154	53355	0.0038
f2051608-7202-4d92-b4a3-b5650aa0df37	1	95210955	95210962	2	-2.4219
f2051608-7202-4d92-b4a3-b5650aa0df37	1	95214568	247650984	76072	0.0006
f2051608-7202-4d92-b4a3-b5650aa0df37	2	480597	241537572	131949	0.0055
f2051608-7202-4d92-b4a3-b5650aa0df37	3	2170634	46677872	26615	0.0011
f2051608-7202-4d92-b4a3-b5650aa0df37	3	46679721	46679828	2	1.8783
f2051608-7202-4d92-b4a3-b5650aa0df37	3	46680029	58206819	5973	0.0005
f2051608-7202-4d92-b4a3-b5650aa0df37	3	58206914	58207832	2	-1.8675
f2051608-7202-4d92-b4a3-b5650aa0df37	3	58209647	197812401	74370	0.003
f2051608-7202-4d92-b4a3-b5650aa0df37	4	1059384	164291124	91196	-0.0006
f2051608-7202-4d92-b4a3-b5650aa0df37	4	164291224	164294269	4	-1.2483
f2051608-7202-4d92-b4a3-b5650aa0df37	4	164295487	187842528	12041	-0.0026
f2051608-7202-4d92-b4a3-b5650aa0df37	5	913983	40430016	23603	-0.004
f2051608-7202-4d92-b4a3-b5650aa0df37	5	40431200	40431484	2	-1.9117
f2051608-7202-4d92-b4a3-b5650aa0df37	5	40431779	180934240	77299	0.0005
f2051608-7202-4d92-b4a3-b5650aa0df37	6	1011760	150126724	84970	0.0006
f2051608-7202-4d92-b4a3-b5650aa0df37	6	150128815	150129120	3	-1.2894
f2051608-7202-4d92-b4a3-b5650aa0df37	6	150129888	170596889	11976	0.0023
f2051608-7202-4d92-b4a3-b5650aa0df37	7	664936	158592540	81741	0.0011
f2051608-7202-4d92-b4a3-b5650aa0df37	8	667625	144182542	82060	0.0005
f2051608-7202-4d92-b4a3-b5650aa0df37	9	789794	137116743	68077	0.0011
f2051608-7202-4d92-b4a3-b5650aa0df37	9	137117966	137128854	5	-1.119
f2051608-7202-4d92-b4a3-b5650aa0df37	9	137140388	138044505	254	-0.0315
f2051608-7202-4d92-b4a3-b5650aa0df37	10	366509	133411599	81124	0.0008
f2051608-7202-4d92-b4a3-b5650aa0df37	11	456012	134272740	77401	0.0015
f2051608-7202-4d92-b4a3-b5650aa0df37	12	780472	132605822	74206	-0.0034
f2051608-7202-4d92-b4a3-b5650aa0df37	13	18874255	114226675	56852	0
f2051608-7202-4d92-b4a3-b5650aa0df37	14	20033191	105533894	49679	0.0013
f2051608-7202-4d92-b4a3-b5650aa0df37	15	23437561	101344124	44665	0.0019
f2051608-7202-4d92-b4a3-b5650aa0df37	16	603333	89317317	41110	0.002
f2051608-7202-4d92-b4a3-b5650aa0df37	17	1074619	82959812	37216	0.0023
f2051608-7202-4d92-b4a3-b5650aa0df37	18	326691	79349796	42856	0.0004
f2051608-7202-4d92-b4a3-b5650aa0df37	19	283868	58370362	24126	0.0051
f2051608-7202-4d92-b4a3-b5650aa0df37	20	472817	63588502	37485	0.003
f2051608-7202-4d92-b4a3-b5650aa0df37	21	13974127	46262057	20562	0.0041
f2051608-7202-4d92-b4a3-b5650aa0df37	22	16934932	48940621	17066	0.0021
f2051608-7202-4d92-b4a3-b5650aa0df37	X	3236359	155677414	63857	0.0018
