GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
faaf8654-8341-4fbc-8a9b-8add4db80295	1	3301765	8838748	3443	-0.1881
faaf8654-8341-4fbc-8a9b-8add4db80295	1	8839246	66291659	32487	0.1095
faaf8654-8341-4fbc-8a9b-8add4db80295	1	66296724	74803600	4953	0.1264
faaf8654-8341-4fbc-8a9b-8add4db80295	1	74805388	74847955	2	1.5728
faaf8654-8341-4fbc-8a9b-8add4db80295	1	74850804	94362214	11908	0.127
faaf8654-8341-4fbc-8a9b-8add4db80295	1	94364722	94364728	2	-1.2019
faaf8654-8341-4fbc-8a9b-8add4db80295	1	94371441	119809173	15166	0.1281
faaf8654-8341-4fbc-8a9b-8add4db80295	1	119809188	247650984	61690	0.1131
faaf8654-8341-4fbc-8a9b-8add4db80295	2	480597	81175488	47344	-0.1451
faaf8654-8341-4fbc-8a9b-8add4db80295	2	81179787	82587326	719	0.2232
faaf8654-8341-4fbc-8a9b-8add4db80295	2	82591536	84209625	889	-0.1584
faaf8654-8341-4fbc-8a9b-8add4db80295	2	84210228	88807675	1754	0.1672
faaf8654-8341-4fbc-8a9b-8add4db80295	2	88807789	158455133	33332	0.12
faaf8654-8341-4fbc-8a9b-8add4db80295	2	158456221	164224974	3354	0.0484
faaf8654-8341-4fbc-8a9b-8add4db80295	2	164228559	164229573	3	-1.2254
faaf8654-8341-4fbc-8a9b-8add4db80295	2	164230314	176375700	7467	0.0436
faaf8654-8341-4fbc-8a9b-8add4db80295	2	176383021	234209382	32804	-0.0496
faaf8654-8341-4fbc-8a9b-8add4db80295	2	234211078	241537572	4437	-0.1688
faaf8654-8341-4fbc-8a9b-8add4db80295	3	2170634	76965523	44500	-0.0009
faaf8654-8341-4fbc-8a9b-8add4db80295	3	76968642	76971261	4	-1.2903
faaf8654-8341-4fbc-8a9b-8add4db80295	3	76974005	91390926	6743	-0.0044
faaf8654-8341-4fbc-8a9b-8add4db80295	3	91462299	113156078	10456	0.1307
faaf8654-8341-4fbc-8a9b-8add4db80295	3	113161467	113174587	11	0.6839
faaf8654-8341-4fbc-8a9b-8add4db80295	3	113177059	118152844	3211	0.1262
