GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	1	3301765	12156431	5034	-0.0029
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	1	12157509	12158920	7	-0.7995
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	1	12158991	40065422	14690	-0.003
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	1	40066170	40066185	2	-1.6766
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	1	40068581	45555044	3088	-0.0083
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	1	45555884	45555958	2	-1.7406
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	1	45561065	247650984	106909	0.0022
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	2	480597	241537572	132157	0.0016
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	3	2170634	159998320	87969	0.0022
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	3	159998455	159998565	2	-1.6432
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	3	160000434	197812401	19176	0.0048
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	4	1059384	112120533	62463	-0.0006
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	4	112124421	112133919	8	-0.9101
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	4	112134135	174472018	34273	0.0046
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	4	174474858	174589874	83	-1.0078
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	4	174597473	187842528	6625	0.0015
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	5	913983	142206965	76668	0.0023
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	5	142207042	142215574	5	-1.3488
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	5	142218551	180934240	24405	-0.0001
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	6	1011760	62371804	34458	0.0034
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	6	62376939	62377742	2	-1.6159
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	6	62379133	170596889	62648	0
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	7	664936	158592540	81918	0.0011
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	8	667625	144182542	82205	0.002
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	9	789794	138044505	68461	-0.0008
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	10	366509	133411599	81264	0.0023
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	11	456012	134272740	77540	0.0013
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	12	780472	11738902	5893	-0.0025
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	12	11743912	11744046	2	1.5234
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	12	11744183	27203550	9861	0.0068
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	12	27207836	27224008	2	1.2888
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	12	27225307	119338065	52299	0.0011
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	12	119341162	119341206	2	1.3054
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	12	119345683	132605822	6253	0.0032
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	13	18874255	114226675	56978	0.0018
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	14	20033191	105533894	49766	0
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	15	23437561	101344124	44773	-0.0004
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	16	603333	89317317	41188	-0.0002
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	17	1074619	43612595	17184	-0.0002
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	17	43612880	43614158	3	-1.1616
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	17	43614675	82959812	20081	0.0043
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	18	326691	79349796	42955	0.0007
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	19	283868	58370362	24146	-0.001
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	20	472817	63588502	37541	0.0048
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	21	13974127	46262057	20585	0.0023
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	22	16934932	48940621	17082	0.0042
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	X	3236359	153934681	63648	0.0084
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	X	153947365	153974269	9	-1.681
21f1bdcd-e907-416e-9da6-e7bafddb0bb0	X	153974859	155677414	160	0.0712
