GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	3301765	3674884	171	-0.7323
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	3680242	3703616	18	-1.4849
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	3711713	20898677	9770	-0.6257
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	20905179	21343566	193	-1.4263
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	21349164	26805760	2634	-0.5744
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	26806296	47354520	10716	0.0487
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	47354819	101507494	33684	-0.0023
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	101510772	118340673	9811	-0.0469
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	118340808	119801421	850	-0.0069
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	119801482	172931161	14611	0.0278
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	172931655	201695509	17328	0.001
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	201696085	210246305	5644	0.0235
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	210246511	234826782	16029	0.0495
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	234827911	234971143	123	-0.5683
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	1	234973577	247650984	7933	0.0511
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	480597	23075175	14713	-0.012
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	23075776	23075992	3	-1.214
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	23076573	33652736	5502	0.0092
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	33656233	39428231	3004	-0.4568
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	39429216	41143238	1074	-1.4952
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	41145494	41506257	106	-0.4688
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	41514676	41544816	32	-4.6846
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	41547005	47638631	4174	-0.4523
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	47641458	47670727	26	-1.1151
b97dd03b-40e3-4a98-a56d-bbc8f7f03a4b	2	47676957	58305327	5575	-0.4629
