GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	3301765	4347925	620	0.4035
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	4348015	4348271	3	1.5384
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	4349436	13741356	4941	0.3982
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	13741520	15417464	1341	0.4696
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	15417886	17582613	804	0.3951
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	17590424	26598390	5103	0.4666
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	26599352	29329144	1011	0.3732
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	29332356	30993685	1129	0.4904
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	30998356	31101038	36	0.3406
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	31101508	31126961	8	-0.0659
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	31127629	31322019	104	0.3127
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	31324138	31996639	332	0.4445
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	32000730	32800874	292	0.304
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	32806776	34572695	1162	0.4966
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	34576686	41374678	3506	0.4346
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	41378551	42051496	509	0.5428
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	42052638	47489755	2764	0.4336
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	47489830	50604285	1770	0.5003
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	50607777	53063976	1032	0.1645
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	53064030	53733811	508	0.303
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	53733822	56036567	1536	0.1791
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	56036751	61464925	4024	0.1314
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	61465679	62412281	700	-0.0283
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	62412747	64904281	1794	0.0629
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	64905919	65663817	453	0.0033
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	65664715	66822362	953	0.1136
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	66822438	67597619	502	0.0378
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	67597945	77559866	5763	0.1171
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	77559999	78081788	199	-0.0047
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	78082139	84802181	4100	0.1294
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	84802402	91614898	4408	0.0841
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	91615033	93054093	676	0.0058
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	93057465	95198496	1383	0.0666
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	95198958	107509452	7021	0.1073
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	107513271	115000422	4443	0.0234
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	115002265	119984772	3196	0.0813
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	146716041	151711466	674	0.187
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	151713712	153343533	1002	0.2909
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	153343624	157148629	1742	0.2004
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	157154096	157724223	398	0.3153
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	157724304	160800725	2038	0.283
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	160800891	161397337	302	0.1699
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	161401195	161805906	126	0.2484
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	161808705	173319604	8461	0.3317
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	173329205	181384712	4686	-0.3152
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	181389428	181391584	4	-1.5727
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	181392500	183868762	1771	-0.3214
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	183869871	199659239	9270	-0.2259
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	199659345	206989616	4626	-0.3765
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	206990086	211440456	3213	-0.3027
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	211444675	213212896	1086	-0.3569
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	213219764	223165980	6698	-0.2697
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	223174103	226897454	2116	-0.3773
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	226897761	234976004	5420	-0.3337
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	234976956	237277865	1487	-0.4096
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	237289951	239931699	2023	-0.2857
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	239931902	244855322	3168	-0.3438
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	244856466	245370870	286	-0.4625
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	245371767	246907921	536	-0.3521
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	246915800	246917156	4	-1.5445
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	246917586	247076689	81	-0.2472
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	1	247077561	247650984	330	-0.9069
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	480597	2087847	306	0.0882
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	2096266	12731983	7613	-0.32
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	12733430	15062170	1382	-0.2351
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	15062185	16177447	715	-0.3334
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	16177476	19736175	2624	-0.2273
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	19736355	20881165	768	-0.3024
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	20884406	21717972	495	0.0977
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	21719863	23321762	969	-0.2116
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	23322016	24432856	619	-0.3302
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	24437573	24771838	147	-0.2406
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	24772185	27852444	1370	-0.3819
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	27853841	28125900	132	-0.2199
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	28127744	28128224	2	-2.2506
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	28130229	33785491	3163	-0.294
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	33788893	33792585	2	-2.1587
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	33792850	34151641	273	-0.2671
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	34153489	36644113	1309	-0.2124
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	36646174	40067008	1686	-0.3019
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	40067317	41991194	1274	-0.1931
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	41996881	44994238	1849	-0.2955
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	44994519	45599819	398	-0.2007
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	45600035	49396763	2469	-0.3166
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	49401195	53473366	2165	-0.1835
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	53474075	56654532	1667	-0.2501
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	56654812	58754390	1089	-0.1984
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	58756555	60619693	1318	-0.2567
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	60619723	62682331	1011	-0.3576
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	62682353	75146037	7251	-0.2894
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	75146411	79828971	2331	-0.2108
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	79829109	80448724	498	-0.3001
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	80449964	84172801	1997	-0.2098
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	84179114	88825975	1797	-0.3169
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	88826632	94979072	107	-0.1002
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	94983368	101828804	2986	-0.1969
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	101829183	104561182	1699	-0.0725
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	104561484	106847298	1530	-0.145
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	106849721	107697230	447	-0.0505
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	107697367	114569143	3128	-0.1504
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	114572542	117574253	1252	-0.0736
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	117576424	119287781	1199	-0.1222
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	119287958	119292266	5	-1.1887
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	119293268	122132536	1575	-0.1578
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	122134307	124264575	1339	-0.0789
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	124265167	126011275	293	-0.4736
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	126013897	127763646	1000	-0.1366
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	127763886	128432639	344	-0.2476
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	128433864	129245178	608	-0.1135
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	129245497	131611759	772	-0.6285
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	131612308	137611305	3339	-0.556
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	137612252	140832101	1428	-0.6603
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	140832671	142597563	1212	-0.1991
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	142600988	145015315	1333	-0.6252
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	145020960	145228228	137	-0.1764
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	145241024	145559856	162	-0.5492
90e8e5d6-e4fc-4f69-a746-a2305b5964f8	2	145568083	145708290	81	-0.2222
