GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6861a568-0744-4802-900b-6b81e3de8a66	1	3301765	4672260	914	-1.0213
6861a568-0744-4802-900b-6b81e3de8a66	1	4672274	4675848	6	-4.4371
6861a568-0744-4802-900b-6b81e3de8a66	1	4676396	7476127	1711	-0.9467
6861a568-0744-4802-900b-6b81e3de8a66	1	7476178	7476683	5	-4.4951
6861a568-0744-4802-900b-6b81e3de8a66	1	7476823	8508559	560	-0.9074
6861a568-0744-4802-900b-6b81e3de8a66	1	8514913	14553242	2954	0.1452
6861a568-0744-4802-900b-6b81e3de8a66	1	14554329	26398941	6485	0.1786
6861a568-0744-4802-900b-6b81e3de8a66	1	26399249	29305888	1072	0.1404
6861a568-0744-4802-900b-6b81e3de8a66	1	29306088	30633425	995	0.2187
6861a568-0744-4802-900b-6b81e3de8a66	1	30633820	48909480	9869	0.1639
6861a568-0744-4802-900b-6b81e3de8a66	1	48909819	49032693	76	0.1314
6861a568-0744-4802-900b-6b81e3de8a66	1	49035594	49039006	3	-0.5074
6861a568-0744-4802-900b-6b81e3de8a66	1	49039823	49091906	23	0.1724
6861a568-0744-4802-900b-6b81e3de8a66	1	49092078	49096607	2	-1.0978
6861a568-0744-4802-900b-6b81e3de8a66	1	49098799	52345909	1293	0.1172
6861a568-0744-4802-900b-6b81e3de8a66	1	52354176	60223648	5598	0.183
6861a568-0744-4802-900b-6b81e3de8a66	1	60224048	66161179	4193	0.142
6861a568-0744-4802-900b-6b81e3de8a66	1	66162049	71054826	3081	0.1702
6861a568-0744-4802-900b-6b81e3de8a66	1	71058215	75969462	2616	0.0932
6861a568-0744-4802-900b-6b81e3de8a66	1	75969735	77522787	1094	0.1694
6861a568-0744-4802-900b-6b81e3de8a66	1	77524084	81739756	2379	0.1097
6861a568-0744-4802-900b-6b81e3de8a66	1	81740035	83718376	1179	0.1497
6861a568-0744-4802-900b-6b81e3de8a66	1	83722674	85556013	1283	0.1961
6861a568-0744-4802-900b-6b81e3de8a66	1	85556466	97531241	7384	0.1484
6861a568-0744-4802-900b-6b81e3de8a66	1	97531302	106905996	5149	0.0966
6861a568-0744-4802-900b-6b81e3de8a66	1	106907318	119553610	7838	0.1646
6861a568-0744-4802-900b-6b81e3de8a66	1	119556108	119608326	4	-0.9903
6861a568-0744-4802-900b-6b81e3de8a66	1	119608965	181265599	19588	0.1511
6861a568-0744-4802-900b-6b81e3de8a66	1	181265873	181270049	2	1.5588
6861a568-0744-4802-900b-6b81e3de8a66	1	181270877	184964018	2526	0.1755
6861a568-0744-4802-900b-6b81e3de8a66	1	184964666	186237056	775	0.1143
