GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	3301765	29760666	13988	-0.7402
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	29761184	29762235	3	-3.2691
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	29762352	30899941	767	-0.8051
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	30903048	33252417	998	-0.6543
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	33252430	33259294	2	-3.0531
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	33259923	42952110	5459	-0.7294
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	42953420	42953544	2	-6.4115
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	42954034	116974686	44786	-0.7664
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	116980379	118003458	609	0.1249
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	118006233	119548330	920	-0.7571
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	119549668	119639514	33	0.1142
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	119642258	119823130	115	-0.811
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	119830787	149914031	106	0.1622
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	149918981	156889817	3259	0.242
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	156897496	167789025	7680	0.2
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	167789414	192771499	15520	0.1816
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	192771705	199442594	3902	0.1457
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	199442650	199446083	2	-0.9702
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	199449305	200293269	541	0.1464
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	200293995	206922278	4164	0.2
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	206923694	214427332	5258	0.1667
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	214427360	220939709	4422	0.146
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	220940281	220945158	4	-0.8827
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	220945472	223476469	1580	0.1442
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	223476536	237465541	8988	0.1768
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	237471581	240513210	2410	0.1409
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	1	240513628	247650984	3893	0.1761
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	480597	8381197	4838	0.158
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	8381301	24135782	10552	0.1764
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	24136948	27765850	1616	0.2366
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	27767352	57052876	16641	0.1827
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	57053187	59392645	1349	0.1355
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	59394648	135341840	35988	0.1803
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	135344236	147779359	6888	0.1458
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	147779377	192813288	25919	0.1657
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	192813460	194266223	467	0.0872
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	194266874	209026647	8146	0.1704
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	209029848	212291272	1933	0.1467
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	212293141	212480553	101	-0.7469
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	212481945	229690484	10979	0.1716
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	2	229690509	241537572	6772	0.1971
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	2170634	9017973	3980	0.1782
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	9018253	15807823	4363	0.2147
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	15807949	44086631	16773	0.1833
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	44088669	53261731	4183	0.233
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	53262267	76933313	15200	0.191
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	76933603	90124543	6710	0.1691
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	90127953	94015827	65	-0.536
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	94017382	105387142	6101	-0.6765
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	105388197	105519771	85	-0.3799
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	105519805	120938930	9024	-0.6884
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	120940224	149395023	15457	-0.6302
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	149396827	152158412	1650	-0.5626
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	152159340	153414958	743	-0.6197
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	153419656	153996355	370	0.2211
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	154002172	154375008	215	0.7058
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	154375491	154759313	89	0.2604
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	154763568	154903895	52	-0.483
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	154906640	154987379	43	0.2014
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	154994546	155060808	36	0.8242
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	155071295	157961280	1673	0.2228
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	157966051	158414118	207	0.7239
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	158419059	158463422	24	1.0784
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	158475723	159180413	356	0.7325
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	159182304	159206770	18	0.1964
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	159209450	159238573	26	0.7701
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	159243125	159477300	161	0.2732
030a8b8c-ce8c-4ec5-af7b-c7e574ea20b6	3	159480760	161512141	1122	0.7398
