GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	3301765	3775287	228	-0.5739
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	3778083	3779792	4	-3.4675
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	3779928	6254762	1771	-0.6145
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	6256824	10662911	2258	-0.5329
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	10666632	45489887	18495	0.1463
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	45492413	45760946	101	0.6204
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	45765823	48071315	1220	0.1253
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	48074983	51754465	1698	0.0762
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	51757881	55073564	1937	0.1353
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	55074160	68422976	9777	0.0852
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	68423214	88576481	11967	0.0483
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	88576802	95184684	3935	0.0911
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	95184965	99177881	2359	0.0271
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	99178377	101547383	1550	0.0794
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	101547398	106859466	2654	0.0195
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	106859479	114151650	4422	0.1107
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	114154398	114154411	2	-1.3907
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	114155472	115431467	857	0.0954
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	115442406	115443483	2	-1.4935
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	115447442	119984738	2822	0.0821
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	119984772	157064324	3364	0.1405
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	157068435	186829262	19594	0.0867
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	186833622	199992428	7661	0.019
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	199997434	205416940	3671	0.1161
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	205420332	205422831	3	-1.4884
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	205423280	213880358	5569	0.0941
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	213880878	222571827	5941	0.0529
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	222574395	237189438	9254	0.1014
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	237194933	243978666	4851	0.0584
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	243979136	245163703	579	0.0997
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	1	245163995	247650984	1082	0.1156
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	480597	7899063	4512	0.0619
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	7899107	12163521	2946	0.1121
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	12163567	12678018	433	0.0723
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	12679497	14844576	1270	0.0149
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	14844816	21437537	4594	0.0631
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	21437962	22961455	862	0.0096
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	22962056	27976597	2474	0.1025
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	27978770	27982105	2	-1.3067
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	27982714	30799647	1877	0.107
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	30799751	36397416	2729	0.0523
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	36399341	38865206	1266	0.1109
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	38866245	41870968	1829	0.0409
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	41871260	48889103	4537	0.0968
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	48891978	53420591	2402	0.0124
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	53420651	56547108	1630	0.0677
dcd369bb-a83d-4c00-aba5-0ab14a39eec0	2	56547166	60154087	2192	0.014
