GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f062485b-3fca-464f-8a14-5dc6003c4ca2	1	3301765	70777796	38747	-0.0033
f062485b-3fca-464f-8a14-5dc6003c4ca2	1	70779147	70780985	5	-1.0533
f062485b-3fca-464f-8a14-5dc6003c4ca2	1	70785071	247650984	90684	0.0028
f062485b-3fca-464f-8a14-5dc6003c4ca2	2	480597	241537572	131915	0.0045
f062485b-3fca-464f-8a14-5dc6003c4ca2	3	2170634	197812401	106918	0.0018
f062485b-3fca-464f-8a14-5dc6003c4ca2	4	1059384	187842528	103245	-0.0005
f062485b-3fca-464f-8a14-5dc6003c4ca2	5	913983	180934240	100891	0.0005
f062485b-3fca-464f-8a14-5dc6003c4ca2	6	1011760	50961988	30084	0
f062485b-3fca-464f-8a14-5dc6003c4ca2	6	50974380	50974837	2	-1.9294
f062485b-3fca-464f-8a14-5dc6003c4ca2	6	50974922	170596889	66863	-0.0003
f062485b-3fca-464f-8a14-5dc6003c4ca2	7	664936	158592540	81750	0.0005
f062485b-3fca-464f-8a14-5dc6003c4ca2	8	667625	74136401	41039	0.0006
f062485b-3fca-464f-8a14-5dc6003c4ca2	8	74141062	74141307	2	-1.6013
f062485b-3fca-464f-8a14-5dc6003c4ca2	8	74142227	129516005	32193	0.0017
f062485b-3fca-464f-8a14-5dc6003c4ca2	8	129518081	129520840	2	-1.4057
f062485b-3fca-464f-8a14-5dc6003c4ca2	8	129524827	144182542	8815	-0.0034
f062485b-3fca-464f-8a14-5dc6003c4ca2	9	789794	138044505	68330	0.0023
f062485b-3fca-464f-8a14-5dc6003c4ca2	10	366509	133411599	81132	0.0014
f062485b-3fca-464f-8a14-5dc6003c4ca2	11	456012	134272740	77407	-0.0016
f062485b-3fca-464f-8a14-5dc6003c4ca2	12	780472	132605822	74209	-0.0018
f062485b-3fca-464f-8a14-5dc6003c4ca2	13	18874255	114226675	56835	0.0007
f062485b-3fca-464f-8a14-5dc6003c4ca2	14	20033191	105533894	49663	0.0018
f062485b-3fca-464f-8a14-5dc6003c4ca2	15	23437561	101344124	44696	0.0068
f062485b-3fca-464f-8a14-5dc6003c4ca2	16	603333	89317317	41141	-0.0012
f062485b-3fca-464f-8a14-5dc6003c4ca2	17	1074619	82959812	37232	-0.0017
f062485b-3fca-464f-8a14-5dc6003c4ca2	18	326691	79349796	42852	0.0009
f062485b-3fca-464f-8a14-5dc6003c4ca2	19	283868	58370362	24128	-0.003
f062485b-3fca-464f-8a14-5dc6003c4ca2	20	472817	53546628	30561	0.006
f062485b-3fca-464f-8a14-5dc6003c4ca2	20	53547098	53557356	17	0.5036
f062485b-3fca-464f-8a14-5dc6003c4ca2	20	53559068	63588502	6931	-0.0073
f062485b-3fca-464f-8a14-5dc6003c4ca2	21	13974127	46262057	20556	-0.0029
f062485b-3fca-464f-8a14-5dc6003c4ca2	22	16934932	48940621	17069	-0.0071
f062485b-3fca-464f-8a14-5dc6003c4ca2	X	3236359	155677414	63156	-0.0005
