GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	3301765	3309193	15	0.4833
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	3309376	9247978	3661	0.3113
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	9255788	9644678	139	-0.0765
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	9647847	10898878	566	0.2999
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	10908673	12686526	928	-0.0514
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	12686572	12774437	60	0.5854
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	13468357	14027533	433	0.8034
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	14027659	14853971	655	0.6155
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	14861507	46746337	16791	-0.0494
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	46746476	50621793	2148	-0.0031
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	50622520	54858477	2145	-0.0357
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	54859200	68772408	10136	0.0099
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	68773759	108509539	23189	0.0307
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	108509642	118568114	6270	0.0035
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	118574544	118574667	2	-1.2853
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	118574851	119984772	836	0.0274
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	146716041	151357716	523	0.6249
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	151358828	153561551	1244	0.5031
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	153564432	156443710	1269	0.4406
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	156446864	161439440	3129	0.4911
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	161476338	173517203	8664	-0.0455
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	173517415	183620665	6127	-0.0795
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	183620933	187437747	2361	-0.0378
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	187442910	187443255	2	-1.4425
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	187443908	187498837	54	-2.918
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	187499368	199828508	7098	-0.0373
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	199829923	208209733	5387	-0.0999
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	208209908	225444905	11495	-0.0608
32a4cbb3-c1d7-408a-8768-9e07a8274020	1	225449904	229848841	2401	-0.1187
