GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	3301765	7969226	3024	0.3899
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	7970240	8212414	119	0.5543
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	8212571	13741520	2422	0.3705
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	13743614	15437091	1345	0.4359
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	15439578	25963989	5604	0.3848
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	25964069	29417765	1345	0.3273
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	29419090	30879868	1038	0.4222
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	30881230	33068749	923	0.3353
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	33078020	34156185	742	0.4425
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	34156748	34250298	66	0.2607
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	34257031	34331676	77	0.4404
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	34333033	34565969	176	0.213
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	34572695	41007179	3316	0.3827
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	41007705	42543648	970	0.4402
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	42543661	47449191	2462	0.3937
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	47451245	50588335	1797	0.4922
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	50588650	55061806	2325	0.4321
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	55062315	61654892	4949	0.5288
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	61654909	62429611	546	0.4391
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	62430113	67562761	3664	0.5158
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	67563865	74233439	3718	0.5515
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	74234046	78613881	2586	0.5117
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	78613940	84323943	3440	0.5674
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	84327290	84586159	183	0.5027
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	84586748	84644642	41	0.3728
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	84645441	108972406	14389	-0.4373
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	108973030	114361241	3327	-0.5224
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	114363458	119984772	3504	-0.4561
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	146716041	151565758	609	0.653
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	151565890	152652245	570	0.7523
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	152652446	154339220	886	0.6372
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	154340756	154940147	368	0.7469
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	154949612	155787247	331	0.6497
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	155787886	156745821	435	0.5148
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	156753468	158544436	1192	0.6241
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	158544724	158545233	9	0.0516
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	158545295	159950929	904	0.6569
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	159967032	160924779	640	0.5801
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	160929691	162599233	967	0.6353
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	162600198	162924526	298	0.7913
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	162924610	165617682	2149	0.6713
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	165628271	168416727	1978	0.6271
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	168417918	173223086	3370	0.6791
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	173224021	176513105	1577	0.6194
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	176514619	176855566	200	0.4803
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	176856777	177296205	332	0.6713
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	177302661	177323705	11	-0.5076
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	177326464	177752836	269	-0.0914
cfeb9c17-ceb5-40b5-9459-dfc41a377a66	1	177753954	177773424	13	-0.5332
