GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	3301765	7848841	2940	0.2724
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	7854594	13931329	2757	0.2327
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	13933725	15407805	1184	0.2814
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	15407891	15547820	62	-0.2863
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	15551554	20466522	2776	0.2596
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	20468624	40363956	10115	0.2347
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	40371809	40408332	5	1.077
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	40410612	41364321	498	0.2316
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	41365165	42047679	514	0.3057
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	42050234	47517611	2784	0.2207
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	47517741	48851986	952	0.2784
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	48853495	53064030	1831	0.2179
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	53064102	61670450	6237	0.2675
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	61673182	62655165	625	0.2034
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	62655391	112379879	30071	0.2709
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	112380325	115000422	1461	0.2284
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	115002265	119391420	2797	0.2687
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	119392438	119981279	393	0.6146
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	119981332	156003573	2846	0.2193
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	156009242	156302028	126	-0.2776
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	156303270	156379982	38	0.2468
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	156381275	164691467	5442	-0.2738
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	164691584	164695550	2	-2.7475
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	164696037	169567500	3745	-0.2556
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	169569604	179101199	5653	0.5642
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	179104265	179426300	319	0.4634
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	179428118	190218764	6776	0.5571
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	190221009	190274588	30	1.1479
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	190283296	190580103	172	0.5764
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	190580370	192473069	1039	1.0901
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	192476343	192589376	90	-0.4104
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	192592049	193305899	543	0.4746
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	193306363	199870870	3709	0.519
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	199871032	203993770	2626	0.486
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	203995526	204174474	125	-0.3664
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	204174999	211720313	5196	0.5
ec841cbe-4820-4d18-87e7-e64416d0d3fb	1	211726925	247650984	22997	-0.409
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	480597	11331620	6813	0.0645
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	11332411	84588560	42329	0.2327
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	84588624	85125496	293	0.4094
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	85129583	85224126	60	0.5727
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	85229488	85237688	3	-0.0909
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	85240879	85308909	63	0.5361
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	85310473	85654111	161	0.4361
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	85654341	85916364	181	0.5775
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	85918664	86443441	204	0.442
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	86444085	88331751	353	0.2261
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	88334644	88762542	189	0.0211
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	88762979	111741134	8418	-0.2606
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	111742015	111835641	12	0.25
ec841cbe-4820-4d18-87e7-e64416d0d3fb	2	111840846	139888589	14113	-0.2646
