GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
309737bf-aeeb-4f88-9042-e62cc52df00f	1	3301765	54953122	27643	0.1535
309737bf-aeeb-4f88-9042-e62cc52df00f	1	54953303	64434741	6925	0.2036
309737bf-aeeb-4f88-9042-e62cc52df00f	1	64435422	64436772	2	1.5984
309737bf-aeeb-4f88-9042-e62cc52df00f	1	64436800	67402127	2189	0.1662
309737bf-aeeb-4f88-9042-e62cc52df00f	1	67402376	77308743	5704	0.2076
309737bf-aeeb-4f88-9042-e62cc52df00f	1	77309187	78512277	641	0.1672
309737bf-aeeb-4f88-9042-e62cc52df00f	1	78513556	85626763	4426	0.246
309737bf-aeeb-4f88-9042-e62cc52df00f	1	85626826	99065239	8147	0.21
309737bf-aeeb-4f88-9042-e62cc52df00f	1	99066620	103033148	2490	0.2442
309737bf-aeeb-4f88-9042-e62cc52df00f	1	103033874	119984738	9907	0.192
309737bf-aeeb-4f88-9042-e62cc52df00f	1	119984772	153350098	1685	0.1647
309737bf-aeeb-4f88-9042-e62cc52df00f	1	153393072	161940249	4675	0.703
309737bf-aeeb-4f88-9042-e62cc52df00f	1	161942226	189974600	18471	0.7394
309737bf-aeeb-4f88-9042-e62cc52df00f	1	189979516	194911968	3050	0.7788
309737bf-aeeb-4f88-9042-e62cc52df00f	1	194912619	201790221	4030	0.7473
309737bf-aeeb-4f88-9042-e62cc52df00f	1	201792820	227120715	16474	0.6932
309737bf-aeeb-4f88-9042-e62cc52df00f	1	227128513	233144505	3794	0.6517
309737bf-aeeb-4f88-9042-e62cc52df00f	1	233150808	247650984	9415	0.6898
309737bf-aeeb-4f88-9042-e62cc52df00f	2	480597	76146857	44319	-0.7392
309737bf-aeeb-4f88-9042-e62cc52df00f	2	76146862	76147845	2	-4.287
309737bf-aeeb-4f88-9042-e62cc52df00f	2	76148311	81204078	2669	-0.737
309737bf-aeeb-4f88-9042-e62cc52df00f	2	81204772	136564251	24262	0.2361
309737bf-aeeb-4f88-9042-e62cc52df00f	2	136567407	147249819	5873	0.2682
309737bf-aeeb-4f88-9042-e62cc52df00f	2	147254629	155738274	5046	-0.7085
309737bf-aeeb-4f88-9042-e62cc52df00f	2	155739084	155739345	3	-6.6905
309737bf-aeeb-4f88-9042-e62cc52df00f	2	155739472	155775131	22	-1.8918
309737bf-aeeb-4f88-9042-e62cc52df00f	2	155775829	156734641	505	-0.6229
309737bf-aeeb-4f88-9042-e62cc52df00f	2	156737640	156752303	11	-2.3743
309737bf-aeeb-4f88-9042-e62cc52df00f	2	156759927	236074106	45538	-0.7139
309737bf-aeeb-4f88-9042-e62cc52df00f	2	236075039	236079946	5	-3.3055
309737bf-aeeb-4f88-9042-e62cc52df00f	2	236080188	241537572	3154	-0.7609
309737bf-aeeb-4f88-9042-e62cc52df00f	3	2170634	11051142	5272	0.2161
309737bf-aeeb-4f88-9042-e62cc52df00f	3	11052147	14846655	2494	0.1583
309737bf-aeeb-4f88-9042-e62cc52df00f	3	14848206	20977472	3548	0.2051
309737bf-aeeb-4f88-9042-e62cc52df00f	3	20979383	31623913	6405	0.2357
309737bf-aeeb-4f88-9042-e62cc52df00f	3	31624633	59282758	15471	0.1859
309737bf-aeeb-4f88-9042-e62cc52df00f	3	59286147	66025596	4387	0.2267
309737bf-aeeb-4f88-9042-e62cc52df00f	3	66026638	71697648	3803	0.1843
309737bf-aeeb-4f88-9042-e62cc52df00f	3	71700242	88249055	8826	0.2171
309737bf-aeeb-4f88-9042-e62cc52df00f	3	88249962	91390926	1043	0.1785
309737bf-aeeb-4f88-9042-e62cc52df00f	3	91462299	102054944	4156	0.7698
309737bf-aeeb-4f88-9042-e62cc52df00f	3	102054984	104420374	1255	0.8472
309737bf-aeeb-4f88-9042-e62cc52df00f	3	104430148	110306077	3300	0.779
309737bf-aeeb-4f88-9042-e62cc52df00f	3	110306100	110306117	2	-0.6641
309737bf-aeeb-4f88-9042-e62cc52df00f	3	110308618	116016969	3376	0.8022
309737bf-aeeb-4f88-9042-e62cc52df00f	3	116019466	116019524	2	-0.4571
309737bf-aeeb-4f88-9042-e62cc52df00f	3	116021773	118692483	1930	0.7994
309737bf-aeeb-4f88-9042-e62cc52df00f	3	118698777	130600093	6595	0.7451
309737bf-aeeb-4f88-9042-e62cc52df00f	3	130600122	143010346	7009	0.1873
309737bf-aeeb-4f88-9042-e62cc52df00f	3	143010376	146297644	1778	0.2517
309737bf-aeeb-4f88-9042-e62cc52df00f	3	146299459	161349167	8002	0.2076
309737bf-aeeb-4f88-9042-e62cc52df00f	3	161349562	165313569	1715	0.2676
309737bf-aeeb-4f88-9042-e62cc52df00f	3	165313711	173308184	4195	0.2023
309737bf-aeeb-4f88-9042-e62cc52df00f	3	173308371	179109461	2666	0.2527
309737bf-aeeb-4f88-9042-e62cc52df00f	3	179109588	197812401	9890	0.1824
309737bf-aeeb-4f88-9042-e62cc52df00f	4	1059384	10608125	4994	-0.8614
309737bf-aeeb-4f88-9042-e62cc52df00f	4	10608697	11163041	480	0.1879
309737bf-aeeb-4f88-9042-e62cc52df00f	4	11166470	18643576	5401	0.7582
309737bf-aeeb-4f88-9042-e62cc52df00f	4	18644193	25293635	4314	0.8013
309737bf-aeeb-4f88-9042-e62cc52df00f	4	25293648	26884584	969	0.7691
309737bf-aeeb-4f88-9042-e62cc52df00f	4	26886029	38886547	7414	0.2387
309737bf-aeeb-4f88-9042-e62cc52df00f	4	38892759	38893685	2	-1.3125
309737bf-aeeb-4f88-9042-e62cc52df00f	4	38895410	41576939	1446	0.2077
309737bf-aeeb-4f88-9042-e62cc52df00f	4	41578506	41579533	3	-1.0534
309737bf-aeeb-4f88-9042-e62cc52df00f	4	41581874	47823142	3126	0.2219
309737bf-aeeb-4f88-9042-e62cc52df00f	4	47826890	52872244	690	0.175
309737bf-aeeb-4f88-9042-e62cc52df00f	4	52872349	52872357	2	-2.0489
309737bf-aeeb-4f88-9042-e62cc52df00f	4	52873095	63461043	6310	0.1756
309737bf-aeeb-4f88-9042-e62cc52df00f	4	63463688	76364243	6738	-0.7731
309737bf-aeeb-4f88-9042-e62cc52df00f	4	76364281	76364680	2	-3.1977
309737bf-aeeb-4f88-9042-e62cc52df00f	4	76368633	91966494	9253	-0.7774
309737bf-aeeb-4f88-9042-e62cc52df00f	4	92021553	103463372	6265	0.2075
309737bf-aeeb-4f88-9042-e62cc52df00f	4	103464010	103484207	21	0.714
309737bf-aeeb-4f88-9042-e62cc52df00f	4	103490409	107303885	2118	-0.704
309737bf-aeeb-4f88-9042-e62cc52df00f	4	107305940	123768350	9359	0.2411
309737bf-aeeb-4f88-9042-e62cc52df00f	4	123771477	126108015	1396	0.3178
309737bf-aeeb-4f88-9042-e62cc52df00f	4	126108933	132558937	3049	0.2475
309737bf-aeeb-4f88-9042-e62cc52df00f	4	132561119	138905566	3310	0.2909
309737bf-aeeb-4f88-9042-e62cc52df00f	4	138908862	155093646	9123	0.2235
309737bf-aeeb-4f88-9042-e62cc52df00f	4	155094233	158261255	1943	0.287
309737bf-aeeb-4f88-9042-e62cc52df00f	4	158261637	162445156	2436	0.2062
309737bf-aeeb-4f88-9042-e62cc52df00f	4	162445364	162507757	36	0.7013
309737bf-aeeb-4f88-9042-e62cc52df00f	4	162511078	185433569	11594	0.2262
309737bf-aeeb-4f88-9042-e62cc52df00f	4	185438837	185769228	239	-0.8032
309737bf-aeeb-4f88-9042-e62cc52df00f	4	185772355	187842528	1254	0.2103
309737bf-aeeb-4f88-9042-e62cc52df00f	5	913983	7168793	4566	0.1618
309737bf-aeeb-4f88-9042-e62cc52df00f	5	7168823	29150779	12213	0.2046
309737bf-aeeb-4f88-9042-e62cc52df00f	5	29150847	31690742	1718	0.2533
309737bf-aeeb-4f88-9042-e62cc52df00f	5	31702039	55206057	10360	0.204
309737bf-aeeb-4f88-9042-e62cc52df00f	5	55206836	55803599	281	0.1666
309737bf-aeeb-4f88-9042-e62cc52df00f	5	55810059	126444493	38712	0.2442
309737bf-aeeb-4f88-9042-e62cc52df00f	5	126448447	127834384	789	0.2077
309737bf-aeeb-4f88-9042-e62cc52df00f	5	127834760	180934240	32203	-0.7906
309737bf-aeeb-4f88-9042-e62cc52df00f	6	1011760	14704462	9848	-0.8359
309737bf-aeeb-4f88-9042-e62cc52df00f	6	14705819	38837945	12774	-0.7579
309737bf-aeeb-4f88-9042-e62cc52df00f	6	38844660	44686634	3793	0.1787
309737bf-aeeb-4f88-9042-e62cc52df00f	6	44691849	54504507	5935	0.222
309737bf-aeeb-4f88-9042-e62cc52df00f	6	54508582	56695732	1339	0.2842
309737bf-aeeb-4f88-9042-e62cc52df00f	6	56695898	76073613	8424	0.2259
309737bf-aeeb-4f88-9042-e62cc52df00f	6	76120824	76138280	13	0.7185
309737bf-aeeb-4f88-9042-e62cc52df00f	6	76144602	112076803	20068	0.218
309737bf-aeeb-4f88-9042-e62cc52df00f	6	112078253	142942152	18080	0.2533
309737bf-aeeb-4f88-9042-e62cc52df00f	6	142942366	170596889	16678	0.2227
309737bf-aeeb-4f88-9042-e62cc52df00f	7	664936	4647542	1551	0.1665
309737bf-aeeb-4f88-9042-e62cc52df00f	7	4652236	22405051	9654	-0.7852
309737bf-aeeb-4f88-9042-e62cc52df00f	7	22405287	24111478	1125	0.1854
309737bf-aeeb-4f88-9042-e62cc52df00f	7	24111556	49630166	16452	0.2148
309737bf-aeeb-4f88-9042-e62cc52df00f	7	49630306	65000530	5193	0.1745
309737bf-aeeb-4f88-9042-e62cc52df00f	7	65011052	111922121	22646	-0.7788
309737bf-aeeb-4f88-9042-e62cc52df00f	7	111929600	121998523	5406	-0.7226
309737bf-aeeb-4f88-9042-e62cc52df00f	7	121999604	158592540	19538	-0.782
309737bf-aeeb-4f88-9042-e62cc52df00f	8	667625	3013429	883	-0.8659
309737bf-aeeb-4f88-9042-e62cc52df00f	8	3015011	3042532	11	-2.7427
309737bf-aeeb-4f88-9042-e62cc52df00f	8	3042701	10861084	3703	-0.8385
309737bf-aeeb-4f88-9042-e62cc52df00f	8	10862730	10872182	11	-2.3725
309737bf-aeeb-4f88-9042-e62cc52df00f	8	10872814	12993796	812	-0.8816
309737bf-aeeb-4f88-9042-e62cc52df00f	8	12994004	20403751	5673	-0.7897
309737bf-aeeb-4f88-9042-e62cc52df00f	8	20404543	22614311	1497	-0.8556
309737bf-aeeb-4f88-9042-e62cc52df00f	8	22614538	22615437	2	-3.8725
309737bf-aeeb-4f88-9042-e62cc52df00f	8	22617153	43080575	12316	-0.803
309737bf-aeeb-4f88-9042-e62cc52df00f	8	46547532	57487724	5955	0.1872
309737bf-aeeb-4f88-9042-e62cc52df00f	8	57492262	58904914	1012	0.2586
309737bf-aeeb-4f88-9042-e62cc52df00f	8	58908045	68479210	5477	0.1908
309737bf-aeeb-4f88-9042-e62cc52df00f	8	68479818	105470428	21256	0.2339
309737bf-aeeb-4f88-9042-e62cc52df00f	8	105477790	115761064	5228	-0.7262
309737bf-aeeb-4f88-9042-e62cc52df00f	8	115763645	115968403	119	-4.3011
309737bf-aeeb-4f88-9042-e62cc52df00f	8	115968704	116008200	21	-0.6843
309737bf-aeeb-4f88-9042-e62cc52df00f	8	116012792	116026778	10	-3.5839
309737bf-aeeb-4f88-9042-e62cc52df00f	8	116029893	122604636	4394	-0.7561
309737bf-aeeb-4f88-9042-e62cc52df00f	8	122611328	144182542	13604	0.2086
309737bf-aeeb-4f88-9042-e62cc52df00f	9	789794	2084576	684	0.1772
309737bf-aeeb-4f88-9042-e62cc52df00f	9	2084717	32127884	18826	0.2132
309737bf-aeeb-4f88-9042-e62cc52df00f	9	32130988	38752071	4058	0.1809
309737bf-aeeb-4f88-9042-e62cc52df00f	9	68423153	68586903	129	1.3749
309737bf-aeeb-4f88-9042-e62cc52df00f	9	68587611	68596253	5	0.7357
309737bf-aeeb-4f88-9042-e62cc52df00f	9	68596284	68788905	191	1.394
309737bf-aeeb-4f88-9042-e62cc52df00f	9	68792681	68800987	4	0.544
309737bf-aeeb-4f88-9042-e62cc52df00f	9	68801306	69118752	293	1.3783
309737bf-aeeb-4f88-9042-e62cc52df00f	9	69125255	69127809	3	-0.4918
309737bf-aeeb-4f88-9042-e62cc52df00f	9	69131137	69594019	325	1.3473
309737bf-aeeb-4f88-9042-e62cc52df00f	9	69594914	70306343	494	1.1042
309737bf-aeeb-4f88-9042-e62cc52df00f	9	70310211	70328184	4	1.034
309737bf-aeeb-4f88-9042-e62cc52df00f	9	70329100	71279169	716	0.1782
309737bf-aeeb-4f88-9042-e62cc52df00f	9	71279363	71353043	45	1.0596
309737bf-aeeb-4f88-9042-e62cc52df00f	9	71356033	73390142	1314	0.1617
309737bf-aeeb-4f88-9042-e62cc52df00f	9	73395434	73414583	4	0.7517
309737bf-aeeb-4f88-9042-e62cc52df00f	9	73414910	73822473	257	1.1471
309737bf-aeeb-4f88-9042-e62cc52df00f	9	73822793	74093072	143	1.4038
309737bf-aeeb-4f88-9042-e62cc52df00f	9	74094335	74187245	56	0.7344
309737bf-aeeb-4f88-9042-e62cc52df00f	9	74191482	74228266	17	1.1903
309737bf-aeeb-4f88-9042-e62cc52df00f	9	74229302	77273946	2277	0.7066
309737bf-aeeb-4f88-9042-e62cc52df00f	9	77276988	77875639	373	1.1011
309737bf-aeeb-4f88-9042-e62cc52df00f	9	77880777	79056875	802	0.7201
309737bf-aeeb-4f88-9042-e62cc52df00f	9	79057480	79538574	371	1.371
309737bf-aeeb-4f88-9042-e62cc52df00f	9	79541261	79821943	182	1.5549
309737bf-aeeb-4f88-9042-e62cc52df00f	9	79822046	79909943	77	1.0951
309737bf-aeeb-4f88-9042-e62cc52df00f	9	79910277	79924624	20	1.3525
309737bf-aeeb-4f88-9042-e62cc52df00f	9	79924759	80083593	115	1.6096
309737bf-aeeb-4f88-9042-e62cc52df00f	9	80084341	80107596	13	1.1413
309737bf-aeeb-4f88-9042-e62cc52df00f	9	80110107	80412703	209	1.0608
309737bf-aeeb-4f88-9042-e62cc52df00f	9	80413506	83751448	2288	0.694
309737bf-aeeb-4f88-9042-e62cc52df00f	9	83757378	83811859	35	1.3318
309737bf-aeeb-4f88-9042-e62cc52df00f	9	83819543	83872434	19	0.7403
309737bf-aeeb-4f88-9042-e62cc52df00f	9	83874109	84776662	638	1.3195
309737bf-aeeb-4f88-9042-e62cc52df00f	9	84776946	85221495	393	1.535
309737bf-aeeb-4f88-9042-e62cc52df00f	9	85222740	85245425	21	1.9423
309737bf-aeeb-4f88-9042-e62cc52df00f	9	85249439	85540026	236	1.6401
309737bf-aeeb-4f88-9042-e62cc52df00f	9	85541637	85755948	89	1.8529
309737bf-aeeb-4f88-9042-e62cc52df00f	9	85762520	86321760	281	1.5772
309737bf-aeeb-4f88-9042-e62cc52df00f	9	86322174	86531731	121	1.3504
309737bf-aeeb-4f88-9042-e62cc52df00f	9	86545834	87041135	412	1.5557
309737bf-aeeb-4f88-9042-e62cc52df00f	9	87052752	87685009	559	1.3454
309737bf-aeeb-4f88-9042-e62cc52df00f	9	87687557	87688360	2	-0.2079
309737bf-aeeb-4f88-9042-e62cc52df00f	9	87689022	88476586	465	1.3281
309737bf-aeeb-4f88-9042-e62cc52df00f	9	88477130	92848119	2801	1.5294
309737bf-aeeb-4f88-9042-e62cc52df00f	9	92849288	95442510	1511	1.3213
309737bf-aeeb-4f88-9042-e62cc52df00f	9	95444822	95823705	459	1.092
309737bf-aeeb-4f88-9042-e62cc52df00f	9	95824607	103947229	4724	0.1458
309737bf-aeeb-4f88-9042-e62cc52df00f	9	103989761	105825551	1277	0.7025
309737bf-aeeb-4f88-9042-e62cc52df00f	9	105887212	105914912	24	1.1582
309737bf-aeeb-4f88-9042-e62cc52df00f	9	105915156	106787222	576	0.7321
