GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
37d075d9-d10c-4d86-a440-1b705677a167	1	3301765	61534975	32586	0.0021
37d075d9-d10c-4d86-a440-1b705677a167	1	61535710	61553633	5	-1.3394
37d075d9-d10c-4d86-a440-1b705677a167	1	61555271	247650984	97048	0.0011
37d075d9-d10c-4d86-a440-1b705677a167	2	480597	150590549	79403	0.0012
37d075d9-d10c-4d86-a440-1b705677a167	2	150590742	150595528	3	-1.3161
37d075d9-d10c-4d86-a440-1b705677a167	2	150595811	241537572	52701	0.0009
37d075d9-d10c-4d86-a440-1b705677a167	3	2170634	197812401	107080	0.0009
37d075d9-d10c-4d86-a440-1b705677a167	4	1059384	187842528	103408	0.0013
37d075d9-d10c-4d86-a440-1b705677a167	5	913983	180934240	101017	0.0025
37d075d9-d10c-4d86-a440-1b705677a167	6	1011760	145852292	82254	0.0012
37d075d9-d10c-4d86-a440-1b705677a167	6	145858865	145863271	7	-1.0023
37d075d9-d10c-4d86-a440-1b705677a167	6	145863345	170596889	14825	0.0047
37d075d9-d10c-4d86-a440-1b705677a167	7	664936	158592540	81863	0.0011
37d075d9-d10c-4d86-a440-1b705677a167	8	667625	31851524	18805	0.0009
37d075d9-d10c-4d86-a440-1b705677a167	8	31864786	31916048	43	0.5988
37d075d9-d10c-4d86-a440-1b705677a167	8	31920501	101651182	37685	0.0005
37d075d9-d10c-4d86-a440-1b705677a167	8	101652063	101656084	7	-0.9055
37d075d9-d10c-4d86-a440-1b705677a167	8	101658222	144182542	25619	0.0029
37d075d9-d10c-4d86-a440-1b705677a167	9	789794	12980920	6604	0.0019
37d075d9-d10c-4d86-a440-1b705677a167	9	12981756	12982585	2	-1.2819
37d075d9-d10c-4d86-a440-1b705677a167	9	12982608	15814043	2189	-0.0065
37d075d9-d10c-4d86-a440-1b705677a167	9	15823525	15830072	9	-0.9069
37d075d9-d10c-4d86-a440-1b705677a167	9	15841121	38647623	14640	0.0027
37d075d9-d10c-4d86-a440-1b705677a167	9	38648011	38654054	13	-0.9292
37d075d9-d10c-4d86-a440-1b705677a167	9	38654210	81787836	9585	-0.0028
37d075d9-d10c-4d86-a440-1b705677a167	9	81793561	81794034	3	-1.0486
37d075d9-d10c-4d86-a440-1b705677a167	9	81797132	138044505	35388	0.0021
37d075d9-d10c-4d86-a440-1b705677a167	10	366509	133411599	81258	0.0006
37d075d9-d10c-4d86-a440-1b705677a167	11	456012	134272740	77507	0.0008
37d075d9-d10c-4d86-a440-1b705677a167	12	780472	77225551	41797	0.003
37d075d9-d10c-4d86-a440-1b705677a167	12	77233665	77233897	2	-1.471
37d075d9-d10c-4d86-a440-1b705677a167	12	77237465	132605822	32497	0.0029
37d075d9-d10c-4d86-a440-1b705677a167	13	18874255	114226675	56924	0.0009
37d075d9-d10c-4d86-a440-1b705677a167	14	20033191	86636251	38530	0.0049
37d075d9-d10c-4d86-a440-1b705677a167	14	86637327	86637353	2	-1.4497
37d075d9-d10c-4d86-a440-1b705677a167	14	86643224	99182754	8303	0.0036
37d075d9-d10c-4d86-a440-1b705677a167	14	99183226	99183260	2	1.3277
37d075d9-d10c-4d86-a440-1b705677a167	14	99183417	105533894	2902	-0.0026
37d075d9-d10c-4d86-a440-1b705677a167	15	23437561	57696777	18369	-0.0013
37d075d9-d10c-4d86-a440-1b705677a167	15	57698990	57702672	4	-1.0964
37d075d9-d10c-4d86-a440-1b705677a167	15	57704342	101344124	26379	0.0002
37d075d9-d10c-4d86-a440-1b705677a167	16	603333	89317317	41185	0.0035
37d075d9-d10c-4d86-a440-1b705677a167	17	1074619	4571949	1553	0.0055
37d075d9-d10c-4d86-a440-1b705677a167	17	4572365	4575541	2	-1.3457
37d075d9-d10c-4d86-a440-1b705677a167	17	4577608	43096288	15463	0.0045
37d075d9-d10c-4d86-a440-1b705677a167	17	43096466	43098010	2	-1.3907
37d075d9-d10c-4d86-a440-1b705677a167	17	43099914	82959812	20243	0.0024
37d075d9-d10c-4d86-a440-1b705677a167	18	326691	79349796	42929	0.0037
37d075d9-d10c-4d86-a440-1b705677a167	19	283868	11504507	3977	-0.0069
37d075d9-d10c-4d86-a440-1b705677a167	19	11505992	11506454	2	-1.337
37d075d9-d10c-4d86-a440-1b705677a167	19	11507317	58370362	20168	0.0021
37d075d9-d10c-4d86-a440-1b705677a167	20	472817	56719483	32957	0.0009
37d075d9-d10c-4d86-a440-1b705677a167	20	56781498	56796595	13	-0.9871
37d075d9-d10c-4d86-a440-1b705677a167	20	56796859	63588502	4572	0.0075
37d075d9-d10c-4d86-a440-1b705677a167	21	13974127	24213071	6277	0.0022
37d075d9-d10c-4d86-a440-1b705677a167	21	24215936	24216026	3	-1.3542
37d075d9-d10c-4d86-a440-1b705677a167	21	24216643	46262057	14299	-0.0018
37d075d9-d10c-4d86-a440-1b705677a167	22	16934932	35470504	9081	0.0012
37d075d9-d10c-4d86-a440-1b705677a167	22	35472402	35495055	12	-0.2755
37d075d9-d10c-4d86-a440-1b705677a167	22	35495148	35496753	3	-1.1557
37d075d9-d10c-4d86-a440-1b705677a167	22	35502271	48940621	7989	0.0001
37d075d9-d10c-4d86-a440-1b705677a167	X	3236359	138399250	56265	0.0021
37d075d9-d10c-4d86-a440-1b705677a167	X	138400418	138402166	2	-1.3644
37d075d9-d10c-4d86-a440-1b705677a167	X	138404006	155677414	7651	-0.0052
