GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
76ce0ab7-24fb-4988-9e79-77071cadde5f	1	3301765	101526666	57205	-0.0004
76ce0ab7-24fb-4988-9e79-77071cadde5f	1	101526916	101526951	2	-2.3622
76ce0ab7-24fb-4988-9e79-77071cadde5f	1	101527114	113208595	6558	0.0033
76ce0ab7-24fb-4988-9e79-77071cadde5f	1	113208823	113209018	2	2.7137
76ce0ab7-24fb-4988-9e79-77071cadde5f	1	113209037	247650984	65627	0.0016
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	480597	133987156	70014	0.0052
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	133988131	133991186	4	-1.6489
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	133997658	168927903	20118	0.0037
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	168928430	168928445	2	-1.5694
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	168928557	169442444	323	0.0016
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	169442657	169443253	3	-1.5721
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	169443576	216551280	26277	0.0041
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	216552139	216561214	6	-1.0644
76ce0ab7-24fb-4988-9e79-77071cadde5f	2	216562627	241537572	15189	0.0073
76ce0ab7-24fb-4988-9e79-77071cadde5f	3	2170634	197812401	106930	0.0021
76ce0ab7-24fb-4988-9e79-77071cadde5f	4	1059384	72666091	39677	0.0023
76ce0ab7-24fb-4988-9e79-77071cadde5f	4	72708359	72709016	2	-1.9903
76ce0ab7-24fb-4988-9e79-77071cadde5f	4	72709550	111291050	22227	0.0034
76ce0ab7-24fb-4988-9e79-77071cadde5f	4	111291686	111295645	2	-1.7626
76ce0ab7-24fb-4988-9e79-77071cadde5f	4	111296654	143427168	17600	0.0024
76ce0ab7-24fb-4988-9e79-77071cadde5f	4	143429434	143436353	4	-2.2303
76ce0ab7-24fb-4988-9e79-77071cadde5f	4	143437613	187842528	23741	-0.0004
76ce0ab7-24fb-4988-9e79-77071cadde5f	5	913983	180934240	100880	-0.0012
76ce0ab7-24fb-4988-9e79-77071cadde5f	6	1011760	170596889	96917	0.0024
76ce0ab7-24fb-4988-9e79-77071cadde5f	7	664936	158592540	81766	0.0027
76ce0ab7-24fb-4988-9e79-77071cadde5f	8	667625	144182542	82038	0.0011
76ce0ab7-24fb-4988-9e79-77071cadde5f	9	789794	138044505	68326	-0.0001
76ce0ab7-24fb-4988-9e79-77071cadde5f	10	366509	3681518	1802	0.009
76ce0ab7-24fb-4988-9e79-77071cadde5f	10	3682560	3687050	7	-1.087
76ce0ab7-24fb-4988-9e79-77071cadde5f	10	3687859	133411599	79307	0.0023
76ce0ab7-24fb-4988-9e79-77071cadde5f	11	456012	134272740	77398	-0.0003
