GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7492086b-c6fc-491d-864f-60693549073a	1	3301765	5185758	1331	-0.0766
7492086b-c6fc-491d-864f-60693549073a	1	5186566	5187022	2	-2.0274
7492086b-c6fc-491d-864f-60693549073a	1	5190437	25867628	11098	-0.0613
7492086b-c6fc-491d-864f-60693549073a	1	25870572	47785670	11409	0.2993
7492086b-c6fc-491d-864f-60693549073a	1	47787277	51789811	1950	0.2435
7492086b-c6fc-491d-864f-60693549073a	1	51789976	55529231	2281	0.2846
7492086b-c6fc-491d-864f-60693549073a	1	55529625	63517289	5793	0.2428
7492086b-c6fc-491d-864f-60693549073a	1	63520014	63534976	14	-0.2554
7492086b-c6fc-491d-864f-60693549073a	1	63535067	71991569	5461	0.2322
7492086b-c6fc-491d-864f-60693549073a	1	72001349	72542279	281	-0.1459
7492086b-c6fc-491d-864f-60693549073a	1	72542484	81697562	5301	0.225
7492086b-c6fc-491d-864f-60693549073a	1	81698672	83817571	1313	0.1126
7492086b-c6fc-491d-864f-60693549073a	1	83818581	92184413	5352	0.2441
7492086b-c6fc-491d-864f-60693549073a	1	92190635	102852113	6365	-0.1547
7492086b-c6fc-491d-864f-60693549073a	1	102852687	102856163	2	-2.4628
7492086b-c6fc-491d-864f-60693549073a	1	102856785	106995883	2021	-0.1842
7492086b-c6fc-491d-864f-60693549073a	1	107003753	119984738	7996	-0.1269
7492086b-c6fc-491d-864f-60693549073a	1	119984772	150927831	360	0.2697
7492086b-c6fc-491d-864f-60693549073a	1	150929866	157538148	3298	0.3271
7492086b-c6fc-491d-864f-60693549073a	1	157538162	186965055	19365	0.2858
7492086b-c6fc-491d-864f-60693549073a	1	186966496	194637635	4660	0.2514
7492086b-c6fc-491d-864f-60693549073a	1	194637838	195097044	268	-0.079
7492086b-c6fc-491d-864f-60693549073a	1	195099326	195738360	277	0.2302
7492086b-c6fc-491d-864f-60693549073a	1	195747646	195851760	96	0.4758
7492086b-c6fc-491d-864f-60693549073a	1	195906930	196727607	511	0.2597
7492086b-c6fc-491d-864f-60693549073a	1	196729112	198818269	1066	-0.0725
7492086b-c6fc-491d-864f-60693549073a	1	198821658	199433707	384	0.2855
7492086b-c6fc-491d-864f-60693549073a	1	199434655	200723410	834	-0.0464
7492086b-c6fc-491d-864f-60693549073a	1	200726019	202329957	1040	0.02
7492086b-c6fc-491d-864f-60693549073a	1	202334479	202635258	138	-0.0439
7492086b-c6fc-491d-864f-60693549073a	1	202637008	203041124	270	0.3386
7492086b-c6fc-491d-864f-60693549073a	1	203041790	203092122	31	0.0463
7492086b-c6fc-491d-864f-60693549073a	1	203099256	203177038	52	0.3695
7492086b-c6fc-491d-864f-60693549073a	1	203177091	203236880	51	0.0295
7492086b-c6fc-491d-864f-60693549073a	1	203237581	203240656	7	0.4518
7492086b-c6fc-491d-864f-60693549073a	1	203242022	203266996	11	0.0149
7492086b-c6fc-491d-864f-60693549073a	1	203267344	203832870	360	0.3322
7492086b-c6fc-491d-864f-60693549073a	1	203832923	204211498	231	0.0066
7492086b-c6fc-491d-864f-60693549073a	1	204214647	204705458	399	0.3582
7492086b-c6fc-491d-864f-60693549073a	1	204706513	208637871	2528	-0.0093
7492086b-c6fc-491d-864f-60693549073a	1	208643790	210246305	1192	0.2934
7492086b-c6fc-491d-864f-60693549073a	1	210246511	213523871	2092	-0.0018
7492086b-c6fc-491d-864f-60693549073a	1	213524546	213576716	58	0.2833
7492086b-c6fc-491d-864f-60693549073a	1	213577754	213699138	92	-0.0379
7492086b-c6fc-491d-864f-60693549073a	1	213701143	213900675	142	0.3315
7492086b-c6fc-491d-864f-60693549073a	1	213907298	222694215	5972	-0.045
7492086b-c6fc-491d-864f-60693549073a	1	222695681	237306112	9279	-0.0094
7492086b-c6fc-491d-864f-60693549073a	1	237310856	239635048	1775	-0.0424
7492086b-c6fc-491d-864f-60693549073a	1	239636426	247650984	4626	-0.4974
7492086b-c6fc-491d-864f-60693549073a	2	480597	8453279	4894	-0.5343
7492086b-c6fc-491d-864f-60693549073a	2	8453522	11928645	2305	-0.4835
7492086b-c6fc-491d-864f-60693549073a	2	11929042	23575209	7877	-0.5423
7492086b-c6fc-491d-864f-60693549073a	2	23578539	28324273	2177	-0.4772
7492086b-c6fc-491d-864f-60693549073a	2	28324320	51289903	13265	-0.5202
7492086b-c6fc-491d-864f-60693549073a	2	51290291	51297887	12	-1.3403
7492086b-c6fc-491d-864f-60693549073a	2	51298254	69430883	10307	-0.5188
7492086b-c6fc-491d-864f-60693549073a	2	69437844	69876372	273	-0.0649
7492086b-c6fc-491d-864f-60693549073a	2	69876670	70215727	187	-0.4681
7492086b-c6fc-491d-864f-60693549073a	2	70218317	71212576	716	-0.0879
7492086b-c6fc-491d-864f-60693549073a	2	71220931	71240989	15	-0.5539
7492086b-c6fc-491d-864f-60693549073a	2	71243868	71489767	129	-0.1037
7492086b-c6fc-491d-864f-60693549073a	2	71490338	72817787	654	-0.4812
7492086b-c6fc-491d-864f-60693549073a	2	72818862	72992793	78	-0.0547
7492086b-c6fc-491d-864f-60693549073a	2	73000057	78330880	2951	-0.5219
7492086b-c6fc-491d-864f-60693549073a	2	78336233	78450788	57	-0.1121
7492086b-c6fc-491d-864f-60693549073a	2	78451166	78467056	11	-0.7051
7492086b-c6fc-491d-864f-60693549073a	2	78467799	78592228	56	-0.1338
7492086b-c6fc-491d-864f-60693549073a	2	78596431	79732203	259	-0.5578
7492086b-c6fc-491d-864f-60693549073a	2	79735304	79802916	75	-0.1212
7492086b-c6fc-491d-864f-60693549073a	2	79803765	81515967	1087	-0.5343
7492086b-c6fc-491d-864f-60693549073a	2	81518137	81672653	96	-0.1929
7492086b-c6fc-491d-864f-60693549073a	2	81674860	81834036	104	-0.5581
7492086b-c6fc-491d-864f-60693549073a	2	81837133	82092193	83	-0.1159
7492086b-c6fc-491d-864f-60693549073a	2	82092932	84851908	1570	-0.5524
7492086b-c6fc-491d-864f-60693549073a	2	84862290	84877180	10	0.1451
7492086b-c6fc-491d-864f-60693549073a	2	84879294	85153189	123	-0.468
7492086b-c6fc-491d-864f-60693549073a	2	85153953	86881088	823	-0.0579
7492086b-c6fc-491d-864f-60693549073a	2	87894092	94675825	427	-0.496
7492086b-c6fc-491d-864f-60693549073a	2	94675975	114650082	9936	-0.0743
7492086b-c6fc-491d-864f-60693549073a	2	114650600	118380449	1716	-0.1313
7492086b-c6fc-491d-864f-60693549073a	2	118380963	122255849	2359	-0.0642
7492086b-c6fc-491d-864f-60693549073a	2	122260231	124207675	1206	-0.1403
7492086b-c6fc-491d-864f-60693549073a	2	124208110	137161796	6134	-0.0845
