GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	3301765	7873397	2969	0.0332
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	7874094	14164990	2956	-0.013
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	14165750	23765935	5564	0.0276
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	23767718	29116468	2206	-0.0328
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	29135206	31148580	1287	0.0239
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	31150820	31152499	2	-2.1664
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	31152542	33159523	858	-0.019
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	33161003	34892037	1187	0.0706
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	34892259	47817613	6839	0.013
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	47817948	50640264	1537	0.0829
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	50644281	54865293	2148	0.0275
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	54865728	55990804	881	0.106
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	55993341	56029448	22	-0.3741
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	56036567	60287222	3203	0.1038
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	60291313	61340652	712	-0.0182
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	61342612	64513467	2212	-0.0825
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	64514386	64514977	2	1.2307
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	64515373	67469283	2170	-0.1091
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	67469403	88410766	12539	-0.0704
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	88411617	93162926	2730	-0.1086
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	93165502	95876004	1767	0.2414
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	95878005	99702955	2291	-0.063
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	99703767	101462111	1084	-0.134
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	101462840	101563767	92	-0.0549
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	101563821	102498044	514	0.2368
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	102500115	102668617	85	-0.0298
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	102669022	102836233	89	0.8916
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	102838251	107551808	2456	-0.0658
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	107552995	113224635	3393	-0.15
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	113225129	113231359	2	-2.0596
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	113231492	117658506	2832	-0.1373
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	117659077	119984738	1350	-0.087
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	119984772	150740985	293	0.1946
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	150748790	152158692	626	0.745
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	152159147	153242669	682	0.2258
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	153245501	156780361	1600	0.1464
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	156782789	157724965	611	0.2477
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	157727418	159004810	850	0.5174
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	159005659	159072416	43	0.7347
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	159075166	159279025	129	0.5492
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	159286876	160043368	508	0.1976
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	160044063	160486779	271	0.6934
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	160488820	160610759	80	0.1653
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	160611717	161182440	357	0.0055
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	161184704	168659440	5429	-0.227
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	168662832	170202654	1205	0.387
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	170202733	173343567	2017	0.4616
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	173343612	174138939	451	0.3776
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	174157455	176076520	873	-0.1936
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	176079807	177935836	1160	-0.1247
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	177936039	183485747	3678	-0.2605
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	183491131	187110000	2257	-0.1462
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	187110829	190480221	1943	-0.0906
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	190480250	192595559	1197	-0.018
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	192602981	193132779	318	-0.0641
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	193133240	194029803	740	-0.1527
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	194031823	198347902	2232	-0.0647
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	198348215	198793986	315	-0.1645
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	198795639	199544437	466	0.4589
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	199551454	199992428	211	1.3292
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	199997434	200452015	379	0.2447
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	200456305	200555555	56	0.4514
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	200558247	201131620	339	0.2101
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	201133504	201976082	621	0.328
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	201976829	203245936	753	0.2039
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	203249931	208436854	3358	-0.2027
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	208437437	218336487	6848	-0.1279
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	218337512	219730231	972	-0.0411
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	219743197	220034707	213	-0.1307
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	220036570	236352226	10138	-0.1936
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	236352535	239104595	2254	-0.0689
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	239105980	239122069	10	-1.6339
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	239128581	247038420	4605	-0.0903
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	247040355	247040391	2	-2.8852
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	247041192	247323119	147	-0.0773
4a64833d-52b2-4e4e-a7a7-500777415ac7	1	247323376	247650984	204	-0.1717
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	480597	6527241	3591	-0.065
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	6527925	12580353	4236	-0.111
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	12580851	23857404	7426	-0.0507
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	23857430	29050395	2324	-0.1355
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	29050717	67969862	22453	-0.0695
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	67971235	75171698	4064	-0.1034
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	75171823	84607549	5058	-0.0365
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	84610524	88223655	1233	-0.119
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	88225076	88225412	2	-1.5808
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	88226446	88831554	303	-0.0671
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	94675825	102787782	3749	0.4918
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	102788254	104531192	1005	0.56
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	104531960	105096802	338	0.4907
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	105097300	105308624	155	0.7466
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	105308854	105345311	19	0.5147
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	105345660	106558288	871	0.2244
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	106558500	107823682	714	0.3062
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	107903920	120315886	5995	0.2147
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	120324663	123298448	1911	0.7977
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	123405705	123620008	64	0.3054
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	123624134	125919394	670	0.2103
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	125924226	125924710	2	-1.5495
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	125928004	126678554	426	0.2317
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	126679141	126679569	2	-1.5409
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	126680020	128098979	790	0.2021
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	128099679	128106170	3	-0.9719
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	128106478	134036685	2683	0.2041
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	134038731	137615373	2226	0.1128
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	137615922	166906038	16533	0.1688
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	166914002	166965791	29	-0.3905
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	166977332	178246201	7144	0.1358
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	178247452	178252318	3	-0.3389
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	178253338	181097894	1772	0.1819
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	181102236	181380781	163	0.6061
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	181386937	187170203	2688	0.1786
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	187171220	188542992	529	0.6829
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	188551796	189721291	663	0.4615
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	189721338	196120033	2913	-0.1143
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	196126189	203726695	4063	-0.1726
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	203729003	205247720	1060	-0.1229
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	205251064	205251169	2	-3.6813
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	205251366	206725544	925	-0.1784
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	206727633	217887089	6923	-0.1374
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	217889539	219560406	804	-0.2301
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	219560979	229216168	6316	-0.142
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	229216327	233548513	2137	-0.2347
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	233552322	237855694	3000	-0.1613
4a64833d-52b2-4e4e-a7a7-500777415ac7	2	237858157	241537572	1982	-0.2261
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	2170634	9447026	4282	-0.1415
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	9448625	17879652	5331	-0.1948
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	17885781	20475779	1378	-0.144
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	20475880	30374120	5798	-0.1142
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	30376662	40001354	5967	-0.1691
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	40003609	46515345	3751	-0.1961
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	46515458	53436836	2828	-0.2517
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	53437259	54165921	499	-0.1994
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	54166429	56615098	1895	-0.1421
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	56615254	58529839	1038	-0.222
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	58530617	67983012	5940	-0.128
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	67986194	70040368	1547	0.2626
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	70044427	73245859	2177	-0.1788
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	73245891	119262919	23008	-0.1302
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	119272443	120816582	867	-0.1798
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	120818963	120869303	40	0.5898
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	120870880	122923447	974	-0.1779
4a64833d-52b2-4e4e-a7a7-500777415ac7	3	122923568	122923853	3	-1.6268
