GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5b62ce27-704c-4617-97fb-d73dc876df9d	1	3301765	240509110	125758	0.0035
5b62ce27-704c-4617-97fb-d73dc876df9d	1	240511187	240512815	2	-4.4037
5b62ce27-704c-4617-97fb-d73dc876df9d	1	240513210	247650984	3890	-0.0009
5b62ce27-704c-4617-97fb-d73dc876df9d	2	480597	13190088	8161	-0.0003
5b62ce27-704c-4617-97fb-d73dc876df9d	2	13190625	13190723	2	-1.6987
5b62ce27-704c-4617-97fb-d73dc876df9d	2	13198041	40743961	15954	0.0054
5b62ce27-704c-4617-97fb-d73dc876df9d	2	40750334	40750464	2	-1.3407
5b62ce27-704c-4617-97fb-d73dc876df9d	2	40750737	241537572	108033	0.0037
5b62ce27-704c-4617-97fb-d73dc876df9d	3	2170634	61141148	33707	0.0033
5b62ce27-704c-4617-97fb-d73dc876df9d	3	61141532	61142344	3	-1.5358
5b62ce27-704c-4617-97fb-d73dc876df9d	3	61145227	117161837	30511	0.0002
5b62ce27-704c-4617-97fb-d73dc876df9d	3	117162867	117165840	2	-1.5226
5b62ce27-704c-4617-97fb-d73dc876df9d	3	117167809	189372662	38753	-0.0003
5b62ce27-704c-4617-97fb-d73dc876df9d	3	189376519	189380938	5	-1.014
5b62ce27-704c-4617-97fb-d73dc876df9d	3	189384112	197812401	4110	-0.0021
5b62ce27-704c-4617-97fb-d73dc876df9d	4	1059384	72856687	39841	0.0014
5b62ce27-704c-4617-97fb-d73dc876df9d	4	72856975	72857040	4	-0.9709
5b62ce27-704c-4617-97fb-d73dc876df9d	4	72857260	187842528	63583	-0.0021
5b62ce27-704c-4617-97fb-d73dc876df9d	5	913983	7117091	4521	-0.0042
5b62ce27-704c-4617-97fb-d73dc876df9d	5	7118263	7124909	9	-0.604
5b62ce27-704c-4617-97fb-d73dc876df9d	5	7125413	96365870	46745	0.0012
5b62ce27-704c-4617-97fb-d73dc876df9d	5	96368169	96368601	2	-1.3737
5b62ce27-704c-4617-97fb-d73dc876df9d	5	96373466	143797663	26549	0.0006
5b62ce27-704c-4617-97fb-d73dc876df9d	5	143802328	143806433	6	-0.927
5b62ce27-704c-4617-97fb-d73dc876df9d	5	143807853	180934240	23230	0.0003
5b62ce27-704c-4617-97fb-d73dc876df9d	6	1011760	134770926	75698	-0.0005
5b62ce27-704c-4617-97fb-d73dc876df9d	6	134773134	134773134	2	-1.2699
5b62ce27-704c-4617-97fb-d73dc876df9d	6	134775986	170596889	21401	-0.0011
5b62ce27-704c-4617-97fb-d73dc876df9d	7	664936	2866423	673	0.0043
5b62ce27-704c-4617-97fb-d73dc876df9d	7	2869591	2872529	2	-1.0624
5b62ce27-704c-4617-97fb-d73dc876df9d	7	2873368	2985517	70	0.0236
5b62ce27-704c-4617-97fb-d73dc876df9d	7	2991385	2991558	2	-1.6293
5b62ce27-704c-4617-97fb-d73dc876df9d	7	2991660	5544536	1150	0.0068
5b62ce27-704c-4617-97fb-d73dc876df9d	7	5544968	5557218	2	-1.3838
5b62ce27-704c-4617-97fb-d73dc876df9d	7	5565499	158592540	79983	0.0001
5b62ce27-704c-4617-97fb-d73dc876df9d	8	667625	25746514	14691	-0.0002
5b62ce27-704c-4617-97fb-d73dc876df9d	8	25748342	25748647	3	-1.0209
5b62ce27-704c-4617-97fb-d73dc876df9d	8	25751194	37066601	6996	0.0057
5b62ce27-704c-4617-97fb-d73dc876df9d	8	37067019	37076534	10	-0.4401
5b62ce27-704c-4617-97fb-d73dc876df9d	8	37076828	62445919	12540	-0.0014
5b62ce27-704c-4617-97fb-d73dc876df9d	8	62449740	62450088	3	-1.2476
5b62ce27-704c-4617-97fb-d73dc876df9d	8	62454920	100650493	21602	0.002
5b62ce27-704c-4617-97fb-d73dc876df9d	8	100651258	100651687	2	-1.439
