GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
798026e0-88d0-4005-b8d8-7989882e1e3c	1	3301765	247650984	129737	0.0008
798026e0-88d0-4005-b8d8-7989882e1e3c	2	480597	77091735	45300	-0.0004
798026e0-88d0-4005-b8d8-7989882e1e3c	2	77096932	77098603	5	-1.1001
798026e0-88d0-4005-b8d8-7989882e1e3c	2	77105827	119287781	17827	0.0034
798026e0-88d0-4005-b8d8-7989882e1e3c	2	119287958	119292266	5	-1.099
798026e0-88d0-4005-b8d8-7989882e1e3c	2	119293268	241537572	69055	0
798026e0-88d0-4005-b8d8-7989882e1e3c	3	2170634	28420493	15496	0.0025
798026e0-88d0-4005-b8d8-7989882e1e3c	3	28422106	28436803	6	-0.8156
798026e0-88d0-4005-b8d8-7989882e1e3c	3	28437998	76105802	28521	0.0026
798026e0-88d0-4005-b8d8-7989882e1e3c	3	76106018	76119751	4	-1.0879
798026e0-88d0-4005-b8d8-7989882e1e3c	3	76121869	86202319	5246	0.0061
798026e0-88d0-4005-b8d8-7989882e1e3c	3	86204955	86206883	4	-1.0539
798026e0-88d0-4005-b8d8-7989882e1e3c	3	86209903	197812401	57869	0.0031
798026e0-88d0-4005-b8d8-7989882e1e3c	4	1059384	187842528	103460	0.0023
798026e0-88d0-4005-b8d8-7989882e1e3c	5	913983	25077135	14726	0.0031
798026e0-88d0-4005-b8d8-7989882e1e3c	5	25077162	25384764	2	-1.0845
798026e0-88d0-4005-b8d8-7989882e1e3c	5	25385351	37254357	6879	0.0003
798026e0-88d0-4005-b8d8-7989882e1e3c	5	37254661	37255481	2	-1.2311
798026e0-88d0-4005-b8d8-7989882e1e3c	5	37259058	101666267	31844	0.0035
798026e0-88d0-4005-b8d8-7989882e1e3c	5	101964286	102602710	313	0.6433
798026e0-88d0-4005-b8d8-7989882e1e3c	5	102604962	165778306	38191	-0.0002
798026e0-88d0-4005-b8d8-7989882e1e3c	5	165778381	165779193	4	-0.9909
798026e0-88d0-4005-b8d8-7989882e1e3c	5	165780459	180934240	9128	0.0028
798026e0-88d0-4005-b8d8-7989882e1e3c	6	1011760	170596889	97129	0.0044
798026e0-88d0-4005-b8d8-7989882e1e3c	7	664936	12426414	5225	0.0061
798026e0-88d0-4005-b8d8-7989882e1e3c	7	12431149	12431831	2	-1.3674
798026e0-88d0-4005-b8d8-7989882e1e3c	7	12436190	158592540	76693	0.0025
798026e0-88d0-4005-b8d8-7989882e1e3c	8	667625	18613103	9755	0.0005
798026e0-88d0-4005-b8d8-7989882e1e3c	8	18613189	18613908	2	-1.5465
798026e0-88d0-4005-b8d8-7989882e1e3c	8	18614156	91929383	40920	0.0008
798026e0-88d0-4005-b8d8-7989882e1e3c	8	91931576	91933677	2	-1.2021
798026e0-88d0-4005-b8d8-7989882e1e3c	8	91933915	96326970	2776	-0.0031
798026e0-88d0-4005-b8d8-7989882e1e3c	8	96329862	96330113	2	-1.4366
798026e0-88d0-4005-b8d8-7989882e1e3c	8	96331740	144182542	28740	-0.0013
798026e0-88d0-4005-b8d8-7989882e1e3c	9	789794	22717306	14142	0.0028
798026e0-88d0-4005-b8d8-7989882e1e3c	9	22720844	22721049	3	-1.0036
798026e0-88d0-4005-b8d8-7989882e1e3c	9	22724130	138044505	54321	0.0007
798026e0-88d0-4005-b8d8-7989882e1e3c	10	366509	110805081	66387	0.0014
798026e0-88d0-4005-b8d8-7989882e1e3c	10	110805105	110810367	2	-1.5648
798026e0-88d0-4005-b8d8-7989882e1e3c	10	110810372	133411599	14889	0.0018
798026e0-88d0-4005-b8d8-7989882e1e3c	11	456012	134272740	77559	-0.0003
