GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	1	3301765	247650984	129197	0.001
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	2	480597	241537572	131671	0.0001
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	3	2170634	197812401	106703	0.0018
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	4	1059384	187842528	103065	0.0012
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	5	913983	180934240	100740	0.0017
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	6	1011760	147343547	82919	0.0021
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	6	147348883	147370912	19	-0.895
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	6	147373191	170596889	13850	-0.0044
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	7	664936	158592540	81623	0.0015
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	667625	2977026	868	-0.0036
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	2977532	4018795	878	-0.0705
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	4019130	4032490	2	-1.3708
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	4036358	4103122	68	-0.0718
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	4103757	77935035	41280	0.0008
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	77938938	78154490	131	-0.8431
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	78154979	120914112	24025	0.0009
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	120914915	120916322	3	-1.2462
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	120916995	134413184	9520	-0.0004
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	134417637	134418675	2	-1.4094
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	8	134419480	144182542	5113	-0.0048
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	9	789794	138044505	68193	0.0006
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	10	366509	118257356	71283	0.0008
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	10	118259727	118259784	2	-2.4569
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	10	118260214	133411599	9670	0.0008
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	11	456012	3986786	1225	-0.0037
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	11	3990516	3991489	2	-1.4639
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	11	3991600	134272740	76023	0.0017
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	12	780472	132605822	74070	0.0009
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	13	18874255	114226675	56716	-0.0004
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	14	20033191	105533894	49568	0.0013
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	15	23437561	101344124	44583	0.0015
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	16	603333	89317317	41076	0.002
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	17	1074619	82959812	37177	-0.0012
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	18	326691	79349796	42776	0.001
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	19	283868	58370362	24092	-0.0003
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	20	472817	63588502	37432	0.0005
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	21	13974127	46262057	20524	-0.0026
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	22	16934932	48940621	17020	-0.0007
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	X	3236359	31516000	12635	-0.0126
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	X	31516070	31518110	2	-2.3832
e1c27d9f-6f7b-41bf-bac2-c7ec78680af7	X	31518824	155677414	49985	-0.0057
