GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ef10e964-4667-4d5a-82b2-2844b2ece1a9	1	3301765	247650984	129688	0.0046
ef10e964-4667-4d5a-82b2-2844b2ece1a9	2	480597	241537572	132167	0.0075
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	2170634	101092274	54906	0.0041
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	101092641	101092756	2	-1.2508
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	101094478	116741757	8949	0.0023
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	116742603	117203898	414	-0.1553
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	117204170	118152844	658	0.0131
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	118153037	118153755	4	-1.0483
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	118158563	143578190	14154	0.0105
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	143578215	143585043	5	-0.7327
ef10e964-4667-4d5a-82b2-2844b2ece1a9	3	143585103	197812401	28023	0.0094
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	1059384	28168713	17059	0.0031
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	28170056	28170896	2	-1.2781
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	28175091	170254104	77450	0.0112
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	170254169	170254379	3	-1.1788
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	170254466	180580709	5679	0.0036
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	180582886	181496947	299	-0.1283
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	181500676	183314971	894	0.0078
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	183321228	183321324	2	-1.4866
ef10e964-4667-4d5a-82b2-2844b2ece1a9	4	183327209	187842528	2062	0.0071
ef10e964-4667-4d5a-82b2-2844b2ece1a9	5	914118	89087094	47522	0.0016
ef10e964-4667-4d5a-82b2-2844b2ece1a9	5	89087187	102624511	6257	-0.0365
ef10e964-4667-4d5a-82b2-2844b2ece1a9	5	102624726	111187595	4696	-0.0708
ef10e964-4667-4d5a-82b2-2844b2ece1a9	5	111188201	111188389	3	-1.1209
ef10e964-4667-4d5a-82b2-2844b2ece1a9	5	111190612	143828316	19374	-0.0688
ef10e964-4667-4d5a-82b2-2844b2ece1a9	5	143828485	165488495	13911	-0.0413
ef10e964-4667-4d5a-82b2-2844b2ece1a9	5	165491363	180934240	9306	-0.0082
ef10e964-4667-4d5a-82b2-2844b2ece1a9	6	1011760	133312926	74720	-0.0067
ef10e964-4667-4d5a-82b2-2844b2ece1a9	6	133315151	133315618	3	-1.3079
ef10e964-4667-4d5a-82b2-2844b2ece1a9	6	133318313	147949053	8895	-0.0079
ef10e964-4667-4d5a-82b2-2844b2ece1a9	6	147949068	147949084	3	-1.0322
ef10e964-4667-4d5a-82b2-2844b2ece1a9	6	147949126	170596889	13498	-0.0136
ef10e964-4667-4d5a-82b2-2844b2ece1a9	7	664936	158017089	81669	0.0069
ef10e964-4667-4d5a-82b2-2844b2ece1a9	7	158018409	158019256	3	-1.2449
