GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bfae7468-70d5-4411-aa91-d05c8663a567	1	3301765	18869731	8664	-0.125
bfae7468-70d5-4411-aa91-d05c8663a567	1	18872401	48061862	15330	-0.0849
bfae7468-70d5-4411-aa91-d05c8663a567	1	48064586	53995988	2962	-0.0362
bfae7468-70d5-4411-aa91-d05c8663a567	1	53996030	55048858	646	-0.0893
bfae7468-70d5-4411-aa91-d05c8663a567	1	55050064	56025105	761	0.0193
bfae7468-70d5-4411-aa91-d05c8663a567	1	56026064	65355481	6822	-0.0141
bfae7468-70d5-4411-aa91-d05c8663a567	1	65356699	83927926	10990	0.0296
bfae7468-70d5-4411-aa91-d05c8663a567	1	83930662	108807336	14473	-1.2472
bfae7468-70d5-4411-aa91-d05c8663a567	1	108807942	119816579	6693	-1.373
bfae7468-70d5-4411-aa91-d05c8663a567	1	119817520	119984772	102	-1.1539
bfae7468-70d5-4411-aa91-d05c8663a567	1	146716041	150288580	154	0.5403
bfae7468-70d5-4411-aa91-d05c8663a567	1	150290036	150891045	193	0.3079
bfae7468-70d5-4411-aa91-d05c8663a567	1	150893765	151007099	48	0.4663
bfae7468-70d5-4411-aa91-d05c8663a567	1	151007805	151979219	439	0.5837
bfae7468-70d5-4411-aa91-d05c8663a567	1	151979451	152772486	405	0.3237
bfae7468-70d5-4411-aa91-d05c8663a567	1	152774650	153067689	200	1.2548
bfae7468-70d5-4411-aa91-d05c8663a567	1	153068094	153160508	63	1.7683
bfae7468-70d5-4411-aa91-d05c8663a567	1	153161611	153181232	26	0.3793
bfae7468-70d5-4411-aa91-d05c8663a567	1	153187352	153412880	160	1.6969
bfae7468-70d5-4411-aa91-d05c8663a567	1	153414604	153614081	90	0.283
bfae7468-70d5-4411-aa91-d05c8663a567	1	153616299	153650036	19	1.1742
bfae7468-70d5-4411-aa91-d05c8663a567	1	153653450	153908533	79	0.2974
bfae7468-70d5-4411-aa91-d05c8663a567	1	153910253	153914817	6	0.8197
bfae7468-70d5-4411-aa91-d05c8663a567	1	153918335	154362941	183	1.0452
bfae7468-70d5-4411-aa91-d05c8663a567	1	154369831	154745432	208	1.5953
bfae7468-70d5-4411-aa91-d05c8663a567	1	154746302	154907910	119	1.8443
bfae7468-70d5-4411-aa91-d05c8663a567	1	154910068	154984186	33	1.0293
bfae7468-70d5-4411-aa91-d05c8663a567	1	154987406	155210675	82	0.1805
bfae7468-70d5-4411-aa91-d05c8663a567	1	155241876	155454274	116	0.4575
bfae7468-70d5-4411-aa91-d05c8663a567	1	155460853	155880767	162	1.6986
bfae7468-70d5-4411-aa91-d05c8663a567	1	155888005	155904432	14	0.5476
bfae7468-70d5-4411-aa91-d05c8663a567	1	155904777	156424283	215	0.4732
bfae7468-70d5-4411-aa91-d05c8663a567	1	156424339	158427806	1265	0.3384
bfae7468-70d5-4411-aa91-d05c8663a567	1	158437089	158595832	99	0.1522
