GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	1	3301765	247650984	129223	0.0018
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	2	480597	241537572	131818	0.0057
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	3	2170634	197812401	106824	0.0016
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	1059384	63075193	35043	-0.0004
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	63077449	63079851	2	-1.7071
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	63081111	66791521	1990	-0.0058
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	66791760	66793761	4	-1.3576
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	66795404	89654848	12903	0.0028
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	89655361	89682505	10	-0.9769
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	89685975	116464043	14839	-0.0013
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	116464510	116585820	71	-1.001
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	116590549	138189494	11244	-0.0031
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	138193375	138195629	2	-2.1594
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	4	138195858	187842528	27083	0.0015
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	5	913983	180934240	100788	-0.0011
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	6	1011760	6602530	4094	-0.0116
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	6	6605630	6605949	2	2.0646
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	6	6605994	170596889	92732	-0.0008
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	7	664936	19872483	9383	-0.0026
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	7	19872840	19878240	2	-1.8692
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	7	19884138	108532679	45631	-0.0022
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	7	108535897	108536531	2	-2.271
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	7	108539074	158592540	26691	0.0002
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	8	667625	22946159	12851	-0.001
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	8	22952420	22952985	2	-1.5163
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	8	22957124	144182542	69108	-0.0004
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	9	789794	138044505	68243	0.0025
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	10	366509	133411599	81026	0.0023
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	11	456012	101796971	55962	0.0003
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	11	101797335	101797599	2	-1.7086
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	11	101798089	134272740	21309	0.0026
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	12	780472	132605822	74100	-0.0006
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	13	18874255	114226675	56816	-0.0012
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	14	20033191	29254523	4504	0.0074
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	14	29258648	29259148	2	-1.9189
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	14	29262456	105533894	45101	0.0013
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	15	23437561	101344124	44647	0.0006
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	16	603333	26276315	11929	0.0068
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	16	26276745	26277250	2	-2.2181
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	16	26277929	89317317	29143	0.0006
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	17	1074619	3796825	1212	0.0113
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	17	3800910	3801189	2	-1.5954
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	17	3803211	69524460	29310	0.0014
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	17	69525358	69525400	2	-1.7729
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	17	69526232	75300872	3487	-0.0041
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	17	75301986	75312185	8	-0.8036
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	17	75314882	82959812	3152	0.0055
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	18	326691	79349796	42820	0.0028
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	19	283868	58370362	24094	0.0068
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	20	472817	63588502	37436	0.0013
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	21	13974127	46262057	20531	0.001
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	22	16934932	47857099	16061	0.0017
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	22	47858065	47859190	2	-1.692
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	22	47859980	48940621	970	0.0218
a4a6dd65-1ac0-4d15-b6a8-a3db7ac6e806	X	3236359	155677414	63216	0.0118
