GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	1	3301765	165685290	77402	0.0008
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	1	165685614	165685632	2	-1.5767
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	1	165686867	247650984	52125	0.0017
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	2	480597	241537572	132025	0.0021
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	3	2170634	197812401	107022	0.0035
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	4	1059384	187842528	103356	0.0017
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	5	913983	180934240	100953	0.0032
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	6	1011760	19027163	12757	0.0072
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	6	19028557	19033549	2	-1.5292
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	6	19036349	22430271	2395	0.0142
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	6	22431392	22431639	2	-1.6034
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	6	22431702	101588553	40962	0.002
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	6	101590007	101595411	3	-2.0031
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	6	101595549	170596889	40896	0.0065
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	7	664936	135559291	69730	0.0024
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	7	135563004	135563106	3	-1.2836
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	7	135569567	158592540	12089	0.0041
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	8	667625	144182542	82115	0.002
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	9	789794	138044505	68392	0.0004
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	10	366509	133411599	81204	0.001
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	11	456012	80132088	42457	0.0025
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	11	80140090	80140252	2	-1.4322
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	11	80143659	134272740	35006	0.0011
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	12	780472	16041444	8663	0.0011
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	12	16045119	16046410	3	-1.1543
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	12	16047618	132605822	65593	0.0014
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	13	18874255	84060458	37793	0.0035
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	13	84064922	84095416	18	-0.875
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	13	84101617	104357291	13029	0.0048
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	13	104358144	104358154	2	-1.2753
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	13	104359390	114226675	6070	0.0038
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	14	20033191	26294421	2981	-0.001
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	14	26300516	26300517	2	-1.8009
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	14	26300519	99690434	44139	0.0014
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	14	99691454	99694043	2	-1.5634
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	14	99696040	105533894	2586	0.0019
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	15	23437561	92141848	39156	-0.0026
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	15	92142136	92142601	2	-2.0574
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	15	92145751	101344124	5570	0.0006
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	16	603333	89317317	41156	-0.0018
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	17	1074619	79260172	35827	-0.0002
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	17	79260800	79260831	2	1.5756
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	17	79261041	79470107	147	-0.0329
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	17	79471697	79471877	2	0.9641
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	17	79476792	82959812	1268	0.0064
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	18	326691	75380967	40255	-0.0065
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	18	75381532	75382006	2	-1.691
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	18	75382132	79349796	2629	-0.0066
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	19	283868	58370362	24135	-0.0023
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	20	472817	61069423	36266	0.0006
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	20	61069706	61069725	2	-1.7055
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	20	61071453	63588502	1244	-0.0201
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	21	13974127	46262057	20570	-0.0007
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	22	16934932	33927511	7752	0.0032
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	22	33928898	34027431	99	0.5907
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	22	34028311	48940621	9218	-0.006
64072c6c-6fd5-4e9e-b01c-f0b23153ec1f	X	3236359	155677414	63684	0.006
