GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
48a73365-01db-4478-8783-f4e07aa4bec1	1	3301765	247650984	129376	0.0006
48a73365-01db-4478-8783-f4e07aa4bec1	2	480597	70716286	41686	0.0057
48a73365-01db-4478-8783-f4e07aa4bec1	2	70716497	70716577	2	-2.2904
48a73365-01db-4478-8783-f4e07aa4bec1	2	70716884	241537572	90151	0.0028
48a73365-01db-4478-8783-f4e07aa4bec1	3	2170634	197812401	106866	0.0029
48a73365-01db-4478-8783-f4e07aa4bec1	4	1059384	187842528	103199	-0.0002
48a73365-01db-4478-8783-f4e07aa4bec1	5	913983	21319473	12667	0.0105
48a73365-01db-4478-8783-f4e07aa4bec1	5	21319584	21319952	2	-1.8606
48a73365-01db-4478-8783-f4e07aa4bec1	5	21321035	180934240	88195	0.0061
48a73365-01db-4478-8783-f4e07aa4bec1	6	1011760	170596889	96888	0.0001
48a73365-01db-4478-8783-f4e07aa4bec1	7	664936	22431149	11248	-0.0011
48a73365-01db-4478-8783-f4e07aa4bec1	7	22431812	22435330	5	-1.6413
48a73365-01db-4478-8783-f4e07aa4bec1	7	22435855	75809445	26991	-0.0022
48a73365-01db-4478-8783-f4e07aa4bec1	7	75809462	75810378	2	-1.9477
48a73365-01db-4478-8783-f4e07aa4bec1	7	75812444	117522661	21468	-0.0014
48a73365-01db-4478-8783-f4e07aa4bec1	7	117522900	146181828	15433	-0.0263
48a73365-01db-4478-8783-f4e07aa4bec1	7	146186699	158592540	6563	0.0022
48a73365-01db-4478-8783-f4e07aa4bec1	8	667625	136497466	78453	0.0004
48a73365-01db-4478-8783-f4e07aa4bec1	8	136501819	136517270	15	0.6442
48a73365-01db-4478-8783-f4e07aa4bec1	8	136521154	144182542	3537	0.0014
48a73365-01db-4478-8783-f4e07aa4bec1	9	789794	138044505	68291	0.0017
48a73365-01db-4478-8783-f4e07aa4bec1	10	366509	28166868	19432	0.0012
48a73365-01db-4478-8783-f4e07aa4bec1	10	28169834	28177668	11	-1.1643
48a73365-01db-4478-8783-f4e07aa4bec1	10	28180145	133411599	61637	-0.001
48a73365-01db-4478-8783-f4e07aa4bec1	11	456012	134272740	77357	-0.0012
48a73365-01db-4478-8783-f4e07aa4bec1	12	780472	74404963	39887	0.004
48a73365-01db-4478-8783-f4e07aa4bec1	12	74405001	74412440	2	-1.7391
48a73365-01db-4478-8783-f4e07aa4bec1	12	74412886	132605822	34274	0.0045
48a73365-01db-4478-8783-f4e07aa4bec1	13	18874255	114226675	56794	-0.0016
48a73365-01db-4478-8783-f4e07aa4bec1	14	20033191	48219544	14515	0.0018
48a73365-01db-4478-8783-f4e07aa4bec1	14	48221122	48239831	11	-0.9674
48a73365-01db-4478-8783-f4e07aa4bec1	14	48241058	105533894	35112	-0.0003
48a73365-01db-4478-8783-f4e07aa4bec1	15	23437561	101344124	44671	-0.0003
48a73365-01db-4478-8783-f4e07aa4bec1	16	603333	89317317	41123	0.0006
48a73365-01db-4478-8783-f4e07aa4bec1	17	1074619	6830527	2896	-0.0006
48a73365-01db-4478-8783-f4e07aa4bec1	17	6833383	6835838	3	-1.2422
48a73365-01db-4478-8783-f4e07aa4bec1	17	6836195	16937892	5090	0.0004
48a73365-01db-4478-8783-f4e07aa4bec1	17	16945436	16946165	3	-1.4574
48a73365-01db-4478-8783-f4e07aa4bec1	17	16947824	82959812	29218	-0.0002
48a73365-01db-4478-8783-f4e07aa4bec1	18	326691	31012106	14145	-0.0033
48a73365-01db-4478-8783-f4e07aa4bec1	18	31012372	31013051	3	-1.5003
48a73365-01db-4478-8783-f4e07aa4bec1	18	31013666	32934740	1283	0.0019
48a73365-01db-4478-8783-f4e07aa4bec1	18	32938484	32943324	5	1.3162
48a73365-01db-4478-8783-f4e07aa4bec1	18	32943340	42351574	5649	0.0067
48a73365-01db-4478-8783-f4e07aa4bec1	18	42357227	42357824	10	-0.7004
48a73365-01db-4478-8783-f4e07aa4bec1	18	42360438	79349796	21736	0.0049
48a73365-01db-4478-8783-f4e07aa4bec1	19	283868	30793899	11332	0.0044
48a73365-01db-4478-8783-f4e07aa4bec1	19	30797211	30797633	2	1.426
48a73365-01db-4478-8783-f4e07aa4bec1	19	30799692	58370362	12787	0.0002
48a73365-01db-4478-8783-f4e07aa4bec1	20	472817	7608818	4399	0.0048
48a73365-01db-4478-8783-f4e07aa4bec1	20	7610358	7610614	3	-1.156
48a73365-01db-4478-8783-f4e07aa4bec1	20	7610730	15243080	4693	-0.0013
48a73365-01db-4478-8783-f4e07aa4bec1	20	15243099	15247649	2	-1.7984
48a73365-01db-4478-8783-f4e07aa4bec1	20	15248577	63588502	28398	0.0009
48a73365-01db-4478-8783-f4e07aa4bec1	21	13974127	17413915	2062	0.0001
48a73365-01db-4478-8783-f4e07aa4bec1	21	17414103	17414250	2	-1.3967
48a73365-01db-4478-8783-f4e07aa4bec1	21	17414403	46262057	18484	-0.0005
48a73365-01db-4478-8783-f4e07aa4bec1	22	16934932	48940621	17050	0.002
48a73365-01db-4478-8783-f4e07aa4bec1	X	3236359	124474442	49559	0.0079
48a73365-01db-4478-8783-f4e07aa4bec1	X	124474544	124477066	3	-1.3501
48a73365-01db-4478-8783-f4e07aa4bec1	X	124478772	155677414	13674	0.0104
