GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
377047a2-2510-4c52-b73d-6766bcf14a18	1	3301765	38917494	18911	-0.0094
377047a2-2510-4c52-b73d-6766bcf14a18	1	38919547	38933197	12	-0.8554
377047a2-2510-4c52-b73d-6766bcf14a18	1	38938879	115555470	45411	-0.0152
377047a2-2510-4c52-b73d-6766bcf14a18	1	115558926	115559835	2	-1.6978
377047a2-2510-4c52-b73d-6766bcf14a18	1	115560007	152778324	3968	-0.0133
377047a2-2510-4c52-b73d-6766bcf14a18	1	152806082	153198672	286	0.8754
377047a2-2510-4c52-b73d-6766bcf14a18	1	153198707	153393328	131	-0.0266
377047a2-2510-4c52-b73d-6766bcf14a18	1	153395544	153462879	35	0.8299
377047a2-2510-4c52-b73d-6766bcf14a18	1	153469638	156305279	1237	-0.0176
377047a2-2510-4c52-b73d-6766bcf14a18	1	156305490	156305517	2	-1.5114
377047a2-2510-4c52-b73d-6766bcf14a18	1	156306100	158150219	1136	-0.0141
377047a2-2510-4c52-b73d-6766bcf14a18	1	158151845	158154548	6	2.0719
377047a2-2510-4c52-b73d-6766bcf14a18	1	158157744	166098036	5441	-0.0167
377047a2-2510-4c52-b73d-6766bcf14a18	1	166106813	166137532	27	2.216
377047a2-2510-4c52-b73d-6766bcf14a18	1	166138130	166149659	19	1.6329
377047a2-2510-4c52-b73d-6766bcf14a18	1	166152081	166265455	53	-0.0026
377047a2-2510-4c52-b73d-6766bcf14a18	1	166265658	166305481	31	1.4597
377047a2-2510-4c52-b73d-6766bcf14a18	1	166306686	169839925	2597	-0.0106
377047a2-2510-4c52-b73d-6766bcf14a18	1	169845036	169859186	25	1.1655
377047a2-2510-4c52-b73d-6766bcf14a18	1	169860219	170210046	244	-0.0391
377047a2-2510-4c52-b73d-6766bcf14a18	1	170211946	170258399	44	1.0278
377047a2-2510-4c52-b73d-6766bcf14a18	1	170260077	170263732	5	0.5672
377047a2-2510-4c52-b73d-6766bcf14a18	1	170267836	170329817	56	0.184
377047a2-2510-4c52-b73d-6766bcf14a18	1	170329868	170373860	36	0.4985
377047a2-2510-4c52-b73d-6766bcf14a18	1	170373977	170525053	73	0.2711
377047a2-2510-4c52-b73d-6766bcf14a18	1	170529732	170622259	54	1.4577
377047a2-2510-4c52-b73d-6766bcf14a18	1	170624168	170659198	26	2.2366
377047a2-2510-4c52-b73d-6766bcf14a18	1	170663266	170719144	33	1.5712
377047a2-2510-4c52-b73d-6766bcf14a18	1	170726091	170844416	61	1.0515
377047a2-2510-4c52-b73d-6766bcf14a18	1	170854413	170899468	30	0.1631
377047a2-2510-4c52-b73d-6766bcf14a18	1	170901120	170940452	26	0.9129
