GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	3301765	3605560	130	0.3013
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	3619080	54977932	27535	0.3928
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	54977960	72892801	12220	0.4362
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	72894430	73384200	236	0.6103
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	73384917	75312760	1048	0.4384
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	75312861	95696727	12625	0.5305
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	95699010	97856823	1238	0.3689
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	97859232	97862942	2	-1
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	97864745	98905100	534	0.3574
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	98905209	99123940	180	0.523
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	99125258	99813047	507	0.3733
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	99819635	101303877	888	0.5557
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	101303900	102776206	872	0.3459
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	102778068	103801459	350	0.5518
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	103806896	103832848	14	0.3487
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	103833049	105558913	824	0.183
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	105559327	106036742	230	0.3915
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	106037061	156232382	11603	0.1812
5f38663f-a033-4cd1-9962-33b2c23c3f65	1	156236330	247650984	58624	-0.1285
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	480597	33311805	20005	0.1377
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	33311895	57597164	13903	0.161
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	57597196	62553305	2874	0.1361
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	62554166	137201063	35359	0.1687
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	137203313	192816651	31600	0.1858
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	192817768	193385005	167	-0.1251
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	193398954	199666998	2999	0.1887
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	199667086	220676224	12559	-0.1404
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	220676612	220706180	26	0.0509
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	220706413	221537331	593	0.4651
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	221537384	225973866	2896	0.1847
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	225975628	226062111	70	0.4547
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	226063237	227398322	809	0.211
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	227399542	227414894	7	-0.9038
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	227415950	229008710	968	-0.5429
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	229009882	233087936	2040	-0.626
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	233090259	233218143	66	-1.4602
5f38663f-a033-4cd1-9962-33b2c23c3f65	2	233220473	241537572	5189	-0.6128
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	2170634	4428485	1197	-0.1444
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	4429030	4747558	286	-0.2469
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	4749995	6105882	398	-0.1236
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	6107327	12814905	4549	0.1966
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	12818368	15269957	1600	0.1404
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	15270257	37621347	13258	0.1913
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	37621376	54226655	8652	0.1619
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	54227270	96474489	22567	0.1921
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	96475779	96524901	17	-0.5434
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	96533314	115750732	10647	0.181
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	115757375	116432135	482	-0.151
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	116433009	166785333	27293	0.1668
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	166786258	166794211	2	-1.4369
5f38663f-a033-4cd1-9962-33b2c23c3f65	3	166794791	197812401	16158	0.1604
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	1059384	47155792	27822	0.1831
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	47157853	51832470	523	0.3598
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	51832591	58765148	4412	0.1863
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	58766718	127378175	38352	-0.1365
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	127384607	127447230	29	-0.5706
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	127450678	141747713	7455	-0.1275
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	141752664	142072780	227	0.2434
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	142073067	148737953	3646	-0.1314
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	148744450	149027735	180	-0.6207
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	149028174	162525128	7697	-0.1248
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	162527625	163034025	297	-0.582
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	163034141	163040501	9	0.0829
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	163040786	172963719	5235	-0.5808
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	172964355	173200184	129	-0.1843
5f38663f-a033-4cd1-9962-33b2c23c3f65	4	173211432	181157671	4164	-0.5807
