GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
683f03cf-e897-4086-9edd-d0222b568ebe	1	3301765	247650984	128112	-0.0046
683f03cf-e897-4086-9edd-d0222b568ebe	2	480597	241537572	130597	0.0051
683f03cf-e897-4086-9edd-d0222b568ebe	3	2170634	197812401	105829	-0.0024
683f03cf-e897-4086-9edd-d0222b568ebe	4	1059384	177284897	97262	-0.002
683f03cf-e897-4086-9edd-d0222b568ebe	4	177285583	177293969	11	-1.0381
683f03cf-e897-4086-9edd-d0222b568ebe	4	177294109	187842528	4969	-0.0052
683f03cf-e897-4086-9edd-d0222b568ebe	5	913983	180934240	99891	-0.0031
683f03cf-e897-4086-9edd-d0222b568ebe	6	1011760	50701345	29593	-0.006
683f03cf-e897-4086-9edd-d0222b568ebe	6	50701583	50701698	2	-3.2836
683f03cf-e897-4086-9edd-d0222b568ebe	6	50702806	146799180	52281	0.0006
683f03cf-e897-4086-9edd-d0222b568ebe	6	146805810	146817093	3	-2.0318
683f03cf-e897-4086-9edd-d0222b568ebe	6	146819409	170596889	14033	-0.0058
683f03cf-e897-4086-9edd-d0222b568ebe	7	665647	158592540	80981	-0.0027
683f03cf-e897-4086-9edd-d0222b568ebe	8	667625	144182542	81224	-0.0046
683f03cf-e897-4086-9edd-d0222b568ebe	9	789794	138044505	67490	0
683f03cf-e897-4086-9edd-d0222b568ebe	10	366509	133411599	80233	-0.0039
683f03cf-e897-4086-9edd-d0222b568ebe	11	456012	134272740	76519	-0.0008
683f03cf-e897-4086-9edd-d0222b568ebe	12	780472	132605822	73425	-0.0032
683f03cf-e897-4086-9edd-d0222b568ebe	13	18874255	114226675	56237	-0.002
683f03cf-e897-4086-9edd-d0222b568ebe	14	20033191	91117474	40603	-0.0035
683f03cf-e897-4086-9edd-d0222b568ebe	14	91118660	91159734	20	-1.1194
683f03cf-e897-4086-9edd-d0222b568ebe	14	91161877	105533894	8508	-0.0035
683f03cf-e897-4086-9edd-d0222b568ebe	15	23437561	53638386	15751	-0.0038
683f03cf-e897-4086-9edd-d0222b568ebe	15	53639620	53642874	4	-2.1792
683f03cf-e897-4086-9edd-d0222b568ebe	15	53643170	64591037	7283	-0.0108
683f03cf-e897-4086-9edd-d0222b568ebe	15	64595846	64596044	2	-2.2518
683f03cf-e897-4086-9edd-d0222b568ebe	15	64598728	101344124	21154	-0.0083
683f03cf-e897-4086-9edd-d0222b568ebe	16	603333	8719497	3854	-0.0068
683f03cf-e897-4086-9edd-d0222b568ebe	16	8721143	8810322	97	0.5081
683f03cf-e897-4086-9edd-d0222b568ebe	16	8810423	89317317	36711	-0.0036
683f03cf-e897-4086-9edd-d0222b568ebe	17	1074619	82959812	36817	-0.0006
683f03cf-e897-4086-9edd-d0222b568ebe	18	326691	79349796	42408	0.0002
683f03cf-e897-4086-9edd-d0222b568ebe	19	283868	58370362	23906	-0.0007
683f03cf-e897-4086-9edd-d0222b568ebe	20	472817	63588502	37055	-0.0006
683f03cf-e897-4086-9edd-d0222b568ebe	21	13974127	46262057	20349	-0.0045
683f03cf-e897-4086-9edd-d0222b568ebe	22	16934932	48940621	16868	-0.0021
683f03cf-e897-4086-9edd-d0222b568ebe	X	3236359	155677414	63376	0.0011
