GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1d4063b5-378d-4782-bdc4-52115de1a25a	1	3301765	19628277	9156	0.0185
1d4063b5-378d-4782-bdc4-52115de1a25a	1	19629880	24457649	2671	0.0576
1d4063b5-378d-4782-bdc4-52115de1a25a	1	24458903	36401633	5833	0.0181
1d4063b5-378d-4782-bdc4-52115de1a25a	1	36407064	36407717	4	-0.8689
1d4063b5-378d-4782-bdc4-52115de1a25a	1	36408641	44816032	4774	0.0224
1d4063b5-378d-4782-bdc4-52115de1a25a	1	44823546	44824215	5	-0.7112
1d4063b5-378d-4782-bdc4-52115de1a25a	1	44826275	47986317	1573	0.0245
1d4063b5-378d-4782-bdc4-52115de1a25a	1	47991871	101178654	32985	-0.0015
1d4063b5-378d-4782-bdc4-52115de1a25a	1	101182772	101189736	2	-1.6634
1d4063b5-378d-4782-bdc4-52115de1a25a	1	101190114	107110011	3089	-0.0089
1d4063b5-378d-4782-bdc4-52115de1a25a	1	107110989	113224635	3755	0.0193
1d4063b5-378d-4782-bdc4-52115de1a25a	1	113225129	113231359	2	-1.2784
1d4063b5-378d-4782-bdc4-52115de1a25a	1	113231492	117873479	2964	0.0063
1d4063b5-378d-4782-bdc4-52115de1a25a	1	117875292	200991410	32487	0.291
1d4063b5-378d-4782-bdc4-52115de1a25a	1	200991758	207014061	3853	0.3228
1d4063b5-378d-4782-bdc4-52115de1a25a	1	207016229	222796762	10797	0.2833
1d4063b5-378d-4782-bdc4-52115de1a25a	1	222796835	230073882	4091	0.0162
1d4063b5-378d-4782-bdc4-52115de1a25a	1	230074043	230075498	2	-1.5316
1d4063b5-378d-4782-bdc4-52115de1a25a	1	230075651	233823659	2747	0.0112
1d4063b5-378d-4782-bdc4-52115de1a25a	1	233827424	233828272	2	-1.1925
1d4063b5-378d-4782-bdc4-52115de1a25a	1	233830577	234281877	377	0.0039
1d4063b5-378d-4782-bdc4-52115de1a25a	1	234284483	234284999	3	-1.6994
1d4063b5-378d-4782-bdc4-52115de1a25a	1	234290560	247650984	8437	0.0055
1d4063b5-378d-4782-bdc4-52115de1a25a	2	480597	4325115	1863	0.036
1d4063b5-378d-4782-bdc4-52115de1a25a	2	4325213	9706687	3836	0.0858
1d4063b5-378d-4782-bdc4-52115de1a25a	2	9709256	9719345	14	-0.9529
1d4063b5-378d-4782-bdc4-52115de1a25a	2	9723056	85504811	43971	0.0791
1d4063b5-378d-4782-bdc4-52115de1a25a	2	85506786	103612841	5251	-0.3459
1d4063b5-378d-4782-bdc4-52115de1a25a	2	103615307	103615394	2	-1.773
1d4063b5-378d-4782-bdc4-52115de1a25a	2	103615572	103818026	106	-0.3449
1d4063b5-378d-4782-bdc4-52115de1a25a	2	103818410	103820110	2	-1.7298
1d4063b5-378d-4782-bdc4-52115de1a25a	2	103820804	109235745	3310	-0.3605
1d4063b5-378d-4782-bdc4-52115de1a25a	2	109236250	109422977	156	0.0984
1d4063b5-378d-4782-bdc4-52115de1a25a	2	109425838	115173999	2396	-0.3495
1d4063b5-378d-4782-bdc4-52115de1a25a	2	115177276	115177406	2	-2.2903
1d4063b5-378d-4782-bdc4-52115de1a25a	2	115177662	121209676	3235	-0.3676
1d4063b5-378d-4782-bdc4-52115de1a25a	2	121210456	121210662	2	-1.8789
1d4063b5-378d-4782-bdc4-52115de1a25a	2	121210838	143934036	11588	-0.3651
1d4063b5-378d-4782-bdc4-52115de1a25a	2	143939546	144435759	234	0.6952
1d4063b5-378d-4782-bdc4-52115de1a25a	2	144439101	145681062	682	0.2763
1d4063b5-378d-4782-bdc4-52115de1a25a	2	145683700	145844450	104	0.6931
1d4063b5-378d-4782-bdc4-52115de1a25a	2	145846769	145883505	17	-0.3564
1d4063b5-378d-4782-bdc4-52115de1a25a	2	145886903	148772427	1413	0.0669
1d4063b5-378d-4782-bdc4-52115de1a25a	2	148772989	203625974	30627	0.0101
1d4063b5-378d-4782-bdc4-52115de1a25a	2	203626533	203961501	207	-0.3749
1d4063b5-378d-4782-bdc4-52115de1a25a	2	203964079	215453627	7029	0.0066
1d4063b5-378d-4782-bdc4-52115de1a25a	2	215459711	215517789	35	-0.3686
1d4063b5-378d-4782-bdc4-52115de1a25a	2	215521774	215577474	46	0.0626
1d4063b5-378d-4782-bdc4-52115de1a25a	2	215585932	221606293	3902	-0.3491
1d4063b5-378d-4782-bdc4-52115de1a25a	2	221606740	221606796	2	1.7153
1d4063b5-378d-4782-bdc4-52115de1a25a	2	221607842	239800034	11007	-0.3675
1d4063b5-378d-4782-bdc4-52115de1a25a	2	239801005	239801126	2	-2.7794
1d4063b5-378d-4782-bdc4-52115de1a25a	2	239801248	241537572	942	-0.4049
1d4063b5-378d-4782-bdc4-52115de1a25a	3	2170634	9679539	4398	0.2679
1d4063b5-378d-4782-bdc4-52115de1a25a	3	9680882	11038483	868	0.3374
1d4063b5-378d-4782-bdc4-52115de1a25a	3	11042563	12736593	1111	0.2719
1d4063b5-378d-4782-bdc4-52115de1a25a	3	12740926	14969608	1473	0.3247
1d4063b5-378d-4782-bdc4-52115de1a25a	3	14970772	66684957	30062	0.2782
1d4063b5-378d-4782-bdc4-52115de1a25a	3	66685142	70324319	2587	0.5057
1d4063b5-378d-4782-bdc4-52115de1a25a	3	70324351	74465825	2936	0.5336
1d4063b5-378d-4782-bdc4-52115de1a25a	3	74465952	91390926	7814	0.4971
1d4063b5-378d-4782-bdc4-52115de1a25a	3	91462299	106894684	6973	-0.0168
1d4063b5-378d-4782-bdc4-52115de1a25a	3	106894814	106894895	2	-1.9313
1d4063b5-378d-4782-bdc4-52115de1a25a	3	106897058	109937633	1520	-0.0349
1d4063b5-378d-4782-bdc4-52115de1a25a	3	109941382	130176612	11772	-0.0088
1d4063b5-378d-4782-bdc4-52115de1a25a	3	130202376	164008569	18266	-0.03
1d4063b5-378d-4782-bdc4-52115de1a25a	3	164008570	164009675	2	-1.8653
1d4063b5-378d-4782-bdc4-52115de1a25a	3	164010791	191478992	14584	-0.0258
1d4063b5-378d-4782-bdc4-52115de1a25a	3	191480948	191481194	2	-1.7872
1d4063b5-378d-4782-bdc4-52115de1a25a	3	191481271	197812401	2686	-0.0291
1d4063b5-378d-4782-bdc4-52115de1a25a	4	1059384	10447089	4939	0.3262
