GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	1	3301765	240655348	125991	-0.0001
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	1	240657216	240657773	3	-1.1551
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	1	240662000	247650984	3800	0.007
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	2	480597	241537572	132248	0.0093
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	3	2170634	21345010	11414	0.0055
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	3	21347754	21349507	6	-1.03
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	3	21354662	81224833	35490	0.0035
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	3	81232878	81234596	4	-1.0929
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	3	81235122	197812401	60296	0.0041
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	4	1059384	143481311	79733	0.0002
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	4	143482614	143483560	2	-1.4105
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	4	143485784	187842528	23801	0.0006
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	5	913983	180934240	101157	0.0026
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	6	1011760	97937672	54016	0.0026
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	6	97940245	97947329	5	-1.0733
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	6	97949245	135014291	21895	0.0022
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	6	135021116	135022100	2	-1.0762
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	6	135028432	135383608	314	0.0183
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	6	135387183	135387948	2	-1.1148
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	6	135387991	170596889	20963	0.0038
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	7	664936	158592540	81957	0.0006
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	8	667625	27156061	15825	-0.001
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	8	27157158	27158246	2	-1.1804
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	8	27158648	113027662	46859	0.0012
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	8	113028312	113032421	3	-0.9403
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	8	113036167	144182542	19569	0.0027
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	9	789794	138044505	68508	0.001
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	10	366509	132471899	81088	0.0018
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	10	132473426	132473842	2	-1.2922
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	10	132477040	133411599	229	-0.0246
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	11	456012	69772815	36730	0.0003
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	11	69778046	69778408	2	-1.28
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	11	69779237	134272740	40878	0.0023
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	12	780472	14277104	7698	0.0006
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	12	14280831	14304950	12	-0.9146
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	12	14308109	132605822	66673	-0.0004
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	13	18874255	111392688	55762	0.0008
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	13	111392695	111394747	3	-2.9942
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	13	111395049	114226675	1241	-0.0106
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	14	20033191	21267445	727	0.0124
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	14	21268836	21268877	2	-1.147
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	14	21270290	46121707	12653	-0.0037
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	14	46122855	46122974	2	-2.6115
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	14	46123697	105533894	36417	-0.0017
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	15	23437561	101344124	44799	-0.0002
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	16	603333	89317317	41225	-0.0014
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	17	1074619	82959812	37287	-0.0034
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	18	326691	79349796	42976	-0.0029
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	19	283868	58370362	24158	-0.0038
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	20	472817	62449767	37187	0.0001
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	20	62463266	62464287	2	-2.1066
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	20	62465895	63588502	374	0.0071
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	21	13974127	46262057	20598	-0.0038
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	22	16934932	48940621	17093	-0.0064
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	X	3236359	15085875	4801	-0.0009
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	X	15094658	15095451	3	-1.0443
3eeaf689-9b3b-4eeb-9fbd-29cb564373c6	X	15098446	155677414	59190	0.0012
