GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	1	3301765	247650984	129063	0.0022
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	2	480597	63811222	37188	0.0044
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	2	63827643	63902536	31	-0.9465
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	2	63904712	221606293	82492	0.0024
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	2	221606740	221606796	2	-1.8756
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	2	221607842	241537572	11969	-0.0002
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	2170634	3053473	379	0.0106
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	3054927	3055243	2	-1.1321
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	3056126	3627702	524	0.0152
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	3631924	3631939	2	-1.7686
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	3631957	38799892	21064	0.0064
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	38803890	38807492	7	-1.0208
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	38808189	64034771	13695	0.0045
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	64037327	64045562	2	-2.3511
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	3	64046547	197812401	71057	0.0028
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	4	1059384	30078074	18222	-0.0022
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	4	30081582	30321369	134	-0.9769
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	4	30322332	60461461	15295	0.0042
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	4	60464276	60465899	2	1.4156
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	4	60469846	187842528	69455	0.0018
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	913983	8434605	5389	-0.0051
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	8434970	8444778	10	-1.2513
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	8444854	77761801	35729	0.0029
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	77761982	77774938	4	-1.3074
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	77775422	133696442	30578	0.0049
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	133696523	133698504	2	-1.7929
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	133702051	151513403	10790	-0.0028
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	151514032	151514079	2	-1.8654
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	151514872	168598184	11137	0.0007
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	168598419	168603133	5	-1.2553
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	5	168603235	180934240	7054	0.0029
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	6	1011760	170596889	96725	0.0015
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	7	664936	158592540	81637	0.0022
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	8	667625	144182542	81881	0.0027
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	9	789794	138044505	68164	0.0004
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	10	366509	53377601	31513	0.0022
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	10	53377685	53382341	3	-1.8315
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	10	53382403	83665176	18168	0.0035
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	10	83665935	83665947	2	-3.3421
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	10	83666173	93641190	6135	-0.0031
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	10	93643216	93645904	3	-1.279
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	10	93646882	133411599	25101	-0.0025
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	11	456012	134272740	77208	0.0012
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	12	780472	132605822	74017	-0.0006
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	13	18874255	74140206	31540	0.0006
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	13	74143982	74146894	5	-1.4388
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	13	74148249	86645426	7656	0.0055
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	13	86652283	86668201	15	0.5953
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	13	86675619	114226675	17554	0.0008
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	14	20033191	105533894	49551	-0.0022
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	23437561	62974005	22371	-0.0011
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	62975737	62976901	2	-2.8311
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	62978503	70741674	4629	-0.0018
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	70741805	70741906	3	1.2285
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	70741930	90094218	10711	-0.0001
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	90100372	90117127	13	0.4876
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	90120127	97834400	4976	0.0031
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	97834414	97834682	2	-1.5616
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	15	97836887	101344124	1912	-0.0115
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	16	603333	89317317	41034	-0.0017
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	17	1074619	82959812	37120	-0.0025
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	18	326691	79349796	42782	0.002
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	19	283868	58370362	24077	-0.004
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	20	472817	24655446	16203	0.0012
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	20	24657878	24674563	17	0.5387
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	20	24679661	63588502	21172	-0.0006
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	21	13974127	46262057	20514	-0.0059
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	22	16934932	48940621	17009	-0.0069
4a230fe6-9aff-4b0f-a052-42b337fe3f6a	X	3236359	155677414	62902	-0.0074
