GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2a1af1a0-e321-4d5d-937b-013a4faef870	1	3301765	17699069	7700	-0.5641
2a1af1a0-e321-4d5d-937b-013a4faef870	1	17699509	40734483	12260	0.1613
2a1af1a0-e321-4d5d-937b-013a4faef870	1	40734716	68396177	17445	0.141
2a1af1a0-e321-4d5d-937b-013a4faef870	1	68396879	69344050	512	0.0928
2a1af1a0-e321-4d5d-937b-013a4faef870	1	69345301	69355319	2	-1.2407
2a1af1a0-e321-4d5d-937b-013a4faef870	1	69355464	75629613	3317	0.0784
2a1af1a0-e321-4d5d-937b-013a4faef870	1	75630672	79202141	2075	0.1217
2a1af1a0-e321-4d5d-937b-013a4faef870	1	79205372	82780719	2249	0.0687
2a1af1a0-e321-4d5d-937b-013a4faef870	1	82780793	95421509	7933	0.1148
2a1af1a0-e321-4d5d-937b-013a4faef870	1	95421931	101558561	3730	0.0723
2a1af1a0-e321-4d5d-937b-013a4faef870	1	101561350	106391079	2333	0.0302
2a1af1a0-e321-4d5d-937b-013a4faef870	1	106391157	108966971	1549	0.0861
2a1af1a0-e321-4d5d-937b-013a4faef870	1	108967030	119818718	6750	0.1163
2a1af1a0-e321-4d5d-937b-013a4faef870	1	119822896	158357149	4336	0.1493
2a1af1a0-e321-4d5d-937b-013a4faef870	1	158357604	159147900	517	0.0943
2a1af1a0-e321-4d5d-937b-013a4faef870	1	159153703	159154651	3	-2.0661
2a1af1a0-e321-4d5d-937b-013a4faef870	1	159159789	169899899	7749	0.1334
2a1af1a0-e321-4d5d-937b-013a4faef870	1	169899910	169907720	10	-0.485
2a1af1a0-e321-4d5d-937b-013a4faef870	1	169907853	185570010	9699	0.1353
2a1af1a0-e321-4d5d-937b-013a4faef870	1	185570711	187006969	853	0.1019
2a1af1a0-e321-4d5d-937b-013a4faef870	1	187010274	196983282	5782	0.0571
2a1af1a0-e321-4d5d-937b-013a4faef870	1	196986769	200203164	1917	0.1021
2a1af1a0-e321-4d5d-937b-013a4faef870	1	200204118	214572666	9602	0.1462
2a1af1a0-e321-4d5d-937b-013a4faef870	1	214573564	219845977	3636	0.0828
2a1af1a0-e321-4d5d-937b-013a4faef870	1	219852057	237194933	11002	0.1435
