GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	3301765	101526666	57211	0.1839
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	101526916	101526951	2	-2.1117
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	101527114	113208595	6560	0.1801
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	113208823	113209018	2	1.7873
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	113209037	119984772	4189	0.1824
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	146716041	150768248	306	0.8368
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	150768299	150798513	2	2.1594
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	150802958	158544421	4067	0.8632
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	158544436	158545233	10	0.3135
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	158545295	161774856	1855	0.838
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	161776364	238801998	50042	0.8778
3903a036-c105-4a8b-a571-ae0bdec6b69b	1	238804816	247650984	5177	0.8395
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	480597	18918689	12018	-0.1003
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	18919100	51431426	18617	-0.6062
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	51431817	53989842	1384	-0.0946
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	53989913	57141437	1580	-0.5832
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	57142487	59880234	1654	-0.1145
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	59884961	59885090	2	-1.9524
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	59885416	65761147	3104	-0.1172
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	65767752	80266998	8352	-0.6065
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	80267587	83545946	1748	-0.1121
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	83550740	84435629	536	0.2383
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	84437961	86881088	1202	-0.1113
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	87894092	88831554	426	0.2594
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	94675825	216551280	66006	-0.5976
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	216552139	216561214	6	-5.7198
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	216562627	231299776	9142	-0.6062
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	231300350	235176788	2210	-1.4987
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	235176921	235319926	118	-4.6616
3903a036-c105-4a8b-a571-ae0bdec6b69b	2	235323980	241537572	3610	-1.5822
3903a036-c105-4a8b-a571-ae0bdec6b69b	3	2170634	197812401	106967	0.1839
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	1059384	15754282	8906	-0.1382
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	15754647	21493057	3778	-0.121
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	21493358	21493372	2	-1.359
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	21495655	44680839	13894	-0.1169
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	44681647	54319800	3285	-0.1412
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	54324164	54324730	2	-1.5538
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	54327180	77292912	12649	-0.1289
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	77293445	77473667	170	-0.6161
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	77478609	111291050	19220	-0.1288
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	111291686	111295645	2	-1.4282
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	111296654	152894748	22489	-0.1207
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	152897340	152897349	2	-1.8291
3903a036-c105-4a8b-a571-ae0bdec6b69b	4	152897763	187842528	18860	-0.1238
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	913983	18053973	11053	0.5023
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	18053997	24692459	3407	0.4556
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	24694041	24777997	54	0.6824
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	24786817	27060736	1203	0.4433
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	27072143	27295045	98	0.4885
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	27297991	27493209	107	0.6997
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	27497223	27795982	129	0.4839
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	27800347	31816404	2521	0.6949
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	31818841	32007607	128	0.4611
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	32010188	114912690	42274	0.7103
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	114915032	114924417	2	-0.7735
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	114926095	115265833	201	0.7159
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	115267735	115575868	217	0.5051
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	115576666	123651677	4614	0.7111
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	123652104	123657228	7	0.1544
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	123661332	124864635	747	0.712
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	124869692	124869745	2	-0.6006
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	124870836	127116684	1336	0.7198
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	127118336	127122625	6	-0.0721
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	127127947	138869358	6912	0.713
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	138871484	139243663	178	0.4867
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	139248002	164773278	15972	0.7083
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	164773306	165798250	627	0.4607
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	165798631	180901809	9096	0.7173
3903a036-c105-4a8b-a571-ae0bdec6b69b	5	180902359	180934240	14	0.4107
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	1011760	9438052	6124	-0.7259
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	9438270	106855080	53013	0.1811
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	106988904	107051838	35	-0.6591
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	107057045	107065111	12	-0.3013
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	107067300	130427968	13447	0.1895
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	130429630	130700667	197	-0.1171
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	130707926	155198754	15713	0.1866
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	155198824	167930914	7571	0.2079
3903a036-c105-4a8b-a571-ae0bdec6b69b	6	167931668	170596889	801	-0.1429
3903a036-c105-4a8b-a571-ae0bdec6b69b	7	664936	53184164	31397	-0.1588
3903a036-c105-4a8b-a571-ae0bdec6b69b	7	53188370	57876479	2115	0.1919
3903a036-c105-4a8b-a571-ae0bdec6b69b	7	63672748	137590684	37495	-0.1645
3903a036-c105-4a8b-a571-ae0bdec6b69b	7	137593294	138618282	556	0.1591
3903a036-c105-4a8b-a571-ae0bdec6b69b	7	138619789	158592540	10221	-0.1668
3903a036-c105-4a8b-a571-ae0bdec6b69b	8	667625	980559	166	-0.169
3903a036-c105-4a8b-a571-ae0bdec6b69b	8	1258082	144182542	81900	0.2089
3903a036-c105-4a8b-a571-ae0bdec6b69b	9	789794	2481455	1088	0.4945
3903a036-c105-4a8b-a571-ae0bdec6b69b	9	2481651	2481683	2	1.9945
3903a036-c105-4a8b-a571-ae0bdec6b69b	9	2483527	10960675	5079	0.4825
3903a036-c105-4a8b-a571-ae0bdec6b69b	9	11001584	138044505	62080	-0.6622
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	366509	3677226	1799	-0.183
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	3681417	3687050	9	-1.3311
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	3687859	20010227	12445	-0.1862
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	20010893	58803302	20253	0.1862
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	58803618	60360125	1212	-0.1523
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	60363288	69435858	5187	0.191
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	69437219	69439138	2	1.4358
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	69439238	72151337	1939	0.2006
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	72152877	76156732	1919	0.1425
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	76156850	77457081	1050	-0.2197
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	77457289	77723368	196	0.1975
3903a036-c105-4a8b-a571-ae0bdec6b69b	10	77730512	133411599	35108	-0.1834
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	456012	12603348	7301	-0.182
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	12603680	12603855	2	-2.6944
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	12609110	36889109	16319	-0.1737
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	36889512	36889696	2	-1.897
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	36889992	40599665	1798	-0.1972
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	40601036	40601826	3	-2.2041
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	40608583	89533501	22763	-0.1809
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	89537726	89542544	6	-1.9761
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	89542710	133817679	29034	-0.1736
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	133818028	133818114	2	-1.4917
3903a036-c105-4a8b-a571-ae0bdec6b69b	11	133820324	134272740	152	-0.1913
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	780472	33368216	19661	-0.6608
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	38827290	54775892	8589	0.1951
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	54775954	61900030	4075	-0.1557
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	61900634	61901088	2	1.1161
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	61907216	68804332	4373	-0.1629
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	68805427	85302787	10014	0.1949
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	85308593	92701353	4284	-1.3893
3903a036-c105-4a8b-a571-ae0bdec6b69b	12	92704669	132605822	23137	-0.1601
3903a036-c105-4a8b-a571-ae0bdec6b69b	13	18874255	53221110	20725	-0.6568
3903a036-c105-4a8b-a571-ae0bdec6b69b	13	53225853	102247865	28342	-0.6335
3903a036-c105-4a8b-a571-ae0bdec6b69b	13	102248279	105995510	2422	-0.6554
3903a036-c105-4a8b-a571-ae0bdec6b69b	13	105997272	105998336	5	-1.7247
3903a036-c105-4a8b-a571-ae0bdec6b69b	13	105998395	108601929	1964	-0.6695
3903a036-c105-4a8b-a571-ae0bdec6b69b	13	108602984	108603090	2	-3.6054
3903a036-c105-4a8b-a571-ae0bdec6b69b	13	108605878	114226675	3332	-0.6396
3903a036-c105-4a8b-a571-ae0bdec6b69b	14	20033191	64081414	24364	0.2231
3903a036-c105-4a8b-a571-ae0bdec6b69b	14	64083067	98769696	22179	0.1931
3903a036-c105-4a8b-a571-ae0bdec6b69b	14	98771436	99925628	729	0.2282
3903a036-c105-4a8b-a571-ae0bdec6b69b	14	99929486	99950723	13	0.7477
3903a036-c105-4a8b-a571-ae0bdec6b69b	14	99952762	105533894	2407	0.2082
3903a036-c105-4a8b-a571-ae0bdec6b69b	15	23437561	101344124	44700	0.1966
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	603333	2943025	627	0.2166
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	2943374	2943609	2	1.3968
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	2947254	31841585	13385	0.1999
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	46470502	48222573	728	-0.1923
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	48224137	48509973	150	0.1903
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	48515099	85961118	24376	-0.1687
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	85962689	85963675	2	-2.308
3903a036-c105-4a8b-a571-ae0bdec6b69b	16	85966386	89317317	1852	-0.1399
3903a036-c105-4a8b-a571-ae0bdec6b69b	17	1074619	26943774	9726	0.1864
3903a036-c105-4a8b-a571-ae0bdec6b69b	17	26947350	33274028	2986	-0.1861
3903a036-c105-4a8b-a571-ae0bdec6b69b	17	33280392	33280435	2	-2.1936
3903a036-c105-4a8b-a571-ae0bdec6b69b	17	33280852	82959812	24499	-0.1763
3903a036-c105-4a8b-a571-ae0bdec6b69b	18	326691	14366664	8194	0.2132
3903a036-c105-4a8b-a571-ae0bdec6b69b	18	14371644	58243225	23223	0.1885
3903a036-c105-4a8b-a571-ae0bdec6b69b	18	58246336	62667694	2845	0.2192
3903a036-c105-4a8b-a571-ae0bdec6b69b	18	62671352	74538283	5412	0.1889
3903a036-c105-4a8b-a571-ae0bdec6b69b	18	74540552	79349796	3207	0.2111
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	283868	1023868	122	0.7522
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	1025305	1033299	6	-0.2018
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	1038223	2668613	367	0.7285
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	2676781	22704361	7890	0.4609
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	22705014	28564831	1307	0.1763
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	28567026	30607202	1526	-0.1858
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	30609318	56285349	11697	-0.6626
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	56286791	56288833	4	-4.2637
3903a036-c105-4a8b-a571-ae0bdec6b69b	19	56289056	58370362	1180	-0.6691
3903a036-c105-4a8b-a571-ae0bdec6b69b	20	472817	58397877	34166	0.1954
3903a036-c105-4a8b-a571-ae0bdec6b69b	20	58401253	63588502	3313	0.1307
3903a036-c105-4a8b-a571-ae0bdec6b69b	21	13974127	46262057	20553	0.2046
3903a036-c105-4a8b-a571-ae0bdec6b69b	22	16934932	48940621	17067	0.1962
3903a036-c105-4a8b-a571-ae0bdec6b69b	X	3236359	50772588	21186	0.0089
3903a036-c105-4a8b-a571-ae0bdec6b69b	X	50772693	50774301	2	3.2077
3903a036-c105-4a8b-a571-ae0bdec6b69b	X	50774547	66412304	3909	-0.0431
3903a036-c105-4a8b-a571-ae0bdec6b69b	X	66412388	66412488	2	3.5048
