GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	3302046	5714614	1727	-0.6909
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	5714816	13807659	3844	-0.6444
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	13809222	13809941	2	-3.0885
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	13810426	26338987	7045	-0.6543
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	26339111	29241271	1068	-0.5734
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	29245159	55297029	14062	-0.652
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	55297327	89613475	22132	-0.7169
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	89613770	89791482	126	0.0609
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	89794068	97534231	4658	-0.7074
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	97538956	97608577	45	0.0623
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	97612489	99412898	1046	-0.7155
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	99413289	99518202	71	0.0411
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	99519177	104409553	2652	-0.707
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	104411261	105063500	285	0.0677
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	105069720	105113991	10	-0.7208
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	105114004	105130501	12	0.0301
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	105131547	106961507	1060	-0.7082
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	106972182	108597621	960	0.0545
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	108597978	109633358	498	-0.666
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	109714002	111579584	1274	0.0941
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	111581516	111691267	52	-0.7047
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	111691954	111736933	30	0.0059
2a38dd75-f4b4-4178-ba47-ebb2ef8551bd	1	111743687	111750084	10	-0.9839
