Sample ID	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22
TCGA-3B-A9HU-01A	1.4975	2.8333	0.0	3.4675	1.5618	2.172	3.7753	1.4014	0.0	1.0623	2.283	7.8527	13.4098	0.0	0.0	3.8074	4.887	1.6188	3.1102	0.0	3.0663	1.3537
TCGA-PC-A5DN-01A	6.048	0.0	4.4475	3.002	0.0	329.5199	3.5224	3.8816	3.5489	0.0	6.9221	1105.4394	0.0	0.0	1.5371	0.0	5.1227	0.0	0.0	1.8317	2.2969	0.0
TCGA-MJ-A68H-01A	14.3149	23.7916	12.7317	19.49	12.0334	7.2251	2.3044	4.0443	4.741	16.0582	1.7899	5.8412	2.8582	9.9085	2.5123	17.7379	0.0	5.9985	12.8214	0.0	2.4272	6.029
TCGA-QQ-A5VC-01A	28.1012	21.2345	6.506	18.6683	27.0637	96.9339	19.0361	52.8928	38.1195	9.9048	53.7303	18.3892	28.9358	19.5705	13.0856	8.1967	10.2566	7.8385	5.4034	4.4344	23.155	0.0
TCGA-DX-A3U7-01A	12.1603	105.1236	6.5841	13.7186	3.7391	3.8453	5.053	8.7548	6.9283	20.1034	19.7243	6.1194	4.2484	17.7572	6.6351	4.821	2.5763	64.977	28.2993	7.261	25.8578	7.0116
TCGA-DX-A48O-01A	22.3682	9.2024	6.0394	4.7629	2.9241	5.9117	6.2111	7.6746	3.778	4.163	3.2093	3.9399	9.8574	0.7779	1.1022	4.9563	11.8148	4.2979	9.6234	3.0028	1.2799	2.7132
TCGA-3B-A9HZ-01A	2.932	3.4584	1.1262	4.8429	0.842	9.8829	1.1406	0.0	1.5648	6.6138	2.1033	1.6578	4.7832	1.2531	10.4863	0.5758	2.9934	1.1896	1.8042	1.1234	0.0	1.119
TCGA-K1-A3PO-01A	1.8934	0.7116	2.0855	0.0	1.3345	1.6376	0.0	0.0	1.1896	0.0	1.1405	0.0	0.7806	0.0	1.1461	0.0	0.0	0.0	2.2641	1.6046	0.0	0.0
TCGA-DX-A6B9-01A	6.6974	15.2232	0.0	5.1892	0.0	0.7475	0.0	0.7126	0.0	16.987	4.0337	3.7299	1.8364	0.0	1.1218	4.3925	6.1236	9.7565	20.8788	0.0	0.0	0.0
TCGA-X6-A7WD-01A	10.997	5.3203	1.7472	10.7231	9.1247	7.4877	1.2171	5.4468	4.6928	44.7023	5.5184	2.5958	0.694	1.7644	0.9361	2.0527	20.1907	7.9286	5.1169	0.0	0.6551	0.0
TCGA-IE-A3OV-01A	11.8185	32.7472	11.4884	5.7163	7.9882	12.7469	1.933	8.2525	27.3487	3.3656	0.5416	1.73	25.9635	9.101	1.4282	7.5115	56.1757	10.6101	16.8793	2.6525	0.912	2.9181
