GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
980b26cd-21a6-4517-826c-71f21874bfb1	1	3301765	18269534	8233	-0.1119
980b26cd-21a6-4517-826c-71f21874bfb1	1	18270638	36418345	9437	0.0907
980b26cd-21a6-4517-826c-71f21874bfb1	1	36422937	40371809	2171	-0.1016
980b26cd-21a6-4517-826c-71f21874bfb1	1	40372964	43088980	1617	-0.3297
980b26cd-21a6-4517-826c-71f21874bfb1	1	43093757	55321740	6404	-0.0728
980b26cd-21a6-4517-826c-71f21874bfb1	1	55322085	56638292	1041	0.2961
980b26cd-21a6-4517-826c-71f21874bfb1	1	56644278	58141919	1298	0.1481
980b26cd-21a6-4517-826c-71f21874bfb1	1	58141994	73863825	10148	-0.0656
980b26cd-21a6-4517-826c-71f21874bfb1	1	73864566	73921975	50	0.374
980b26cd-21a6-4517-826c-71f21874bfb1	1	73923205	240655348	85214	-0.0721
980b26cd-21a6-4517-826c-71f21874bfb1	1	240657216	240657773	3	-2.6263
980b26cd-21a6-4517-826c-71f21874bfb1	1	240662000	247650984	3788	-0.0742
980b26cd-21a6-4517-826c-71f21874bfb1	2	480597	47487538	28497	-0.0697
980b26cd-21a6-4517-826c-71f21874bfb1	2	47493281	69182882	12235	-0.0327
980b26cd-21a6-4517-826c-71f21874bfb1	2	69186808	131672061	28228	-0.0678
980b26cd-21a6-4517-826c-71f21874bfb1	2	131674651	227938638	55020	-0.0558
980b26cd-21a6-4517-826c-71f21874bfb1	2	227938921	228102344	116	-0.0867
980b26cd-21a6-4517-826c-71f21874bfb1	2	228104450	228106326	2	-1.4078
980b26cd-21a6-4517-826c-71f21874bfb1	2	228106362	234783051	3794	-0.08
980b26cd-21a6-4517-826c-71f21874bfb1	2	234783831	234820511	39	-0.3677
980b26cd-21a6-4517-826c-71f21874bfb1	2	234820586	235594357	489	-0.0949
980b26cd-21a6-4517-826c-71f21874bfb1	2	235594686	236953839	900	-0.3348
980b26cd-21a6-4517-826c-71f21874bfb1	2	236956338	241537572	2594	-0.0911
980b26cd-21a6-4517-826c-71f21874bfb1	3	2170634	2323933	129	0.8054
980b26cd-21a6-4517-826c-71f21874bfb1	3	2780268	3216204	347	0.3805
980b26cd-21a6-4517-826c-71f21874bfb1	3	3216718	11052147	4789	0.5055
980b26cd-21a6-4517-826c-71f21874bfb1	3	11054444	11066468	8	0.2693
980b26cd-21a6-4517-826c-71f21874bfb1	3	11088334	25195905	8334	0.6354
980b26cd-21a6-4517-826c-71f21874bfb1	3	25199704	47821089	13435	-0.0708
980b26cd-21a6-4517-826c-71f21874bfb1	3	47825983	48043041	85	0.2109
980b26cd-21a6-4517-826c-71f21874bfb1	3	48045408	57794347	5221	-0.0861
980b26cd-21a6-4517-826c-71f21874bfb1	3	57796455	58182679	214	0.656
980b26cd-21a6-4517-826c-71f21874bfb1	3	58183745	118473272	32455	-0.071
980b26cd-21a6-4517-826c-71f21874bfb1	3	118473396	118529733	41	0.4026
980b26cd-21a6-4517-826c-71f21874bfb1	3	118530269	135306608	9685	-0.079
980b26cd-21a6-4517-826c-71f21874bfb1	3	135307320	138490502	1502	0.6323
980b26cd-21a6-4517-826c-71f21874bfb1	3	138490718	188076590	25686	-0.0686
980b26cd-21a6-4517-826c-71f21874bfb1	3	188076971	188229356	121	0.146
