GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	1	3301765	119984772	68019	-0.0247
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	1	146716041	239090306	56567	0.5356
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	1	239091110	239092087	2	-1.192
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	1	239095100	247650984	4997	0.5354
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	2	480597	241537572	132076	-0.0175
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	3	2170634	197812401	107063	-0.0192
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	4	1059384	187842528	103395	-0.0193
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	5	913983	180934240	101002	-0.0215
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	6	1011760	170596889	97068	-0.0199
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	7	664936	158592540	81856	-0.0192
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	8	667625	115620954	63890	-0.018
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	8	115621472	115621500	2	-1.6747
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	8	115623384	128729290	8932	-0.0242
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	8	128730029	128771821	2	-1.6758
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	8	128775180	144182542	9308	-0.0235
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	9	789794	138044505	68399	-0.0244
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	10	366509	133411599	81196	-0.0179
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	456012	8210638	4088	-0.0249
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	8211482	8213947	3	-1.8625
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	8216398	81326988	39222	-0.0246
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	81329297	81330405	6	-0.9066
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	81334136	91168802	5709	-0.0197
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	91173092	91184338	6	-0.9138
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	91184673	125071624	22183	-0.0197
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	125071745	125075650	3	-1.2543
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	11	125077155	134272740	6285	-0.0121
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	12	780472	132605822	74274	-0.0192
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	13	18874255	93695836	43536	-0.0197
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	13	93695852	93695877	2	-2.0305
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	13	93697986	114226675	13384	-0.0228
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	14	20033191	65180322	25225	-0.0174
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	14	65183224	65186612	3	-1.5496
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	14	65187290	105533894	24496	-0.0223
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	15	23437561	75166533	29513	-0.0214
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	15	75166881	75241470	22	0.4784
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	15	75244923	101344124	15203	-0.0176
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	16	603333	89317317	41170	-0.0232
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	17	1074619	82959812	37248	-0.0215
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	18	326691	79349796	42909	-0.0159
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	19	283868	33716674	13285	-0.021
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	19	33719846	33741524	31	0.4584
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	19	33743057	58370362	10807	-0.0222
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	20	472817	13455048	8432	-0.0233
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	20	13462582	13476495	11	-1.004
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	20	13478910	63588502	29090	-0.0225
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	21	13974127	46262057	20570	-0.0215
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	22	16934932	48940621	17076	-0.0243
f5ecfb68-e0f3-4d43-8a8a-5b55b71aa60c	X	3236359	155677414	63455	0.0067
