GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
39e75701-28f8-4b28-b8b3-b5fdf36c3804	1	3301765	247650984	129425	0.0019
39e75701-28f8-4b28-b8b3-b5fdf36c3804	2	480597	241537572	131898	0.0062
39e75701-28f8-4b28-b8b3-b5fdf36c3804	3	2170634	197812401	106966	0.0016
39e75701-28f8-4b28-b8b3-b5fdf36c3804	4	1059384	37515202	22611	0.0026
39e75701-28f8-4b28-b8b3-b5fdf36c3804	4	37516941	37517522	3	-1.5861
39e75701-28f8-4b28-b8b3-b5fdf36c3804	4	37517951	187842528	80704	-0.0008
39e75701-28f8-4b28-b8b3-b5fdf36c3804	5	913983	180934240	100954	0.0006
39e75701-28f8-4b28-b8b3-b5fdf36c3804	6	1011760	170596889	96986	0.0004
39e75701-28f8-4b28-b8b3-b5fdf36c3804	7	664936	13696333	6073	0.0045
39e75701-28f8-4b28-b8b3-b5fdf36c3804	7	13698517	13699475	2	1.8261
39e75701-28f8-4b28-b8b3-b5fdf36c3804	7	13703740	158592540	75736	0.0048
39e75701-28f8-4b28-b8b3-b5fdf36c3804	8	667625	144182542	82083	0.0023
39e75701-28f8-4b28-b8b3-b5fdf36c3804	9	789794	138044505	68317	0.0021
39e75701-28f8-4b28-b8b3-b5fdf36c3804	10	366509	133411599	81136	0.0068
39e75701-28f8-4b28-b8b3-b5fdf36c3804	11	456012	134272740	77388	0.0035
39e75701-28f8-4b28-b8b3-b5fdf36c3804	12	780472	29181116	16969	0.0054
39e75701-28f8-4b28-b8b3-b5fdf36c3804	12	29181195	29181205	2	-3.1698
39e75701-28f8-4b28-b8b3-b5fdf36c3804	12	29181219	132605822	57163	-0.0006
39e75701-28f8-4b28-b8b3-b5fdf36c3804	13	18874255	114226675	56866	0.0002
39e75701-28f8-4b28-b8b3-b5fdf36c3804	14	20033191	78365503	33110	0.0032
39e75701-28f8-4b28-b8b3-b5fdf36c3804	14	78365884	78366348	2	-1.9937
39e75701-28f8-4b28-b8b3-b5fdf36c3804	14	78368990	105533894	16550	0.0026
39e75701-28f8-4b28-b8b3-b5fdf36c3804	15	23437561	101344124	44684	0.0053
39e75701-28f8-4b28-b8b3-b5fdf36c3804	16	603333	89317317	41124	0.0037
39e75701-28f8-4b28-b8b3-b5fdf36c3804	17	1074619	5284954	1833	-0.0108
39e75701-28f8-4b28-b8b3-b5fdf36c3804	17	5285796	5306234	12	-0.5802
39e75701-28f8-4b28-b8b3-b5fdf36c3804	17	5306679	82959812	35340	0.0021
39e75701-28f8-4b28-b8b3-b5fdf36c3804	18	326691	79349796	42867	0.0051
39e75701-28f8-4b28-b8b3-b5fdf36c3804	19	283868	58370362	24086	0.0001
39e75701-28f8-4b28-b8b3-b5fdf36c3804	20	472817	32353569	17446	0.0074
39e75701-28f8-4b28-b8b3-b5fdf36c3804	20	32354795	49294394	10426	-0.0786
39e75701-28f8-4b28-b8b3-b5fdf36c3804	20	49296489	63588502	9612	0.0094
39e75701-28f8-4b28-b8b3-b5fdf36c3804	21	13974127	46262057	20559	0.0063
39e75701-28f8-4b28-b8b3-b5fdf36c3804	22	16934932	48940621	17061	0.007
39e75701-28f8-4b28-b8b3-b5fdf36c3804	X	3236359	48608678	20352	0.0092
39e75701-28f8-4b28-b8b3-b5fdf36c3804	X	48608798	48611282	3	-3.2578
39e75701-28f8-4b28-b8b3-b5fdf36c3804	X	48612345	64582703	4010	0.0101
39e75701-28f8-4b28-b8b3-b5fdf36c3804	X	64585229	64596470	11	-1.3135
39e75701-28f8-4b28-b8b3-b5fdf36c3804	X	64596624	155677414	39304	0.0098
