GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e25c6e08-da44-418b-9bb7-cd1477caf441	1	3301765	26479092	12713	-0.0588
e25c6e08-da44-418b-9bb7-cd1477caf441	1	26522133	26546754	4	-1.4239
e25c6e08-da44-418b-9bb7-cd1477caf441	1	26549798	37322132	5527	-0.058
e25c6e08-da44-418b-9bb7-cd1477caf441	1	37323098	37328744	3	-1.3216
e25c6e08-da44-418b-9bb7-cd1477caf441	1	37329289	39411829	1101	-0.0622
e25c6e08-da44-418b-9bb7-cd1477caf441	1	39416329	39420305	2	-2.715
e25c6e08-da44-418b-9bb7-cd1477caf441	1	39421268	45367288	3298	-0.0426
e25c6e08-da44-418b-9bb7-cd1477caf441	1	45372677	45379591	6	-1.1568
e25c6e08-da44-418b-9bb7-cd1477caf441	1	45381300	46307424	280	-0.0577
e25c6e08-da44-418b-9bb7-cd1477caf441	1	46310040	187339106	68235	-0.0058
e25c6e08-da44-418b-9bb7-cd1477caf441	1	187350227	187350858	2	-1.978
e25c6e08-da44-418b-9bb7-cd1477caf441	1	187351621	245126809	37085	-0.0068
e25c6e08-da44-418b-9bb7-cd1477caf441	1	245126882	245126925	2	-2.4859
e25c6e08-da44-418b-9bb7-cd1477caf441	1	245129731	247649129	1100	-0.0002
e25c6e08-da44-418b-9bb7-cd1477caf441	1	247650404	247650984	2	-0.5606
e25c6e08-da44-418b-9bb7-cd1477caf441	2	480597	38425533	22658	-0.0035
e25c6e08-da44-418b-9bb7-cd1477caf441	2	38429211	38430453	5	1.1382
e25c6e08-da44-418b-9bb7-cd1477caf441	2	38432515	41777549	1971	-0.0106
e25c6e08-da44-418b-9bb7-cd1477caf441	2	41777711	41777738	2	-1.898
e25c6e08-da44-418b-9bb7-cd1477caf441	2	41777774	45966726	2777	0.0146
e25c6e08-da44-418b-9bb7-cd1477caf441	2	45974025	45974198	2	-3.4175
e25c6e08-da44-418b-9bb7-cd1477caf441	2	45975199	241537572	104455	-0.0031
e25c6e08-da44-418b-9bb7-cd1477caf441	3	2170634	197812401	106913	-0.0012
e25c6e08-da44-418b-9bb7-cd1477caf441	4	1059384	25226295	15193	-0.0041
e25c6e08-da44-418b-9bb7-cd1477caf441	4	25226986	25228530	3	-1.7991
e25c6e08-da44-418b-9bb7-cd1477caf441	4	25238165	85722589	32383	0.0016
e25c6e08-da44-418b-9bb7-cd1477caf441	4	85722704	85722949	3	1.3263
e25c6e08-da44-418b-9bb7-cd1477caf441	4	85722977	110139871	13638	-0.0003
e25c6e08-da44-418b-9bb7-cd1477caf441	4	110148271	110158534	11	0.7414
e25c6e08-da44-418b-9bb7-cd1477caf441	4	110159084	149426085	21412	-0.0116
e25c6e08-da44-418b-9bb7-cd1477caf441	4	149429915	149432923	2	-1.7964
e25c6e08-da44-418b-9bb7-cd1477caf441	4	149433248	187842528	20625	-0.0149
e25c6e08-da44-418b-9bb7-cd1477caf441	5	913983	23622848	13846	-0.0014
e25c6e08-da44-418b-9bb7-cd1477caf441	5	23623288	23624308	2	-2.1964
e25c6e08-da44-418b-9bb7-cd1477caf441	5	23624427	28965811	2788	-0.0141
e25c6e08-da44-418b-9bb7-cd1477caf441	5	28970450	103444047	37422	0.0107
e25c6e08-da44-418b-9bb7-cd1477caf441	5	103444843	180934240	46799	-0.0072
e25c6e08-da44-418b-9bb7-cd1477caf441	6	1011760	170596889	96933	0.0008
e25c6e08-da44-418b-9bb7-cd1477caf441	7	664936	22364760	11208	0.0031
e25c6e08-da44-418b-9bb7-cd1477caf441	7	22367426	22368410	2	-1.8903
e25c6e08-da44-418b-9bb7-cd1477caf441	7	22369151	158592540	70519	0.0008
e25c6e08-da44-418b-9bb7-cd1477caf441	8	667625	144182542	82054	0.0018
e25c6e08-da44-418b-9bb7-cd1477caf441	9	789794	29268101	17903	-0.002
e25c6e08-da44-418b-9bb7-cd1477caf441	9	29269001	29270143	6	-1.0619
e25c6e08-da44-418b-9bb7-cd1477caf441	9	29276552	73205029	9058	-0.0023
e25c6e08-da44-418b-9bb7-cd1477caf441	9	73209886	73212745	2	-1.8352
e25c6e08-da44-418b-9bb7-cd1477caf441	9	73215137	78292064	3442	0.0125
e25c6e08-da44-418b-9bb7-cd1477caf441	9	78292529	78308581	7	-1.457
e25c6e08-da44-418b-9bb7-cd1477caf441	9	78309330	124984369	31183	-0.0012
e25c6e08-da44-418b-9bb7-cd1477caf441	9	124985254	138044505	6676	-0.0455
e25c6e08-da44-418b-9bb7-cd1477caf441	10	366509	109263291	65310	0.0042
e25c6e08-da44-418b-9bb7-cd1477caf441	10	109265152	109265427	2	-3.6927
e25c6e08-da44-418b-9bb7-cd1477caf441	10	109268937	133411599	15717	0.0015
e25c6e08-da44-418b-9bb7-cd1477caf441	11	456012	3377432	980	-0.0239
e25c6e08-da44-418b-9bb7-cd1477caf441	11	3378510	8319177	3203	0.0118
e25c6e08-da44-418b-9bb7-cd1477caf441	11	8321814	8327553	3	-1.2184
e25c6e08-da44-418b-9bb7-cd1477caf441	11	8328288	60841181	29012	0.0075
e25c6e08-da44-418b-9bb7-cd1477caf441	11	60841344	70128317	3594	-0.0326
e25c6e08-da44-418b-9bb7-cd1477caf441	11	70129205	70130087	3	-1.9556
e25c6e08-da44-418b-9bb7-cd1477caf441	11	70132532	116531196	28377	-0.0009
