GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	3301765	33395532	15986	0.3547
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	33396916	34847900	1047	0.4241
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	34848643	48445352	7285	0.3686
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	48445758	54923916	3324	0.3943
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	54925054	75756776	13813	0.4569
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	75764154	88539302	8056	0.4878
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	88543402	97153350	5183	0.4701
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	97161433	108966971	6598	-0.3132
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	108967030	111920140	1790	-0.3887
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	111920553	119984772	5070	-0.3264
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	146716041	151070735	423	0.8329
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	151073507	151555157	180	0.7293
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	151555900	152687773	585	0.8527
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	152688270	153914397	708	0.402
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	153914817	156731053	1301	0.3358
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	156737983	158051492	846	0.4049
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	158054709	162925017	3173	-0.38
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	162925032	164386895	1018	-0.3009
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	164387438	168513666	3162	-0.3743
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	168514782	174667218	4031	-0.32
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	174667664	175203403	297	-0.3745
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	175203803	175207994	8	-1.1434
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	175208182	182087401	4226	-0.3515
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	182090945	184625886	1783	0.4557
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	184628775	187054644	1401	0.9233
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	187056119	196022534	5329	0.4762
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	196027090	200005600	2179	-0.3252
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	200010781	204742211	3170	0.3934
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	204743675	206050479	844	-0.4245
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	206053799	206057416	2	-1.6675
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	206058126	206989088	462	-0.4213
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	206989616	217898270	7586	-0.3414
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	217899842	217903957	5	-2.0922
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	217905918	222113234	2886	-0.3443
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	222120354	222121553	2	-1.9054
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	222122246	225880162	2057	-0.3525
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	225881227	226658526	462	-0.4338
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	226658627	227756258	675	-0.3277
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	227758863	231336962	2207	-0.4342
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	231340651	235002601	2703	-0.379
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	235079870	235313418	84	0.4133
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	235315493	239101104	2844	-0.3781
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	239104595	239105980	2	-1.8348
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	239112279	244043308	3373	-0.3737
6d9b69bf-e5fc-4383-a63f-5d193a02d694	1	244053612	247650984	1613	0.4135
