GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	1	3301765	107197190	60035	-0.0719
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	1	107198921	107357188	119	0.231
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	1	107357904	119494326	7460	-0.0624
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	1	119496973	247650984	61709	0.0495
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	480597	572324	67	-0.0499
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	573717	98260599	51589	0.0361
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	98260645	100113649	961	0.0904
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	100116383	101063713	718	0.2074
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	101064792	103067416	1212	0.1281
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	103080377	107248281	2709	-0.0088
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	107250810	108483080	648	0.3587
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	108488738	111187469	1015	0.065
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	111187664	152022801	21358	-0.0638
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	152022834	231136922	45453	-0.2033
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	231137644	232306777	499	-0.0782
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	232307317	237145724	3165	-0.2078
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	237146063	238233573	682	-0.0565
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	2	238235901	241537572	1771	-0.2068
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	2170634	13093606	6582	0.1201
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	13095535	14760559	1114	-0.0844
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	14764547	15182366	264	0.0545
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	15185126	15185705	2	1.0621
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	15186008	15239980	31	0.094
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	15240174	63942550	27665	-0.0705
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	63944109	64637144	622	0.0572
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	64637165	67715900	2291	-0.0762
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	67716826	67918647	85	0.1361
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	67922845	69024766	755	-0.0651
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	69025212	77309814	5208	0.0705
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	77312945	84027363	3518	-0.0818
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	84037233	84645221	273	0.5204
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	84649532	84914111	149	0.3559
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	84914188	86868625	919	0.0348
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	86871540	87760453	464	2.4332
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	87909425	113489059	11847	0.055
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	113489377	113489528	2	-1.478
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	3	113496649	197812401	45096	0.053
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	4	1059384	20217837	11847	0.0426
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	4	20218285	20532176	164	-0.1153
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	4	20533063	147051250	69256	0.0472
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	4	147052643	147053760	2	-2.5636
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	4	147054008	187842528	21932	0.0538
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	913983	993728	34	-0.2141
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	995155	1288500	23	0.2746
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	1288546	6161441	3640	-0.2376
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	6162332	6189668	24	0.3177
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	6193139	6204248	8	-0.4339
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	6204858	6216838	15	-0.0706
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	6217369	6251504	36	0.1716
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	6252816	6430491	125	0.3735
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	6433203	7914441	1083	-0.2378
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	7914519	8266621	282	0.1263
b6ad3e48-5d27-4b73-9041-dd5ef8ac233b	5	8267753	8351680	77	0.3848
